demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1944.4209262203829,1926
global,global,1,living,1497.4064399013103,2498
global,global,2,living,2266.9088961113875,2226
global,global,3,living,1981.176488984844,2346
global,global,4,living,609.8431919568751,1606
global,global,5,living,-48.418630427940116,1920
global,global,6,living,31.641291591985137,1535
global,global,7,living,1800.577762675416,1537
global,global,8,living,1351.5755103440968,2220
global,global,0,biodiversity,492.7114118082393,1923
global,global,1,biodiversity,1809.8129199942919,2387
global,global,2,biodiversity,1921.3680625969191,2688
global,global,3,biodiversity,2030.5505231959194,2417
global,global,4,biodiversity,2168.450329983187,2176
global,global,5,biodiversity,857.6928988204401,2429
global,global,6,biodiversity,1633.0076399383786,2952
global,global,7,biodiversity,2395.394713537129,2398
global,global,8,biodiversity,742.9546736290681,1694
global,global,0,safety,1473.8371202399437,2231
global,global,1,safety,2059.8881608095767,2067
global,global,2,safety,-273.66339400000186,2527
global,global,3,safety,2408.444683576654,2396
global,global,4,safety,780.227560132546,2604
global,global,5,safety,1853.8641962072356,3206
global,global,6,safety,1932.1345384910933,2998
global,global,7,safety,1390.9246135833494,2608
global,global,8,safety,1675.3241475047441,3785
gender,man,0,living,1589.518917118056,1027
gender,man,1,living,1865.4643744438495,1312
gender,man,2,living,1939.5127380507795,1187
gender,man,3,living,1626.2728468111222,1220
gender,man,4,living,1013.695119237069,847
gender,man,5,living,1116.1556712641984,1027
gender,man,6,living,-428.2877810595305,756
gender,man,7,living,1414.7563777952437,836
gender,man,8,living,2008.7133739282951,1200
gender,man,0,biodiversity,1349.779809586893,994
gender,man,1,biodiversity,1377.8068302504396,1202
gender,man,2,biodiversity,2091.3009606611945,1346
gender,man,3,biodiversity,1727.1342000843777,1213
gender,man,4,biodiversity,1682.253076730877,1155
gender,man,5,biodiversity,1785.2883986528623,1246
gender,man,6,biodiversity,1914.376360025075,1532
gender,man,7,biodiversity,1989.3170481689829,1206
gender,man,8,biodiversity,682.6139351332317,840
gender,man,0,safety,887.1537725480596,1024
gender,man,1,safety,1882.6693487992227,1043
gender,man,2,safety,717.5690784140589,1306
gender,man,3,safety,2087.916370704962,1255
gender,man,4,safety,1969.5778199152314,1230
gender,man,5,safety,1849.75168701034,1651
gender,man,6,safety,1764.9404537684745,1546
gender,man,7,safety,1587.5138993682162,1321
gender,man,8,safety,1955.8875491678796,1902
gender,woman,0,living,1783.3037512630362,768
gender,woman,1,living,1195.749615149809,1005
gender,woman,2,living,1442.0115134194036,906
gender,woman,3,living,1681.9323489368749,956
gender,woman,4,living,1279.1333097964348,633
gender,woman,5,living,1840.935347066273,761
gender,woman,6,living,1461.7186749158816,634
gender,woman,7,living,1918.706017657733,575
gender,woman,8,living,945.8512573398838,890
gender,woman,0,biodiversity,1153.7654364702778,798
gender,woman,1,biodiversity,1353.2046615143686,978
gender,woman,2,biodiversity,1571.9920317449532,1046
gender,woman,3,biodiversity,1825.3140577298645,966
gender,woman,4,biodiversity,1959.0225719149362,753
gender,woman,5,biodiversity,983.8762939231892,982
gender,woman,6,biodiversity,1871.6180731166005,1221
gender,woman,7,biodiversity,1680.44527420948,1004
gender,woman,8,biodiversity,1625.5736015863986,728
gender,woman,0,safety,1710.7355800075961,838
gender,woman,1,safety,1657.135445851617,858
gender,woman,2,safety,1333.5815190953567,1099
gender,woman,3,safety,2044.638701132843,910
gender,woman,4,safety,1385.615715687113,1114
gender,woman,5,safety,1276.0213077442068,1264
gender,woman,6,safety,1838.099176381153,1232
gender,woman,7,safety,1214.898166357329,1068
gender,woman,8,safety,1800.0756742874646,1481
gender,other,0,living,1511.9083725185606,9
gender,other,1,living,1440.0192462909945,7
gender,other,2,living,1475.541774259997,14
gender,other,3,living,1489.3003974258052,19
gender,other,4,living,1564.3200215417428,13
gender,other,5,living,1452.0312140694873,12
gender,other,6,living,1535.5665119228852,15
gender,other,7,living,1500.0459230108647,8
gender,other,8,living,1538.097401145394,11
gender,other,0,biodiversity,1451.9411353462633,8
gender,other,1,biodiversity,1561.0899741880642,9
gender,other,2,biodiversity,1546.1067872722242,16
gender,other,3,biodiversity,1488.0000008914474,5
