demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2090.9717658996506,2769
global,global,1,living,1105.7402164692726,2909
global,global,2,living,1328.1685927117971,2330
global,global,3,living,1651.7392531731691,2401
global,global,4,living,2150.0594446180844,866
global,global,5,living,940.0488694886444,2807
global,global,6,living,1861.2326847379773,2345
global,global,7,living,780.9886759431912,2739
global,global,8,living,899.8681982396677,2676
global,global,0,biodiversity,-138.79430832897432,1463
global,global,1,biodiversity,1460.4708900234957,2048
global,global,2,biodiversity,978.8425827145294,1991
global,global,3,biodiversity,1884.975271225572,1722
global,global,4,biodiversity,2107.260213458576,1313
global,global,5,biodiversity,1245.3988101392442,2369
global,global,6,biodiversity,1287.6842057291442,2321
global,global,7,biodiversity,2040.244326701777,1645
global,global,8,biodiversity,1811.0914803206733,1714
global,global,0,safety,375.44023601847744,2078
global,global,1,safety,1385.6843093412683,2967
global,global,2,safety,1832.6263039530252,3437
global,global,3,safety,2028.6495917564969,2594
global,global,4,safety,783.6819903119946,2944
global,global,5,safety,2199.588495812302,2701
global,global,6,safety,2341.00181418204,2795
global,global,7,safety,2429.489786965696,2560
global,global,8,safety,1707.1612723163325,2796
gender,man,0,living,2019.094530326953,1361
gender,man,1,living,1524.7698522116455,1495
gender,man,2,living,1466.3265185513717,1212
gender,man,3,living,1030.2700860786945,1275
gender,man,4,living,1923.322168804012,464
gender,man,5,living,110.72896972871102,1362
gender,man,6,living,1779.1195703740802,1188
gender,man,7,living,1867.8598894551676,1387
gender,man,8,living,903.0473165199822,1450
gender,man,0,biodiversity,157.75359998835515,764
gender,man,1,biodiversity,1235.5710011326614,1029
gender,man,2,biodiversity,1579.6332042919214,1089
gender,man,3,biodiversity,1464.1000537584653,817
gender,man,4,biodiversity,1860.6587073977762,655
gender,man,5,biodiversity,1480.636885333669,1179
gender,man,6,biodiversity,1294.4393655796787,1158
gender,man,7,biodiversity,2027.240378264563,814
gender,man,8,biodiversity,1766.2710544061315,893
gender,man,0,safety,1065.7908061348978,1121
gender,man,1,safety,998.3783304373497,1562
gender,man,2,safety,1725.0626846675339,1738
gender,man,3,safety,1486.3266356114966,1303
gender,man,4,safety,504.6780577806614,1489
gender,man,5,safety,2047.0891735057107,1347
gender,man,6,safety,2161.56092434625,1467
gender,man,7,safety,1560.6436584595554,1382
gender,man,8,safety,1660.688691011961,1423
gender,woman,0,living,1947.2004688879974,1143
gender,woman,1,living,1628.208613449221,1140
gender,woman,2,living,1573.1369490347295,926
gender,woman,3,living,1787.295810599814,945
gender,woman,4,living,1861.2702799645174,337
gender,woman,5,living,612.6492775309086,1162
gender,woman,6,living,1308.3434511477312,961
gender,woman,7,living,-186.5914429122859,1143
gender,woman,8,living,1590.6909747932757,1105
gender,woman,0,biodiversity,1675.5069815286943,609
gender,woman,1,biodiversity,992.3627823832252,786
gender,woman,2,biodiversity,449.82046164177,793
gender,woman,3,biodiversity,1500.897127296845,674
gender,woman,4,biodiversity,1485.8448633789196,591
gender,woman,5,biodiversity,1783.7030707831825,890
gender,woman,6,biodiversity,1841.1526314377318,911
gender,woman,7,biodiversity,1710.055193946774,687
gender,woman,8,biodiversity,1855.6229555524908,655
gender,woman,0,safety,1191.0827227690565,810
gender,woman,1,safety,1885.4973175110204,1153
gender,woman,2,safety,1656.6631846548848,1444
gender,woman,3,safety,1931.1797200155659,1018
gender,woman,4,safety,1838.811643128184,1251
gender,woman,5,safety,1229.896114275448,1098
gender,woman,6,safety,2076.3149677197116,1085
gender,woman,7,safety,1760.7481027481629,1034
gender,woman,8,safety,1723.709120620976,1117
gender,other,0,living,1453.1907398136896,16
gender,other,1,living,1502.751358284278,18
gender,other,2,living,1565.1189940145366,15
gender,other,3,living,1441.6873096130862,9
gender,other,4,living,1488.3241862350453,11
gender,other,5,living,1525.9704600757273,18
gender,other,6,living,1476.1267574687224,12
gender,other,7,living,1548.4702480300964,10
gender,other,8,living,1511.8037238265056,17
gender,other,0,biodiversity,1487.4693768073769,13
gender,other,1,biodiversity,1501.5613201174187,10
gender,other,2,biodiversity,1559.9450666794019,7
gender,other,3,biodiversity,1547.9307555725516,8
gender,other,4,biodiversity,1511.9877215692268,7
gender,other,5,biodiversity,1465.7033933605687,11
gender,other,6,biodiversity,1521.8690013297014,12
gender,other,7,biodiversity,1462.3867655028323,11
gender,other,8,biodiversity,1440.0588637315,9
gender,other,0,safety,1452.2380176031493,22
gender,other,1,safety,1487.6784804552494,21
gender,other,2,safety,1548.8123648505712,10
gender,other,3,safety,1510.845849065101,13
gender,other,4,safety,1425.1959469598255,12
gender,other,5,safety,1524.341303289272,12
gender,other,6,safety,1512.3217277029805,13
gender,other,7,safety,1578.5345829392684,9
gender,other,8,safety,1454.0119908985794,12
age,younger,0,living,1854.6372093494424,738
age,younger,1,living,1485.2299541646673,853
age,younger,2,living,1785.9384878773421,630
age,younger,3,living,1616.9731868547256,682
age,younger,4,living,1834.3154705272977,223
age,younger,5,living,1123.1906921025259,742
age,younger,6,living,1665.0821488411316,678
age,younger,7,living,1420.1525576430286,754
age,younger,8,living,1440.8417141098719,854
age,younger,0,biodiversity,1090.071625715333,399
age,younger,1,biodiversity,1366.7189264298747,534
age,younger,2,biodiversity,1611.4592236947642,588
age,younger,3,biodiversity,1105.364502960749,450
age,younger,4,biodiversity,1667.2515130667223,388
age,younger,5,biodiversity,1808.955814710705,634
age,younger,6,biodiversity,934.2410148920136,646
age,younger,7,biodiversity,1853.7587648728536,469
age,younger,8,biodiversity,1586.4595499776308,480
age,younger,0,safety,1776.442177382057,653
age,younger,1,safety,1353.6203828128425,825
age,younger,2,safety,1632.8992229481994,961
age,younger,3,safety,1682.8781270048773,770
age,younger,4,safety,1106.525997658404,766
age,younger,5,safety,1597.5024047648692,775
age,younger,6,safety,1933.923041542875,742
age,younger,7,safety,1838.986573546019,759
age,younger,8,safety,1870.9923617087436,789
age,middle,0,living,1925.1595865040356,1148
age,middle,1,living,1506.4880695148217,1189
age,middle,2,living,1799.966781188252,1012
age,middle,3,living,1782.120368097746,1036
age,middle,4,living,1954.8280882521121,368
age,middle,5,living,1254.9368053074645,1211
age,middle,6,living,1221.5403770101307,975
age,middle,7,living,832.622259950971,1188
age,middle,8,living,1366.5541946826515,1135
age,middle,0,biodiversity,1176.4035946048225,632
age,middle,1,biodiversity,925.1132173505149,825
age,middle,2,biodiversity,526.3964541452074,882
age,middle,3,biodiversity,1613.2346975813334,703
age,middle,4,biodiversity,1776.6972146666426,572
age,middle,5,biodiversity,1742.0289288650674,1016
age,middle,6,biodiversity,1399.9576846304917,916
age,middle,7,biodiversity,1576.7415215992962,724
age,middle,8,biodiversity,1969.2967453458848,666
age,middle,0,safety,307.6337509530434,851
age,middle,1,safety,1404.849764880022,1300
age,middle,2,safety,1936.3327865799681,1487
age,middle,3,safety,1649.6341679922705,1093
age,middle,4,safety,1578.2351590390135,1327
age,middle,5,safety,2001.5090322753165,1063
age,middle,6,safety,1607.106512059245,1203
age,middle,7,safety,2083.126141192525,1106
age,middle,8,safety,1461.5480951436284,1120
age,older,0,living,1611.354252168771,628
age,older,1,living,1576.3020789123111,599
age,older,2,living,1098.7984821505108,506
age,older,3,living,1550.6508390229237,510
age,older,4,living,1828.4921450759969,222
age,older,5,living,1271.2314733379953,583
age,older,6,living,1729.3740669548206,508
age,older,7,living,1805.8541001778347,583
age,older,8,living,1505.9534553442538,573
age,older,0,biodiversity,1421.656671215018,355
age,older,1,biodiversity,1433.0744781466901,473
age,older,2,biodiversity,1720.5358122316507,413
age,older,3,biodiversity,1593.0653301483565,336
age,older,4,biodiversity,1518.8857238670912,297
age,older,5,biodiversity,947.4172940776932,426
age,older,6,biodiversity,1749.2994629844202,511
age,older,7,biodiversity,1795.7402564468885,309
age,older,8,biodiversity,1489.3111149537126,406
age,older,0,safety,1545.1463953643174,446
age,older,1,safety,1804.0226630344803,600
age,older,2,safety,1277.587321985375,729
