demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,-747.8409296603484,1977
global,global,1,living,2184.8063124644996,3246
global,global,2,living,2107.4126783370752,1620
global,global,3,living,1704.691204865599,2133
global,global,4,living,1860.0739521094622,2388
global,global,5,living,1828.8067888448988,2604
global,global,6,living,469.9819990582165,1703
global,global,7,living,650.8787248244004,2731
global,global,8,living,1120.8667572161955,3072
global,global,0,biodiversity,1505.184364658994,1622
global,global,1,biodiversity,2035.548434324156,1512
global,global,2,biodiversity,1153.5457689856223,1790
global,global,3,biodiversity,1832.8547477420072,1751
global,global,4,biodiversity,2141.1467545280184,1095
global,global,5,biodiversity,1734.9411260060845,1581
global,global,6,biodiversity,868.0654861863261,1564
global,global,7,biodiversity,1944.0510131567162,1807
global,global,8,biodiversity,993.0594361923235,1472
global,global,0,safety,1394.8144825056213,3221
global,global,1,safety,1734.735520441532,2184
global,global,2,safety,1528.5667656729343,3935
global,global,3,safety,1252.1711417155793,2911
global,global,4,safety,1994.8188773368981,2683
global,global,5,safety,2219.6959058583966,2998
global,global,6,safety,1100.5441157430025,3341
global,global,7,safety,2334.6350631594814,3234
global,global,8,safety,2431.9841773995367,3125
gender,man,0,living,-180.67667989537125,1004
gender,man,1,living,1645.0356890711244,1719
gender,man,2,living,1744.214274916724,870
gender,man,3,living,1788.2495616720469,1045
gender,man,4,living,1559.9564549495378,1275
gender,man,5,living,2083.042376543255,1324
gender,man,6,living,1671.1787768184633,899
gender,man,7,living,1038.8005563302693,1346
gender,man,8,living,730.5935008325282,1616
gender,man,0,biodiversity,1208.5953871743034,815
gender,man,1,biodiversity,1963.1621863835019,710
gender,man,2,biodiversity,1372.693087251408,971
gender,man,3,biodiversity,1680.3062235806892,879
gender,man,4,biodiversity,1779.7463509339582,539
gender,man,5,biodiversity,1301.8348840103943,762
gender,man,6,biodiversity,1257.2259221014322,849
gender,man,7,biodiversity,1893.0614746042672,939
gender,man,8,biodiversity,1074.139706482078,766
gender,man,0,safety,1072.879363832491,1597
gender,man,1,safety,1570.4977966820466,1173
gender,man,2,safety,1662.032132646146,1996
gender,man,3,safety,1014.1757934985684,1511
gender,man,4,safety,2124.0140318751105,1228
gender,man,5,safety,1853.4830048171223,1518
gender,man,6,safety,1323.425075712923,1755
gender,man,7,safety,2072.7397289909504,1679
gender,man,8,safety,1608.6476116014712,1639
gender,woman,0,living,1655.5187984598153,891
gender,woman,1,living,1947.058796401555,1283
gender,woman,2,living,1789.5418274718577,650
gender,woman,3,living,1053.792031258295,944
gender,woman,4,living,1911.6645430363537,954
gender,woman,5,living,1112.4823351431671,1142
gender,woman,6,living,-99.0426989555129,637
gender,woman,7,living,1087.4305262381465,1171
gender,woman,8,living,1678.8788369104855,1214
gender,woman,0,biodiversity,1881.787857388632,633
gender,woman,1,biodiversity,1708.310720638255,618
gender,woman,2,biodiversity,1077.5675340596047,699
gender,woman,3,biodiversity,1345.268170869846,716
gender,woman,4,biodiversity,1838.1573780194994,447
gender,woman,5,biodiversity,1410.859189160183,648
gender,woman,6,biodiversity,1447.0611566317548,604
gender,woman,7,biodiversity,1578.266411610728,726
gender,woman,8,biodiversity,1621.9386618797062,577
gender,woman,0,safety,1482.5257434634002,1259
gender,woman,1,safety,1803.2967294352654,840
gender,woman,2,safety,1798.6463036343691,1546
gender,woman,3,safety,2077.0431844048867,1176
gender,woman,4,safety,1560.220346438051,1180
gender,woman,5,safety,1418.9571712299744,1149
gender,woman,6,safety,1904.5837716918995,1325
gender,woman,7,safety,1864.0528984800226,1295
gender,woman,8,safety,1734.5090980451357,1144
gender,other,0,living,1498.85914866343,10
gender,other,1,living,1412.3756798074824,15
gender,other,2,living,1463.9856106227312,9
gender,other,3,living,1488.4450181917016,11
gender,other,4,living,1523.0946733283463,18
gender,other,5,living,1535.1458095770256,13
gender,other,6,living,1546.8320188021764,10
gender,other,7,living,1449.750733517087,14
gender,other,8,living,1571.2119515935096,16
gender,other,0,biodiversity,1536.0,3
gender,other,1,biodiversity,1500.0,10
gender,other,2,biodiversity,1548.0,8
gender,other,3,biodiversity,1464.0,9
gender,other,4,biodiversity,1476.0,8
gender,other,5,biodiversity,1524.0,4
gender,other,6,biodiversity,1488.0,9
gender,other,7,biodiversity,1452.0,4
gender,other,8,biodiversity,1512.0,5
gender,other,0,safety,1468.1579166080182,23
gender,other,1,safety,1565.3864963968958,16
gender,other,2,safety,1480.7705230777422,24
gender,other,3,safety,1584.8124694102528,10
gender,other,4,safety,1422.523095812285,10
gender,other,5,safety,1496.1361461522035,25
gender,other,6,safety,1530.127354041229,12
gender,other,7,safety,1437.7078833556366,17
gender,other,8,safety,1509.9559249571328,25
age,younger,0,living,1521.9412378464287,635
age,younger,1,living,1862.0426987254045,917
age,younger,2,living,1824.0421651929018,483
age,younger,3,living,1543.7366661701135,568
age,younger,4,living,1875.0910612845905,671
age,younger,5,living,1710.9796293383074,693
