demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,863.0492780627139,2236
global,global,1,living,2414.8238891994642,3041
global,global,2,living,2225.075498478844,3495
global,global,3,living,2251.036027433422,2843
global,global,4,living,814.1201816504905,2964
global,global,5,living,1663.7517412522889,3645
global,global,6,living,2174.6415712015632,2502
global,global,7,living,1583.5334900417308,3442
global,global,8,living,2431.3578179860046,3708
global,global,0,biodiversity,1945.3918346291612,1259
global,global,1,biodiversity,1919.8929755084541,2029
global,global,2,biodiversity,-463.4034412056215,1278
global,global,3,biodiversity,107.96110761564924,1542
global,global,4,biodiversity,1483.4466282031526,2099
global,global,5,biodiversity,1616.090650394325,1949
global,global,6,biodiversity,413.3684306817347,1910
global,global,7,biodiversity,2201.9524035297845,2057
global,global,8,biodiversity,853.0202508680625,1953
global,global,0,safety,915.5381825578534,2104
global,global,1,safety,1255.4794982172803,2401
global,global,2,safety,1727.574307771217,2255
global,global,3,safety,1375.9732029860625,2305
global,global,4,safety,574.0190476469709,2032
global,global,5,safety,2128.73608799826,2054
global,global,6,safety,1887.7852229556706,2310
global,global,7,safety,2011.4318514211463,2359
global,global,8,safety,2241.219016576212,1528
gender,man,0,living,1213.82795581941,1184
gender,man,1,living,2095.473567345262,1522
gender,man,2,living,1365.1781707108823,1901
gender,man,3,living,1919.659666270981,1438
gender,man,4,living,296.69640576550967,1448
gender,man,5,living,1170.9318000480237,1879
gender,man,6,living,1894.8886017761283,1268
gender,man,7,living,1598.9033016736514,1708
gender,man,8,living,1014.4148204718334,1886
gender,man,0,biodiversity,1731.2592772943608,662
gender,man,1,biodiversity,1608.2550729136678,1034
gender,man,2,biodiversity,707.2212585351573,631
gender,man,3,biodiversity,991.2552273880594,798
gender,man,4,biodiversity,1776.4712238676705,1106
gender,man,5,biodiversity,1172.5924086404982,1008
gender,man,6,biodiversity,722.6433856193372,976
gender,man,7,biodiversity,2046.092091220085,1025
gender,man,8,biodiversity,1656.6034770435456,1000
gender,man,0,safety,1594.9853933075242,1128
gender,man,1,safety,1760.1372021464701,1252
gender,man,2,safety,1791.0941730975483,1138
gender,man,3,safety,796.7251471089312,1182
gender,man,4,safety,1264.8825929784148,1054
gender,man,5,safety,2038.5347651790985,1042
gender,man,6,safety,1641.749601010848,1091
gender,man,7,safety,1910.260492869339,1233
gender,man,8,safety,1950.3000888692268,830
gender,woman,0,living,1355.992899404453,923
gender,woman,1,living,1236.192928521866,1250
gender,woman,2,living,1986.1913163387464,1422
gender,woman,3,living,1588.365826574983,1098
gender,woman,4,living,1649.9429404968482,1154
gender,woman,5,living,1000.568487463859,1442
gender,woman,6,living,1815.2900289963172,892
gender,woman,7,living,1428.3894884160645,1384
gender,woman,8,living,1953.5441447635937,1437
gender,woman,0,biodiversity,1863.9549252797324,497
gender,woman,1,biodiversity,1833.2199208005306,857
gender,woman,2,biodiversity,832.0248428240767,571
gender,woman,3,biodiversity,1209.1155010561438,648
gender,woman,4,biodiversity,1719.583781344086,871
gender,woman,5,biodiversity,1943.7912200022477,804
gender,woman,6,biodiversity,1258.3302162110317,762
gender,woman,7,biodiversity,1743.4386908897498,900
gender,woman,8,biodiversity,1391.3108791798954,818
gender,woman,0,safety,1111.0856895849736,815
gender,woman,1,safety,1362.510118550993,997
gender,woman,2,safety,1965.9317004188113,848
gender,woman,3,safety,1648.5473748710338,930
gender,woman,4,safety,1236.800446789073,805
gender,woman,5,safety,1815.8689869561933,893
gender,woman,6,safety,1419.538756119908,899
gender,woman,7,safety,1919.2793200308267,912
gender,woman,8,safety,1688.822817710898,639
gender,other,0,living,1452.4040833443075,18
gender,other,1,living,1479.1706690143706,16
gender,other,2,living,1490.9783161707412,13
gender,other,3,living,1527.7292432410443,20
gender,other,4,living,1538.2661874076116,17
gender,other,5,living,1441.3037833788776,9
gender,other,6,living,1513.978557370381,17
gender,other,7,living,1574.8853691298277,14
gender,other,8,living,1504.451474626397,28
gender,other,0,biodiversity,1512.4253716876485,13
gender,other,1,biodiversity,1500.5016666382533,14
gender,other,2,biodiversity,1449.755136047959,12
gender,other,3,biodiversity,1424.7661998708402,6
gender,other,4,biodiversity,1579.992154425908,7
gender,other,5,biodiversity,1531.9381213002532,9
gender,other,6,biodiversity,1464.4530718841572,15
gender,other,7,biodiversity,1487.9404747283088,11
gender,other,8,biodiversity,1535.3204137740656,11
gender,other,0,safety,1449.4603386047684,8
gender,other,1,safety,1475.9572078416147,8
gender,other,2,safety,1488.0,7
gender,other,3,safety,1547.9543425030117,8
gender,other,4,safety,1510.5606535154473,13
gender,other,5,safety,1497.2587881210252,12
gender,other,6,safety,1422.9162783163335,12
gender,other,7,safety,1570.1839867704082,10
gender,other,8,safety,1525.8434238470184,10
age,younger,0,living,1421.4149313641221,657
age,younger,1,living,1927.507403397779,812
age,younger,2,living,1280.782310936371,983
age,younger,3,living,1558.315674378214,848
age,younger,4,living,937.6378511032334,768
age,younger,5,living,1644.7775095498766,998
age,younger,6,living,1872.657964419158,653
age,younger,7,living,1716.8558018689585,928
age,younger,8,living,1484.1301341234346,1039
age,younger,0,biodiversity,1454.8667529209229,397
age,younger,1,biodiversity,1659.7310332771467,532
age,younger,2,biodiversity,1013.0820541666394,337
age,younger,3,biodiversity,594.1012034825827,412
age,younger,4,biodiversity,1135.8808231227683,640
age,younger,5,biodiversity,1259.6682896453704,601
age,younger,6,biodiversity,1184.760549947874,551
age,younger,7,biodiversity,1961.5294291560904,521
age,younger,8,biodiversity,1413.9969042296668,539
age,younger,0,safety,1413.1915957204983,571
age,younger,1,safety,1714.3640898568517,700
