demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,466.48740444261364,1479
global,global,1,living,2113.1155189770393,2880
global,global,2,living,1385.45634973908,2645
global,global,3,living,386.17972387107915,1258
global,global,4,living,2228.3018694085167,2566
global,global,5,living,1880.6623938136815,2912
global,global,6,living,2345.13762848578,2574
global,global,7,living,1732.6682776381026,2637
global,global,8,living,1018.8602021817119,2939
global,global,0,biodiversity,493.9354057240252,1951
global,global,1,biodiversity,1161.4577266434928,2416
global,global,2,biodiversity,-298.46487076507645,2423
global,global,3,biodiversity,1770.099508015619,2511
global,global,4,biodiversity,1462.8678306021325,2779
global,global,5,biodiversity,1914.072937583463,1859
global,global,6,biodiversity,2059.8698320912736,1447
global,global,7,biodiversity,2254.644942374091,2778
global,global,8,biodiversity,1317.6769757729887,2602
global,global,0,safety,946.6174232129322,2009
global,global,1,safety,2358.67862146405,2621
global,global,2,safety,1895.7219085020945,2358
global,global,3,safety,1501.0917390120042,2189
global,global,4,safety,1272.325086851811,2471
global,global,5,safety,295.29299548998245,1183
global,global,6,safety,1826.149350176297,2346
global,global,7,safety,1356.874042691845,2717
global,global,8,safety,2154.209856913376,2750
gender,man,0,living,580.6749217104505,758
gender,man,1,living,1979.6110856721814,1509
gender,man,2,living,1834.4377301457764,1354
gender,man,3,living,1496.70071726251,683
gender,man,4,living,2021.3159924837353,1314
gender,man,5,living,1389.5167139947232,1393
gender,man,6,living,2059.5456370469133,1322
gender,man,7,living,1708.484357826999,1351
gender,man,8,living,646.7471508947879,1546
gender,man,0,biodiversity,1048.7559559813621,1004
gender,man,1,biodiversity,1655.1568596354894,1291
gender,man,2,biodiversity,1179.9028365373902,1247
gender,man,3,biodiversity,1741.522813763124,1286
gender,man,4,biodiversity,1575.8057514143525,1435
gender,man,5,biodiversity,1896.2033325017994,927
gender,man,6,biodiversity,2015.8904058693752,723
gender,man,7,biodiversity,1784.518125738405,1469
gender,man,8,biodiversity,866.5144885292709,1296
gender,man,0,safety,374.37367478710814,1093
gender,man,1,safety,2089.481516031879,1303
gender,man,2,safety,1435.1752020038243,1073
gender,man,3,safety,1121.365704979217,1156
gender,man,4,safety,1862.0696490459522,1198
gender,man,5,safety,1204.3103775140944,664
gender,man,6,safety,1344.6522474193216,1245
gender,man,7,safety,1177.6990452255066,1411
gender,man,8,safety,1747.4634968813896,1373
gender,woman,0,living,1451.9079568555094,635
gender,woman,1,living,1747.3062193464614,1133
gender,woman,2,living,942.7065749015022,1131
gender,woman,3,living,740.1836997056957,511
gender,woman,4,living,1768.0888630531274,1009
gender,woman,5,living,1871.5285735557704,1131
gender,woman,6,living,1999.8102720377005,995
gender,woman,7,living,1892.2275356097828,1083
gender,woman,8,living,1790.3266851265353,1220
gender,woman,0,biodiversity,959.6577634295467,789
gender,woman,1,biodiversity,1160.4327890043066,950
gender,woman,2,biodiversity,896.8847439919189,995
