demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1710.726694057751,2962
global,global,1,living,445.10754171799425,2349
global,global,2,living,2399.744837438004,2598
global,global,3,living,1975.6334023819143,2621
global,global,4,living,1366.1276725302191,2498
global,global,5,living,1804.8770734736406,2745
global,global,6,living,2261.916463775164,2560
global,global,7,living,1292.046312965459,3115
global,global,8,living,2043.5516476724156,2522
global,global,0,biodiversity,676.8717044853818,2448
global,global,1,biodiversity,2249.3938855307338,1760
global,global,2,biodiversity,-586.4264966579574,1641
global,global,3,biodiversity,1371.6549443851386,2104
global,global,4,biodiversity,2126.964202300387,2108
global,global,5,biodiversity,1479.1285466668928,1897
global,global,6,biodiversity,877.9581784972952,2284
global,global,7,biodiversity,2002.8210990796392,1957
global,global,8,biodiversity,1188.4758602841778,2075
global,global,0,safety,1122.6910012238347,2036
global,global,1,safety,1050.5149619136396,3256
global,global,2,safety,556.6796438088771,2404
global,global,3,safety,1008.658517971772,2415
global,global,4,safety,1632.3050584747612,2499
global,global,5,safety,1872.1982549965,2182
global,global,6,safety,1717.50210706384,1945
global,global,7,safety,1954.5210184603259,2915
global,global,8,safety,2253.6676218005805,1404
gender,man,0,living,1723.9425905834764,1443
gender,man,1,living,833.1227178146789,1239
gender,man,2,living,1804.1287447568136,1316
gender,man,3,living,1490.7531890013422,1365
gender,man,4,living,1208.486845704639,1314
gender,man,5,living,1857.8797504765573,1413
gender,man,6,living,2099.8708345324503,1261
gender,man,7,living,1341.0061384208648,1568
gender,man,8,living,577.3221095655355,1243
gender,man,0,biodiversity,1245.4891881697024,1324
gender,man,1,biodiversity,2060.0133939636094,892
gender,man,2,biodiversity,692.461324913256,917
gender,man,3,biodiversity,1728.949410868935,1035
gender,man,4,biodiversity,1803.8122405018285,1087
gender,man,5,biodiversity,1382.0984722862404,997
gender,man,6,biodiversity,1698.066513783889,1194
gender,man,7,biodiversity,1753.0479546975384,1039
gender,man,8,biodiversity,941.2476022964264,1037
gender,man,0,safety,1540.7157786778318,1003
gender,man,1,safety,1497.7764823094903,1724
gender,man,2,safety,1232.195608548294,1170
gender,man,3,safety,433.82311975218136,1203
gender,man,4,safety,1938.3096666940637,1242
gender,man,5,safety,1371.376891893726,1145
gender,man,6,safety,1958.1628365586,1001
gender,man,7,safety,1677.373683130933,1492
gender,man,8,safety,2063.830886664888,760
gender,woman,0,living,1714.0012907143998,1210
gender,woman,1,living,1549.027356232447,975
gender,woman,2,living,1381.0457352734918,1077
gender,woman,3,living,1814.55635672006,1023
gender,woman,4,living,1867.9018020432593,952
gender,woman,5,living,1405.3202205823507,1121
gender,woman,6,living,1268.6078669195892,1007
gender,woman,7,living,1550.1699892727552,1221
gender,woman,8,living,2077.9473061186695,1080
gender,woman,0,biodiversity,1342.1964535085033,1017
gender,woman,1,biodiversity,1967.6466887642493,648
gender,woman,2,biodiversity,1032.5555392395793,666
gender,woman,3,biodiversity,1642.639796444117,829
gender,woman,4,biodiversity,1902.4893422632285,834
gender,woman,5,biodiversity,1172.4402608132805,790
gender,woman,6,biodiversity,273.79539500872727,925
gender,woman,7,biodiversity,1812.2907679198445,785
gender,woman,8,biodiversity,1423.0437077338784,844
gender,woman,0,safety,1484.2391066469722,832
gender,woman,1,safety,1437.84918723896,1256
gender,woman,2,safety,1041.4492130371116,975
gender,woman,3,safety,1909.9815147169818,980
gender,woman,4,safety,1254.5902719646906,1043
gender,woman,5,safety,859.9168665724941,842
gender,woman,6,safety,1570.0157537186744,827
gender,woman,7,safety,1818.8064725941429,1166
gender,woman,8,safety,1962.89275126875,543
gender,other,0,living,1486.002024946108,11
gender,other,1,living,1547.9663826326678,14
gender,other,2,living,1570.6985251972974,10
gender,other,3,living,1465.3020065145759,15
gender,other,4,living,1522.6667744174795,16
gender,other,5,living,1535.8870946665734,13
gender,other,6,living,1452.0122772544755,10
gender,other,7,living,1488.439723529209,19
gender,other,8,living,1425.9893001677226,8
gender,other,0,biodiversity,1536.8145385563832,13
gender,other,1,biodiversity,1498.840618579612,12
gender,other,2,biodiversity,1557.1539810698632,5
gender,other,3,biodiversity,1464.5759861588872,13
gender,other,4,biodiversity,1451.4618553063665,14
gender,other,5,biodiversity,1492.181131936028,13
gender,other,6,biodiversity,1511.8681823005838,15
gender,other,7,biodiversity,1548.1078226563914,10
gender,other,8,biodiversity,1440.3442820225673,9
gender,other,0,safety,1454.223707166693,18
gender,other,1,safety,1463.9497489959601,11
gender,other,2,safety,1439.9999981759709,9
gender,other,3,safety,1512.0359346070509,11
gender,other,4,safety,1570.733899635786,8
gender,other,5,safety,1550.2218049899864,14
