demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,533.6391412356414,2198
global,global,1,living,2144.8785370243572,1814
global,global,2,living,1989.9013128117651,2891
global,global,3,living,1626.4183169632809,3112
global,global,4,living,247.8995462314607,2391
global,global,5,living,1469.0958905396308,2948
global,global,6,living,1034.8461222882947,2744
global,global,7,living,2199.182759578801,2937
global,global,8,living,2373.3572746914656,2843
global,global,0,biodiversity,-592.6954952629231,1713
global,global,1,biodiversity,1741.1286048362908,2510
global,global,2,biodiversity,1368.7301794257787,1845
global,global,3,biodiversity,2087.0613706710824,1850
global,global,4,biodiversity,2323.2358405011837,1815
global,global,5,biodiversity,866.4076088226171,2053
global,global,6,biodiversity,306.5862237533956,2168
global,global,7,biodiversity,1222.5399122388512,2099
global,global,8,biodiversity,1844.978385416561,1801
global,global,0,safety,1935.6997257453108,2197
global,global,1,safety,1673.0994864985496,2335
global,global,2,safety,570.2478758808572,1203
global,global,3,safety,2438.5630473364895,2983
global,global,4,safety,2364.046994719343,2787
global,global,5,safety,2276.6460580665216,2372
global,global,6,safety,1799.2573238546943,2522
global,global,7,safety,2117.7494972589207,2754
global,global,8,safety,1188.0280631932312,2415
gender,man,0,living,1191.699420953921,1164
gender,man,1,living,2082.7296462930863,841
gender,man,2,living,2006.4422175266125,1483
gender,man,3,living,1950.7623299251286,1665
gender,man,4,living,791.1851135961306,1192
gender,man,5,living,1647.9864728641248,1557
gender,man,6,living,1382.4964402169894,1365
gender,man,7,living,1929.1737126364178,1544
gender,man,8,living,1737.7917455321885,1489
gender,man,0,biodiversity,1113.8664259302384,919
gender,man,1,biodiversity,1700.5594435536093,1255
gender,man,2,biodiversity,885.7118196318165,931
gender,man,3,biodiversity,1592.9574191229262,933
gender,man,4,biodiversity,1799.3021513597082,997
gender,man,5,biodiversity,1193.673046384843,1001
gender,man,6,biodiversity,1356.1188151177246,1130
gender,man,7,biodiversity,1729.598194867814,1078
gender,man,8,biodiversity,2101.5065428559888,938
gender,man,0,safety,1919.3166489443925,1077
gender,man,1,safety,425.85630353510834,1206
gender,man,2,safety,826.8669451802375,705
gender,man,3,safety,568.8635212276833,1507
gender,man,4,safety,2008.6387326829436,1379
gender,man,5,safety,1715.3739355554249,1167
gender,man,6,safety,195.83548788349134,1250
gender,man,7,safety,1850.1444613813785,1346
gender,man,8,safety,1579.9038007483455,1305
gender,woman,0,living,1454.2565952110465,900
gender,woman,1,living,1385.709529017526,754
gender,woman,2,living,1277.6682667969305,1134
gender,woman,3,living,1157.2135388882282,1219
gender,woman,4,living,1580.5432754812753,1039
gender,woman,5,living,1911.2265980554755,1153
gender,woman,6,living,1370.8041166381263,1173
gender,woman,7,living,1830.3767704703955,1157
gender,woman,8,living,2012.338320202964,1069
gender,woman,0,biodiversity,1419.2961373975877,709
gender,woman,1,biodiversity,1703.912002404628,1084
gender,woman,2,biodiversity,1551.9381553270973,711
gender,woman,3,biodiversity,1956.415232915986,715
gender,woman,4,biodiversity,1877.128803793547,685
gender,woman,5,biodiversity,1218.3788307334069,899
gender,woman,6,biodiversity,1184.831810429268,898
gender,woman,7,biodiversity,1139.5001100326858,849
gender,woman,8,biodiversity,1312.4082634244667,662
gender,woman,0,safety,1692.7661719399557,922
gender,woman,1,safety,1967.6524129569984,989
gender,woman,2,safety,1078.4114393644306,484
gender,woman,3,safety,1660.6960894429913,1185
gender,woman,4,safety,1391.6217915776542,1099
gender,woman,5,safety,1763.1408767016956,954
gender,woman,6,safety,1902.7756204777006,1013
gender,woman,7,safety,677.4736142272682,1074
