demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1028.32682726774,2595
global,global,1,living,-220.5266671950418,2081
global,global,2,living,1948.3312332157109,2009
global,global,3,living,1003.7736415460922,2193
global,global,4,living,1058.556727140431,2792
global,global,5,living,1848.9888600285908,2554
global,global,6,living,1775.7573414407161,2373
global,global,7,living,2129.3105849449144,1873
global,global,8,living,2318.085343946249,2144
global,global,0,biodiversity,1423.9808333578274,2413
global,global,1,biodiversity,2209.2317726384445,1479
global,global,2,biodiversity,1182.058089344357,2295
global,global,3,biodiversity,2088.5854173576663,2247
global,global,4,biodiversity,1771.1144968063481,2394
global,global,5,biodiversity,1624.9357034675136,1921
global,global,6,biodiversity,1959.0945915963748,2151
global,global,7,biodiversity,23.633184782770623,1604
global,global,8,biodiversity,776.2210014662414,1866
global,global,0,safety,2026.2185482420693,2611
global,global,1,safety,2394.0185778772525,2562
global,global,2,safety,1499.6250951755492,2899
global,global,3,safety,1555.2245138095336,2736
global,global,4,safety,1987.668091871695,3343
global,global,5,safety,2307.2690879834445,2551
global,global,6,safety,1837.5906927078079,3127
global,global,7,safety,1945.654116342147,2773
global,global,8,safety,2053.575680176236,1714
gender,man,0,living,1665.47223829006,1351
gender,man,1,living,250.92850982725966,1059
gender,man,2,living,1640.1451171052745,1046
gender,man,3,living,1214.505394566837,1156
gender,man,4,living,1812.1488836943902,1447
gender,man,5,living,1994.5129394952464,1270
gender,man,6,living,1901.0013671957147,1248
gender,man,7,living,1285.983900209607,986
gender,man,8,living,2054.7324316721733,1095
gender,man,0,biodiversity,1703.7612546831574,1273
gender,man,1,biodiversity,2046.3893918283434,720
gender,man,2,biodiversity,1335.5950579085873,1206
gender,man,3,biodiversity,1781.179539971227,1148
gender,man,4,biodiversity,1761.2159826517347,1158
gender,man,5,biodiversity,1828.0127738026765,1009
gender,man,6,biodiversity,1147.5772533249378,1077
gender,man,7,biodiversity,1001.565116258316,816
gender,man,8,biodiversity,1246.3512415123912,991
gender,man,0,safety,1442.7888370767062,1295
gender,man,1,safety,1961.0338818181974,1307
gender,man,2,safety,1326.1066074330884,1525
gender,man,3,safety,1783.3455257965795,1378
gender,man,4,safety,2089.090797999633,1603
gender,man,5,safety,1361.7855847386697,1369
gender,man,6,safety,1862.9212385512624,1571
gender,man,7,safety,1333.3544786024438,1377
gender,man,8,safety,1810.876513818122,943
gender,woman,0,living,837.5471580407632,1044
gender,woman,1,living,1327.358717687707,881
gender,woman,2,living,1553.0698372692877,770
gender,woman,3,living,1149.2356223457878,873
gender,woman,4,living,894.8642290297173,1149
gender,woman,5,living,1013.4784141880896,1038
gender,woman,6,living,1454.8047202341254,896
gender,woman,7,living,2025.0921276330607,720
gender,woman,8,living,1746.8270982977874,885
gender,woman,0,biodiversity,1197.802375284794,1020
gender,woman,1,biodiversity,1934.6075542608603,634
gender,woman,2,biodiversity,1445.0973583094258,853
gender,woman,3,biodiversity,1801.5593402778331,852
gender,woman,4,biodiversity,1754.6451340043632,976
gender,woman,5,biodiversity,1826.9983891286015,755
gender,woman,6,biodiversity,1872.8004667572472,841
gender,woman,7,biodiversity,1275.592144797856,669
gender,woman,8,biodiversity,1670.7639046870825,796
gender,woman,0,safety,1417.6889878021684,1117
gender,woman,1,safety,1864.6577254305816,1059
gender,woman,2,safety,1385.6575057977507,1131
gender,woman,3,safety,1796.6264629305888,1031
gender,woman,4,safety,1571.5865397889304,1428
gender,woman,5,safety,1988.6939328248302,991
gender,woman,6,safety,1546.9393177708353,1237
gender,woman,7,safety,1919.6934641827636,1103
gender,woman,8,safety,1741.7776578211995,719
gender,other,0,living,1500.810836178465,12
gender,other,1,living,1440.8122792077324,7
gender,other,2,living,1536.0931588608337,17
gender,other,3,living,1548.0159199884142,10
gender,other,4,living,1512.4352693187122,9
gender,other,5,living,1464.8677880897972,15
gender,other,6,living,1452.4120152743299,14
gender,other,7,living,1560.0008434867175,11
gender,other,8,living,1487.1878889660532,13
gender,other,0,biodiversity,1412.643581329527,9
gender,other,1,biodiversity,1544.7985271729206,16
gender,other,2,biodiversity,1475.9045622168765,18
gender,other,3,biodiversity,1526.365408950988,10
gender,other,4,biodiversity,1497.7707693369093,12
gender,other,5,biodiversity,1538.949761665982,15
gender,other,6,biodiversity,1561.8449872041253,11
gender,other,7,biodiversity,1488.0743231102326,11
gender,other,8,biodiversity,1448.7403144438526,12
gender,other,0,safety,1525.4670862266553,14
gender,other,1,safety,1560.828819150707,15
gender,other,2,safety,1451.9846689586375,8
gender,other,3,safety,1488.4295608444372,17
gender,other,4,safety,1439.9995074943165,5
gender,other,5,safety,1499.6476228006252,14
gender,other,6,safety,1480.8511147417291,22
gender,other,7,safety,1511.063618821804,13
gender,other,8,safety,1551.2034000170247,8
age,younger,0,living,1387.4016731348377,744
age,younger,1,living,775.265632771115,595
age,younger,2,living,1444.0780206179252,562
age,younger,3,living,1576.0957243769478,622
age,younger,4,living,1662.8895940773268,809
age,younger,5,living,876.8992456474102,694
age,younger,6,living,1750.1336298822096,658
age,younger,7,living,1481.7536375167751,504
age,younger,8,living,1954.0515864301137,574
age,younger,0,biodiversity,1443.1760891702795,753
age,younger,1,biodiversity,1894.937436513759,401
age,younger,2,biodiversity,1360.5108935219366,674
age,younger,3,biodiversity,1728.1945319470842,620
age,younger,4,biodiversity,1685.741330865902,654
age,younger,5,biodiversity,1779.129846614328,548
age,younger,6,biodiversity,1249.1191824978055,623
age,younger,7,biodiversity,1323.3384217492505,476
age,younger,8,biodiversity,848.936900562641,513
age,younger,0,safety,1421.203757041076,729
age,younger,1,safety,1888.7357711158302,703
age,younger,2,safety,133.04645732055198,827
age,younger,3,safety,921.3677118729632,767
age,younger,4,safety,1032.165122044859,920
age,younger,5,safety,1878.394076912385,709
age,younger,6,safety,1630.7426770003067,886
age,younger,7,safety,1741.7979712359408,745
age,younger,8,safety,1158.0811653679998,472
age,middle,0,living,1123.4213012261087,1080
age,middle,1,living,950.5524749899188,909
age,middle,2,living,1421.4024908194565,858
age,middle,3,living,1749.0011717627485,955
age,middle,4,living,1155.5151846599708,1195
age,middle,5,living,1874.1890471017714,1090
age,middle,6,living,1357.5607452723505,1006
age,middle,7,living,1963.39911746312,730
age,middle,8,living,1652.0172918935903,889
age,middle,0,biodiversity,1755.3476261743644,1049
age,middle,1,biodiversity,1926.5553472830647,631
age,middle,2,biodiversity,959.1495716442543,951
age,middle,3,biodiversity,1673.025061744478,899
age,middle,4,biodiversity,1895.555136664033,993
age,middle,5,biodiversity,1114.543266787212,869
age,middle,6,biodiversity,1613.9917007919728,874
age,middle,7,biodiversity,1477.702232403078,666
age,middle,8,biodiversity,1347.3947667132563,854
age,middle,0,safety,1665.954886383667,1129
age,middle,1,safety,1172.6631744757424,1095
age,middle,2,safety,1698.6270525908667,1208
age,middle,3,safety,2059.8357102178097,1075
age,middle,4,safety,1739.2434203711014,1424
age,middle,5,safety,1338.873806273165,1118
age,middle,6,safety,776.2193726362545,1258
age,middle,7,safety,1940.2998587246764,1192
