demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2265.908100473855,1931
global,global,1,living,1291.3537646474927,2479
global,global,2,living,110.46012527140898,1931
global,global,3,living,1446.8330138171962,2499
global,global,4,living,2034.3247658093665,2768
global,global,5,living,2208.0323422204965,1925
global,global,6,living,1575.31770317289,2175
global,global,7,living,1693.1041866389749,3009
global,global,8,living,1935.6143005202803,2089
global,global,0,biodiversity,1621.0536363471952,2644
global,global,1,biodiversity,1521.6705678502012,2759
global,global,2,biodiversity,1948.1153894012125,1602
global,global,3,biodiversity,671.4127491261664,1502
global,global,4,biodiversity,2153.8969622033496,2143
global,global,5,biodiversity,1991.1024534642738,2111
global,global,6,biodiversity,1668.4647023743717,2803
global,global,7,biodiversity,1872.2475222378994,2993
global,global,8,biodiversity,2338.228875292386,2735
global,global,0,safety,2175.1133805636546,1887
global,global,1,safety,2042.6978962173782,1860
global,global,2,safety,1440.2399672591873,2581
global,global,3,safety,1557.1100150388163,2678
global,global,4,safety,46.573912799061176,1687
global,global,5,safety,1544.056190637359,2871
global,global,6,safety,2278.8400757702234,2687
global,global,7,safety,1294.8414151050213,2438
global,global,8,safety,1911.41646307832,2513
gender,man,0,living,2025.046189758064,976
gender,man,1,living,308.1637017247278,1257
gender,man,2,living,759.0659876440247,1009
gender,man,3,living,1006.4196627667833,1245
gender,man,4,living,1968.845460553899,1411
gender,man,5,living,1716.6452142480764,1001
gender,man,6,living,703.7757122673831,1116
gender,man,7,living,1667.1621996332556,1494
gender,man,8,living,1288.3063392781307,1109
gender,man,0,biodiversity,1640.8346908538012,1400
gender,man,1,biodiversity,1059.2636455881673,1355
gender,man,2,biodiversity,1634.071195686476,858
gender,man,3,biodiversity,744.7556964985199,769
gender,man,4,biodiversity,2038.5118293896546,1050
gender,man,5,biodiversity,1949.3112157813364,1059
gender,man,6,biodiversity,1379.6890619076203,1498
gender,man,7,biodiversity,1466.8858746062012,1576
gender,man,8,biodiversity,1807.522287737653,1387
gender,man,0,safety,2087.036217497286,971
gender,man,1,safety,1909.0294553179472,954
gender,man,2,safety,1674.0808344777654,1341
gender,man,3,safety,1125.2901609642488,1377
gender,man,4,safety,29.023722145805024,857
gender,man,5,safety,1949.3124697675537,1469
gender,man,6,safety,1802.3204099475427,1394
gender,man,7,safety,369.67969853571503,1217
gender,man,8,safety,1573.534112847135,1274
gender,woman,0,living,1624.0175332974195,789
gender,woman,1,living,1589.369569764413,1002
gender,woman,2,living,624.4159486118532,775
gender,woman,3,living,1518.6912338666075,992
gender,woman,4,living,902.342592295584,1068
gender,woman,5,living,1789.753911453354,789
gender,woman,6,living,1719.742693475027,883
gender,woman,7,living,1464.8220101183344,1217
gender,woman,8,living,1994.633576915833,795
gender,woman,0,biodiversity,1181.839082897986,976
gender,woman,1,biodiversity,1472.28480872605,1134
gender,woman,2,biodiversity,1894.6164007617983,586
gender,woman,3,biodiversity,1678.0038973140456,697
gender,woman,4,biodiversity,1321.1912137624179,882
gender,woman,5,biodiversity,1073.2135028143591,875
gender,woman,6,biodiversity,1168.4970504471407,1047
gender,woman,7,biodiversity,1634.9222282127735,1171
gender,woman,8,biodiversity,2005.8254559620757,1070
gender,woman,0,safety,1249.9402630310615,777
gender,woman,1,safety,1960.4798222226718,754
gender,woman,2,safety,1887.7667673692783,1059
gender,woman,3,safety,1640.2669695362886,1103
gender,woman,4,safety,1546.609095831077,754
gender,woman,5,safety,1392.8997622886943,1169
gender,woman,6,safety,1455.3844497794498,1093
gender,woman,7,safety,1838.668208490265,1007
gender,woman,8,safety,1772.0430841995894,1004
gender,other,0,living,1500.003179062855,10
gender,other,1,living,1568.7023235392576,10
gender,other,2,living,1428.0221632626874,8
gender,other,3,living,1476.0807620317378,14
gender,other,4,living,1486.012021314522,11
gender,other,5,living,1451.6254137805931,14
gender,other,6,living,1548.8435488018638,12
gender,other,7,living,1511.9050458618071,13
gender,other,8,living,1524.054100048012,10
gender,other,0,biodiversity,1571.5160996386712,10
gender,other,1,biodiversity,1462.3243915613414,19
gender,other,2,biodiversity,1500.1271141632706,18
gender,other,3,biodiversity,1521.7150475149547,14
gender,other,4,biodiversity,1413.0982492973442,11
gender,other,5,biodiversity,1534.9340593969089,15
gender,other,6,biodiversity,1556.8074160277645,13
gender,other,7,biodiversity,1488.0987519554226,9
gender,other,8,biodiversity,1437.910434599634,15
gender,other,0,safety,1536.0123281010249,13
gender,other,1,safety,1463.6816522201825,13
gender,other,2,safety,1452.8422367342741,10
gender,other,3,safety,1501.238380158153,12
gender,other,4,safety,1441.372707861741,13
gender,other,5,safety,1547.174486230104,10
gender,other,6,safety,1522.0877985085883,16
gender,other,7,safety,1477.5181382160977,20
gender,other,8,safety,1559.9999693131101,5
age,younger,0,living,1805.4687722254807,564
age,younger,1,living,1308.729686002058,636
age,younger,2,living,1040.01596510918,476
age,younger,3,living,1638.255283947235,739
age,younger,4,living,1914.0571240345869,759
age,younger,5,living,1757.6979000059225,613
age,younger,6,living,1686.2511247140787,671
age,younger,7,living,1842.328778474168,840
age,younger,8,living,1572.8702080690412,618
age,younger,0,biodiversity,1253.0272136873684,759
age,younger,1,biodiversity,1113.080189482553,793
age,younger,2,biodiversity,1871.1600888590306,426
age,younger,3,biodiversity,1051.2986350991193,384
age,younger,4,biodiversity,1784.4191288021561,604
age,younger,5,biodiversity,1651.4262201043064,579
age,younger,6,biodiversity,1556.630858356518,781
age,younger,7,biodiversity,557.328569462274,823
age,younger,8,biodiversity,1857.974910602915,785
age,younger,0,safety,1939.898777634951,541
age,younger,1,safety,1677.4044005601093,555
age,younger,2,safety,1103.0886631213996,700
age,younger,3,safety,1792.4055410777376,758
age,younger,4,safety,945.7232746810208,482
age,younger,5,safety,1721.7455168087424,803
age,younger,6,safety,1464.3297968057268,786
age,younger,7,safety,1122.2194645966092,649
age,younger,8,safety,1728.6356469814186,658
age,middle,0,living,1932.3990342483157,783
age,middle,1,living,1338.2344491463016,1060
age,middle,2,living,1206.064929774628,827
age,middle,3,living,870.6285375033688,1001
age,middle,4,living,474.81992164080754,1116
age,middle,5,living,1653.27241766157,798
age,middle,6,living,1898.3488048589975,931
age,middle,7,living,1749.705122728455,1255
age,middle,8,living,1782.390616712598,843
age,middle,0,biodiversity,1937.7030596064028,1060
age,middle,1,biodiversity,1758.4754784029235,1183
age,middle,2,biodiversity,1676.2693388004445,714
age,middle,3,biodiversity,1512.025667263272,701
age,middle,4,biodiversity,1690.0631949722742,872
age,middle,5,biodiversity,1787.375565622845,903
age,middle,6,biodiversity,1171.1778074846002,1197
age,middle,7,biodiversity,1894.277838897355,1252
age,middle,8,biodiversity,1144.842253355454,1136
age,middle,0,safety,2004.375096388955,753
age,middle,1,safety,1907.434430106194,772
age,middle,2,safety,1547.7878131337811,1179
age,middle,3,safety,1505.7319851081186,1175
age,middle,4,safety,1676.0239862488593,772
age,middle,5,safety,1270.6436366816308,1247
age,middle,6,safety,1467.7834857733596,1129
age,middle,7,safety,1007.5209446706971,1022
age,middle,8,safety,1760.7483832563935,1067
age,older,0,living,1457.2480844354247,424
age,older,1,living,1539.8509381866768,566
age,older,2,living,1384.6336714474464,482
age,older,3,living,1764.018105563594,511
age,older,4,living,1726.3072991060922,609
age,older,5,living,1832.0160830022623,389
age,older,6,living,965.1641760852024,411
age,older,7,living,1617.4361191957375,630
age,older,8,living,1803.4720621492374,450
age,older,0,biodiversity,1041.7737281169025,560
age,older,1,biodiversity,867.2705523683245,525
age,older,2,biodiversity,1852.4022564077209,317
age,older,3,biodiversity,1280.0612476600083,389
age,older,4,biodiversity,1677.448770423399,468
age,older,5,biodiversity,1305.2046134651073,454
age,older,6,biodiversity,1596.8310274373262,569
age,older,7,biodiversity,1621.243320656419,662
age,older,8,biodiversity,1734.2441301654299,546
age,older,0,safety,1283.349781848165,458
age,older,1,safety,1678.153376521355,377
age,older,2,safety,1728.2785425449656,519
age,older,3,safety,847.9816521841817,553
age,older,4,safety,1217.5009880281702,364
age,older,5,safety,1334.5771149533762,592
age,older,6,safety,1923.7907261659814,585
age,older,7,safety,1433.9062266888277,568
age,older,8,safety,1572.541477663294,550
ethnicity,white,0,living,2165.412817412118,1498
ethnicity,white,1,living,771.4021593933968,1972
ethnicity,white,2,living,-96.73548355931192,1561
ethnicity,white,3,living,508.911780490425,1954
ethnicity,white,4,living,1343.6952592101293,2154
ethnicity,white,5,living,1867.3232570351058,1543
ethnicity,white,6,living,1674.3734853838628,1716
ethnicity,white,7,living,1753.6824325209052,2365
ethnicity,white,8,living,1577.9485045767353,1601
ethnicity,white,0,biodiversity,1362.0042886017457,2023
ethnicity,white,1,biodiversity,1492.5847445436752,2173
ethnicity,white,2,biodiversity,2031.312981614977,1265
ethnicity,white,3,biodiversity,248.41352592502903,1231
ethnicity,white,4,biodiversity,2062.431532537693,1687
ethnicity,white,5,biodiversity,1206.433538145685,1674
ethnicity,white,6,biodiversity,1691.6899292015985,2222
ethnicity,white,7,biodiversity,1963.3821313115848,2374
ethnicity,white,8,biodiversity,2176.132504287237,2145
ethnicity,white,0,safety,2074.0867228061143,1557
ethnicity,white,1,safety,2020.164576363842,1444
ethnicity,white,2,safety,1176.159895235649,2062
ethnicity,white,3,safety,1824.230785721765,2151
ethnicity,white,4,safety,510.61479120549586,1379
ethnicity,white,5,safety,1971.609050666828,2286
ethnicity,white,6,safety,2197.414132683551,2187
ethnicity,white,7,safety,685.9638318122832,1953
ethnicity,white,8,safety,2049.9690968593563,1983
ethnicity,other,0,living,1361.38053894434,196
ethnicity,other,1,living,1524.062225549052,214
ethnicity,other,2,living,1685.6718685863061,154
ethnicity,other,3,living,1576.7061992786466,217
ethnicity,other,4,living,1668.0877957086782,238
ethnicity,other,5,living,1488.9635141102756,197
ethnicity,other,6,living,1303.4070349200294,202
ethnicity,other,7,living,1393.343239992072,234
ethnicity,other,8,living,1705.3035983584457,220
ethnicity,other,0,biodiversity,1495.5753681042108,264
ethnicity,other,1,biodiversity,1166.687391715412,230
ethnicity,other,2,biodiversity,1707.8975011731147,136
ethnicity,other,3,biodiversity,1640.8168408626818,180
ethnicity,other,4,biodiversity,1425.0365888207934,192
ethnicity,other,5,biodiversity,1736.0535896795654,194
ethnicity,other,6,biodiversity,1364.6978707948779,223
ethnicity,other,7,biodiversity,1094.1934391433033,254
ethnicity,other,8,biodiversity,1524.1902904425083,231
ethnicity,other,0,safety,1768.7484623597227,141
ethnicity,other,1,safety,1672.4946223857503,194
ethnicity,other,2,safety,1518.323857566065,240
ethnicity,other,3,safety,1185.6006976324743,236
ethnicity,other,4,safety,1353.0598396033126,175
ethnicity,other,5,safety,1587.85897570374,251
ethnicity,other,6,safety,1454.8673504716935,241
ethnicity,other,7,safety,1224.2571162238098,209
ethnicity,other,8,safety,1633.4136889098422,217
education,sixteen,0,living,1475.6538301253624,112
education,sixteen,1,living,1492.653840090704,164
education,sixteen,2,living,1575.5197929428894,147
education,sixteen,3,living,1323.062509400324,169
education,sixteen,4,living,1533.1635775213279,171
education,sixteen,5,living,1601.4837707845502,123
education,sixteen,6,living,1728.7034734706392,105
education,sixteen,7,living,1012.7371351648733,176
education,sixteen,8,living,1564.9179075025866,151
education,sixteen,0,biodiversity,1473.8829725014768,159
education,sixteen,1,biodiversity,1446.4348752619853,168
education,sixteen,2,biodiversity,1425.127141842885,112
education,sixteen,3,biodiversity,1524.3077027883166,127
education,sixteen,4,biodiversity,1370.702677508791,124
education,sixteen,5,biodiversity,1597.1197802735637,136
education,sixteen,6,biodiversity,1329.0444926903835,197
education,sixteen,7,biodiversity,1751.3972975358965,195
education,sixteen,8,biodiversity,1637.3988034891534,156
education,sixteen,0,safety,1402.2353553473142,134
education,sixteen,1,safety,1353.282961568331,123
education,sixteen,2,safety,1711.6556552067882,161
education,sixteen,3,safety,1334.5199387776672,154
education,sixteen,4,safety,1681.5093695249484,119
education,sixteen,5,safety,1572.6950121037432,156
education,sixteen,6,safety,1571.746833950051,192
education,sixteen,7,safety,1484.6944191654425,174
education,sixteen,8,safety,1510.223049620564,167
education,eighteen,0,living,1817.0488873190513,290
education,eighteen,1,living,1729.0466176830446,436
education,eighteen,2,living,1608.8488136200858,363
education,eighteen,3,living,1533.2914620518256,393
education,eighteen,4,living,796.2697661893646,426
education,eighteen,5,living,1671.1015705963227,279
education,eighteen,6,living,1165.5791378710503,328
education,eighteen,7,living,1572.8861869882264,522
education,eighteen,8,living,1030.0127683853475,335
education,eighteen,0,biodiversity,1437.9647259473825,442
education,eighteen,1,biodiversity,1152.5165870575495,453
education,eighteen,2,biodiversity,1343.9988225288182,317
education,eighteen,3,biodiversity,1448.620278715322,312
education,eighteen,4,biodiversity,1826.545947786948,373
education,eighteen,5,biodiversity,904.9035123460595,338
education,eighteen,6,biodiversity,1589.5412304975243,436
education,eighteen,7,biodiversity,1810.6674256996287,533
education,eighteen,8,biodiversity,1727.3693954999026,446
education,eighteen,0,safety,1842.1445009354004,316
education,eighteen,1,safety,1451.719823251009,322
education,eighteen,2,safety,1591.7223463206071,488
education,eighteen,3,safety,1780.8760211929532,432
education,eighteen,4,safety,740.0549064896752,283
education,eighteen,5,safety,1364.39312579423,507
education,eighteen,6,safety,1564.4637520678518,472
education,eighteen,7,safety,1537.6421784607357,419
education,eighteen,8,safety,1435.6313018274968,381
education,older,0,living,1697.0943118442456,1357
education,older,1,living,385.8802488825405,1629
education,older,2,living,-483.22571321735006,1258
education,older,3,living,1281.452724249437,1654
education,older,4,living,2027.4991655381846,1860
education,older,5,living,1949.781374905767,1384
education,older,6,living,1145.2889095190767,1561
education,older,7,living,1755.1859113905907,1995
education,older,8,living,2115.979482025361,1404
education,older,0,biodiversity,1781.7270513610956,1749
education,older,1,biodiversity,1315.2769678858378,1862
education,older,2,biodiversity,2029.3141551184278,1010
education,older,3,biodiversity,633.6508892195443,1027
education,older,4,biodiversity,1856.9463654112697,1421
education,older,5,biodiversity,1925.1263569828604,1452
education,older,6,biodiversity,1752.101002387604,1892
education,older,7,biodiversity,46.57511188750787,1990
education,older,8,biodiversity,1480.9316593697652,1839
education,older,0,safety,1952.9324863217419,1287
education,older,1,safety,2102.518492289726,1256
education,older,2,safety,1282.703254772524,1731
education,older,3,safety,1233.2896223240596,1872
education,older,4,safety,607.5196840246898,1203
education,older,5,safety,1758.3415352191596,1955
education,older,6,safety,1717.6447575523355,1808
education,older,7,safety,374.96547771353204,1625
education,older,8,safety,1885.3578451329483,1699
income,lower,0,living,1285.2350567968192,323
income,lower,1,living,1534.450049011865,399
income,lower,2,living,1201.6969689084303,365
income,lower,3,living,1549.6912251843148,388
income,lower,4,living,1124.626533637338,422
income,lower,5,living,1730.2293458116721,289
income,lower,6,living,1848.1922068400636,305
income,lower,7,living,1637.6040130381873,457
income,lower,8,living,1369.572538542477,358
income,lower,0,biodiversity,1335.0288601594202,426
income,lower,1,biodiversity,1717.3728078497613,480
income,lower,2,biodiversity,1418.1456321418532,248
income,lower,3,biodiversity,1706.4867434646628,383
income,lower,4,biodiversity,1521.1396547560946,362
income,lower,5,biodiversity,1793.5451936279435,405
income,lower,6,biodiversity,1666.853828946546,413
income,lower,7,biodiversity,1626.7089516738752,546
income,lower,8,biodiversity,1443.3988187036161,419
income,lower,0,safety,1665.5240666041113,302
income,lower,1,safety,1715.1571003478107,374
income,lower,2,safety,1520.3389312677937,426
income,lower,3,safety,1760.8813723854598,523
income,lower,4,safety,1078.4853044854724,338
income,lower,5,safety,1773.3457597595684,441
income,lower,6,safety,1515.7445300472923,460
income,lower,7,safety,1637.3069515619725,448
income,lower,8,safety,1180.0716443057852,420
income,middle,0,living,1880.7571754300952,561
income,middle,1,living,1195.9027902819057,718
income,middle,2,living,816.1080872495689,533
income,middle,3,living,1510.9269117185654,722
income,middle,4,living,1478.9774744663973,825
income,middle,5,living,1724.9288966431739,559
income,middle,6,living,994.5283504343776,670
income,middle,7,living,1594.9805858381637,915
income,middle,8,living,1924.529549628522,613
income,middle,0,biodiversity,1444.6518226146043,772
income,middle,1,biodiversity,1379.1641528152181,858
income,middle,2,biodiversity,1922.4423904931007,476
income,middle,3,biodiversity,1257.1887808641375,411
income,middle,4,biodiversity,1703.4601561364204,661
income,middle,5,biodiversity,1688.7143135776835,599
