demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,655.9260459343031,3202
global,global,1,living,2218.44018319627,1374
global,global,2,living,1103.351707028759,3492
global,global,3,living,1965.4837557618857,3309
global,global,4,living,1701.149965414233,3187
global,global,5,living,1854.6089426692083,3364
global,global,6,living,1762.9434674248273,2358
global,global,7,living,1615.3600908833291,3385
global,global,8,living,513.5726662822974,3335
global,global,0,biodiversity,1673.5876976337327,1872
global,global,1,biodiversity,1421.5255361520824,2175
global,global,2,biodiversity,1840.322434874327,2154
global,global,3,biodiversity,1089.4339651858554,2151
global,global,4,biodiversity,2021.2046763392384,1614
global,global,5,biodiversity,2169.693922506128,1187
global,global,6,biodiversity,366.7203527250436,1423
global,global,7,biodiversity,840.4744464928788,1433
global,global,8,biodiversity,1030.1887992595134,2383
global,global,0,safety,445.5436878941434,2507
global,global,1,safety,1127.9591822326424,2006
global,global,2,safety,2089.8337773765247,2565
global,global,3,safety,1209.6945516915484,2552
global,global,4,safety,1976.7061206005449,918
global,global,5,safety,510.36885566063296,2511
global,global,6,safety,1536.4797993524933,2436
global,global,7,safety,1895.018936706191,2076
global,global,8,safety,1012.3108789631256,2331
gender,man,0,living,389.72129987161,1625
gender,man,1,living,1942.4055523779202,740
gender,man,2,living,1870.9004710142199,1756
gender,man,3,living,1766.556112674506,1727
gender,man,4,living,2017.0021358376046,1600
gender,man,5,living,1698.4779157759199,1679
gender,man,6,living,1927.0257709961293,1252
gender,man,7,living,1097.4958052415936,1730
gender,man,8,living,666.3991782969792,1709
gender,man,0,biodiversity,1684.7956422147317,949
gender,man,1,biodiversity,1843.391112058114,1136
gender,man,2,biodiversity,1515.1505879816946,1105
gender,man,3,biodiversity,1451.630384473357,1084
gender,man,4,biodiversity,1970.3112676219132,828
gender,man,5,biodiversity,1783.7094242616731,631
gender,man,6,biodiversity,1176.2886391242714,791
gender,man,7,biodiversity,1131.9395776338479,688
gender,man,8,biodiversity,1361.473175284976,1246
gender,man,0,safety,866.6316310707383,1275
gender,man,1,safety,1727.76085798865,1067
gender,man,2,safety,2014.9413908868917,1216
gender,man,3,safety,1841.2627203262657,1247
gender,man,4,safety,1867.1667790351887,508
gender,man,5,safety,930.45967430583,1268
gender,man,6,safety,490.7997869965935,1290
gender,man,7,safety,1570.2241304609136,1091
gender,man,8,safety,1075.860133854611,1186
gender,woman,0,living,1420.682073887856,1234
gender,woman,1,living,1993.1414904373482,556
gender,woman,2,living,1346.166177246349,1409
gender,woman,3,living,1716.332684217542,1279
gender,woman,4,living,1539.9553679552926,1287
