demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1688.9581584891348,2250
global,global,1,living,633.3456279714769,2283
global,global,2,living,1888.5781907904347,2786
global,global,3,living,2165.911363092485,2649
global,global,4,living,1695.660757711425,2171
global,global,5,living,2226.740157684104,2383
global,global,6,living,2280.6939443604083,2131
global,global,7,living,2332.121452490897,2193
global,global,8,living,1680.3202799335352,2080
global,global,0,biodiversity,1748.356073353975,2981
global,global,1,biodiversity,312.0766202443739,2486
global,global,2,biodiversity,1607.354634849464,1925
global,global,3,biodiversity,1808.7349175717081,2969
global,global,4,biodiversity,1922.047951245534,2300
global,global,5,biodiversity,1297.862919664965,1639
global,global,6,biodiversity,1991.3589283076449,2231
global,global,7,biodiversity,685.467070789666,2093
global,global,8,biodiversity,2144.359605748903,1482
global,global,0,safety,259.20537305210223,1945
global,global,1,safety,2152.246424298906,2984
global,global,2,safety,1611.2842125983582,2199
global,global,3,safety,2116.210402275357,1880
global,global,4,safety,1954.661129976259,2840
global,global,5,safety,2212.6954917302355,2264
global,global,6,safety,1507.766500210496,2505
global,global,7,safety,1787.9319912643548,2980
global,global,8,safety,2246.6567793257263,2671
gender,man,0,living,1815.0354508578744,1144
gender,man,1,living,670.5548574666909,1145
gender,man,2,living,1566.7209434000276,1440
gender,man,3,living,1785.5657131031671,1347
gender,man,4,living,1589.7598655851186,1150
gender,man,5,living,1919.6392795241318,1227
gender,man,6,living,1734.7362459052877,1150
gender,man,7,living,2049.369576745607,1038
gender,man,8,living,1855.8062231207357,1089
gender,man,0,biodiversity,1041.4988696385835,1522
gender,man,1,biodiversity,1612.5656939594,1319
gender,man,2,biodiversity,1975.0681083017746,991
gender,man,3,biodiversity,378.8895762451873,1484
gender,man,4,biodiversity,1570.0795592063848,1154
gender,man,5,biodiversity,1773.5658765981107,817
gender,man,6,biodiversity,1676.5235920165892,1159
gender,man,7,biodiversity,1153.9629488924206,1122
gender,man,8,biodiversity,1823.4843740751487,750
gender,man,0,safety,1372.2600365159678,991
gender,man,1,safety,1333.933383753575,1529
gender,man,2,safety,1928.877554739366,1134
gender,man,3,safety,1604.3438690558382,970
gender,man,4,safety,1907.5272372032603,1449
gender,man,5,safety,2051.2744788030204,1194
gender,man,6,safety,1492.621955096816,1291
gender,man,7,safety,1682.6011636407711,1440
gender,man,8,safety,1818.1773383633663,1378
gender,woman,0,living,1439.7425921345987,820
gender,woman,1,living,1124.0202780166446,923
gender,woman,2,living,1458.4818693015648,1089
gender,woman,3,living,1956.6393640585727,992
gender,woman,4,living,1483.5292088445506,833
gender,woman,5,living,1762.3092238607846,945
gender,woman,6,living,1805.381810680363,818
gender,woman,7,living,1915.7228616899995,952
gender,woman,8,living,1559.056177216408,854
gender,woman,0,biodiversity,1975.9773848737022,1213
gender,woman,1,biodiversity,635.3898657788964,1007
gender,woman,2,biodiversity,1413.3758878837566,774
gender,woman,3,biodiversity,1610.2981234735719,1269
gender,woman,4,biodiversity,1786.993179901103,917
gender,woman,5,biodiversity,1544.8077759962193,689
gender,woman,6,biodiversity,1304.9923937320405,887
gender,woman,7,biodiversity,928.7665231628357,793
gender,woman,8,biodiversity,1895.847178407315,651
gender,woman,0,safety,871.4737889150538,843
gender,woman,1,safety,1882.3549822642112,1195
gender,woman,2,safety,1345.3290289025695,927
gender,woman,3,safety,1983.5846800739823,773
gender,woman,4,safety,1231.3176935145025,1145
gender,woman,5,safety,1914.366799839695,912
gender,woman,6,safety,1533.6045670676338,997
gender,woman,7,safety,1714.993221766856,1197
gender,woman,8,safety,1875.9702384549419,1053
gender,other,0,living,1438.761034864537,7
gender,other,1,living,1524.7471993225586,14
gender,other,2,living,1499.5139329444723,14
gender,other,3,living,1452.7080650160049,14
gender,other,4,living,1525.968002252101,14
gender,other,5,living,1463.931134494086,9
gender,other,6,living,1535.2009683639253,7
gender,other,7,living,1571.1723836849264,8
gender,other,8,living,1488.4171750096143,19
gender,other,0,biodiversity,1485.6677884171838,17
gender,other,1,biodiversity,1528.355327962767,14
gender,other,2,biodiversity,1450.2543818930747,14
gender,other,3,biodiversity,1582.5071318740813,14
gender,other,4,biodiversity,1559.7836058219068,18
gender,other,5,biodiversity,1482.7695430404872,10
gender,other,6,biodiversity,1373.1685421719178,11
gender,other,7,biodiversity,1532.4303749092858,7
gender,other,8,biodiversity,1463.9261156897053,13
gender,other,0,safety,1499.9624474233337,12
gender,other,1,safety,1571.481709292093,8
gender,other,2,safety,1425.5480161835196,6
gender,other,3,safety,1534.1140817673524,17
gender,other,4,safety,1557.7639120447095,13
gender,other,5,safety,1512.1011921695529,13
gender,other,6,safety,1473.9045876300736,14
gender,other,7,safety,1453.4618601374057,20
gender,other,8,safety,1463.2841808724647,11
age,younger,0,living,1642.5184283701526,613
age,younger,1,living,985.767232808162,653
age,younger,2,living,1899.770881409709,772
age,younger,3,living,1405.3635489202443,672
age,younger,4,living,1300.5970418080421,644
age,younger,5,living,1588.732876728622,645
age,younger,6,living,1757.56585947627,615
age,younger,7,living,1813.2453133673375,586
age,younger,8,living,1122.1595842370261,578
age,younger,0,biodiversity,1541.7526327951873,866
age,younger,1,biodiversity,1855.75999373036,724
age,younger,2,biodiversity,1491.019767102217,536
age,younger,3,biodiversity,1729.4220339215742,836
age,younger,4,biodiversity,1305.3462461443546,653
age,younger,5,biodiversity,1761.6444623876757,494
age,younger,6,biodiversity,1375.6517123912618,607
age,younger,7,biodiversity,765.9263326382828,516
age,younger,8,biodiversity,1800.394064878106,438
age,younger,0,safety,779.1738295862388,528
age,younger,1,safety,1537.3670611784496,824
age,younger,2,safety,1574.1604185661702,685
age,younger,3,safety,1920.2842673775692,520
age,younger,4,safety,1847.2769251600644,820
age,younger,5,safety,1610.313648520755,691
age,younger,6,safety,1696.6227029027896,734
age,younger,7,safety,1637.5315565778303,835
age,younger,8,safety,1796.1962248416864,697
age,middle,0,living,1322.0847699643634,931
age,middle,1,living,1321.1651861566245,929
age,middle,2,living,1690.5909948273777,1183
age,middle,3,living,1512.8531808675282,1114
age,middle,4,living,961.6697551612219,924
age,middle,5,living,1622.5367584340192,999
age,middle,6,living,2063.359978643629,903
age,middle,7,living,1573.885495214885,947
age,middle,8,living,1835.256810680053,890
age,middle,0,biodiversity,1829.9239017666157,1248
age,middle,1,biodiversity,488.4076854288045,1088
age,middle,2,biodiversity,1222.9931249222554,819
age,middle,3,biodiversity,1253.6536749294628,1298
age,middle,4,biodiversity,1654.3294584967107,976
age,middle,5,biodiversity,1549.2189753408345,643
age,middle,6,biodiversity,1498.5664470730717,931
age,middle,7,biodiversity,1154.096017955956,906
age,middle,8,biodiversity,1995.1472342238937,655
age,middle,0,safety,1723.642228139213,906
age,middle,1,safety,1445.4223770999195,1276
age,middle,2,safety,1814.5503677239428,918
age,middle,3,safety,1948.7160325664427,869
age,middle,4,safety,1312.5087559804715,1110
age,middle,5,safety,1787.5301374088162,912
age,middle,6,safety,1722.9717803067492,1023
age,middle,7,safety,1870.972613078103,1253
age,middle,8,safety,1700.292579185797,1097
age,older,0,living,1326.2468465237682,423
age,older,1,living,1568.6551390289042,486
age,older,2,living,1060.2410721187696,576
age,older,3,living,1797.7274041080398,570
age,older,4,living,1839.2245202096208,424
age,older,5,living,1705.2235074749885,520
age,older,6,living,1294.7486066412075,447
age,older,7,living,1456.7413592849089,465
age,older,8,living,1634.2209693570746,491
age,older,0,biodiversity,926.4183552823695,631
age,older,1,biodiversity,1289.4540632759818,527
age,older,2,biodiversity,1764.0476550981048,419
age,older,3,biodiversity,1522.569940596093,626
age,older,4,biodiversity,1824.7840726185118,452
age,older,5,biodiversity,1395.6878153656376,373
age,older,6,biodiversity,1843.8406291421995,523
age,older,7,biodiversity,1368.029334063437,493
age,older,8,biodiversity,1554.2361964061163,320
age,older,0,safety,1564.88833672382,410
age,older,1,safety,1827.1522255649008,619
age,older,2,safety,1410.876307882942,450
age,older,3,safety,1696.7640303414757,364
age,older,4,safety,1235.0717808710654,666
age,older,5,safety,1711.1718192512508,512
age,older,6,safety,1726.718749466249,544
age,older,7,safety,1286.7624554739239,559
age,older,8,safety,1764.419784613877,638
ethnicity,white,0,living,1454.8745862580015,1678
ethnicity,white,1,living,-111.99582116965871,1762
ethnicity,white,2,living,1856.9312867893493,2199
ethnicity,white,3,living,2212.9840908229867,2080
ethnicity,white,4,living,1515.4257194876109,1722
ethnicity,white,5,living,1514.0294693153949,1880
ethnicity,white,6,living,1919.618348651857,1682
ethnicity,white,7,living,2035.157258888507,1735
ethnicity,white,8,living,2140.554151434461,1698
