demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2066.3878730860724,2439
global,global,1,living,1459.151162143061,2529
global,global,2,living,1927.213591202536,1880
global,global,3,living,1735.0335199108729,2989
global,global,4,living,2100.783245658687,2191
global,global,5,living,876.7948798282073,1798
global,global,6,living,2228.622156325806,1878
global,global,7,living,157.4365925077246,1964
global,global,8,living,1486.6074022857397,2572
global,global,0,biodiversity,1363.4557569520596,2661
global,global,1,biodiversity,1889.613709142497,3426
global,global,2,biodiversity,998.1762401058944,3092
global,global,3,biodiversity,2212.3726400452056,1277
global,global,4,biodiversity,635.575455943449,2229
global,global,5,biodiversity,1280.4443968061091,2625
global,global,6,biodiversity,1759.8029637096067,2176
global,global,7,biodiversity,1479.0282114692432,2707
global,global,8,biodiversity,2055.919445945812,2489
global,global,0,safety,373.42386326440334,2094
global,global,1,safety,1861.901836665659,2970
global,global,2,safety,1287.9775769196374,2149
global,global,3,safety,2266.8660947318067,1919
global,global,4,safety,1592.348065013741,2273
global,global,5,safety,2188.6589893053892,2232
global,global,6,safety,4.31732278016359,1517
global,global,7,safety,1711.329340961044,2470
global,global,8,safety,1524.4623219269627,2754
gender,man,0,living,1723.808031720478,1263
gender,man,1,living,1102.5768426937195,1241
gender,man,2,living,1811.6312987081244,957
gender,man,3,living,1323.0562724331817,1549
gender,man,4,living,1499.3363806036418,1157
gender,man,5,living,1377.2223926309498,952
gender,man,6,living,2003.5935373650666,890
gender,man,7,living,1203.8822781674114,1054
gender,man,8,living,1830.903251702909,1283
gender,man,0,biodiversity,1630.8775087789004,1299
gender,man,1,biodiversity,1735.8687863439443,1754
gender,man,2,biodiversity,1755.9244065167138,1566
gender,man,3,biodiversity,1938.2285569933695,700
gender,man,4,biodiversity,256.7190428186194,1106
gender,man,5,biodiversity,1345.331901937414,1323
gender,man,6,biodiversity,2021.879843634069,1032
gender,man,7,biodiversity,1715.8155085077706,1394
gender,man,8,biodiversity,1372.1462455082506,1314
gender,man,0,safety,1347.8578819880752,1106
gender,man,1,safety,1436.5263512352283,1478
gender,man,2,safety,1942.5172107339426,1117
gender,man,3,safety,2083.0909094750446,922
gender,man,4,safety,1671.3929097045946,1225
gender,man,5,safety,1602.6784128593115,1152
gender,man,6,safety,777.23919562462,806
gender,man,7,safety,1397.0782173552989,1300
gender,man,8,safety,1813.895938826738,1484
gender,woman,0,living,1378.368854623441,976
gender,woman,1,living,1192.9643382431464,1061
gender,woman,2,living,1449.6206711186985,783
gender,woman,3,living,1759.231934860218,1179
gender,woman,4,living,1868.5675395998642,791
gender,woman,5,living,1920.156031171471,679
gender,woman,6,living,1800.1413266889328,801
gender,woman,7,living,746.3300586181552,776
gender,woman,8,living,1161.1011263308496,1010
gender,woman,0,biodiversity,1418.7711609899022,1110
gender,woman,1,biodiversity,1666.6443137959516,1440
gender,woman,2,biodiversity,1447.719176665593,1243
gender,woman,3,biodiversity,1755.0774361478636,487
gender,woman,4,biodiversity,1836.8245886661875,941
gender,woman,5,biodiversity,1070.2748172671465,999
gender,woman,6,biodiversity,1637.4098148733574,883
gender,woman,7,biodiversity,535.423667689118,1072
gender,woman,8,biodiversity,2001.3851448232808,961
gender,woman,0,safety,1482.9212659241068,864
gender,woman,1,safety,1832.68245008114,1292
gender,woman,2,safety,1433.103089198674,886
gender,woman,3,safety,1747.5178709873337,817
gender,woman,4,safety,931.4660243755893,900
gender,woman,5,safety,1969.7286968822086,845
gender,woman,6,safety,749.010130196209,649
gender,woman,7,safety,1879.110412413818,972
gender,woman,8,safety,1123.1793532829392,1051
gender,other,0,living,1474.6812754859525,8
gender,other,1,living,1571.4322951820725,10
gender,other,2,living,1524.4714731478668,14
gender,other,3,living,1487.639004367277,9
gender,other,4,living,1428.2358043976617,8
gender,other,5,living,1450.4211582922367,20
gender,other,6,living,1545.5006751940084,12
gender,other,7,living,1522.435018023952,12
gender,other,8,living,1487.9311697212247,7
gender,other,0,biodiversity,1486.608959442471,15
gender,other,1,biodiversity,1426.6441421564061,8
gender,other,2,biodiversity,1548.7998242354195,10
gender,other,3,biodiversity,1559.9999507152088,11
gender,other,4,biodiversity,1465.1537829806718,13
gender,other,5,biodiversity,1500.0010663263783,12
gender,other,6,biodiversity,1523.1765390196842,14
gender,other,7,biodiversity,1451.701196797062,14
gender,other,8,biodiversity,1536.6321060522596,17
gender,other,0,safety,1411.9242246776573,11
gender,other,1,safety,1513.1652809068273,23
gender,other,2,safety,1464.458457991965,9
gender,other,3,safety,1536.0779739463555,13
gender,other,4,safety,1549.2997076657643,12
gender,other,5,safety,1452.4600140148727,8
gender,other,6,safety,1560.0441977545486,11
gender,other,7,safety,1471.2058339252856,16
gender,other,8,safety,1535.6032721542083,21
age,younger,0,living,1645.540941487195,688
age,younger,1,living,1554.966304201489,741
age,younger,2,living,1362.940608223824,557
age,younger,3,living,1915.802845080929,749
age,younger,4,living,1578.1622129711807,624
age,younger,5,living,1668.1846362463912,511
age,younger,6,living,1381.736306352809,574
age,younger,7,living,844.7208172803631,536
age,younger,8,living,1878.8373544379444,646
age,younger,0,biodiversity,1528.4792566050019,754
age,younger,1,biodiversity,1862.8433000215007,983
age,younger,2,biodiversity,457.05993712950783,837
age,younger,3,biodiversity,1906.0422444850342,339
age,younger,4,biodiversity,1430.9012019663398,595
age,younger,5,biodiversity,1555.3152015055603,676
age,younger,6,biodiversity,1587.378588579623,581
age,younger,7,biodiversity,1336.3656742797443,668
age,younger,8,biodiversity,1294.0668295466835,769
age,younger,0,safety,1588.1652901078292,628
age,younger,1,safety,1269.0209007781966,930
age,younger,2,safety,1894.8549210851236,570
age,younger,3,safety,1675.1716566763569,536
age,younger,4,safety,1728.2153381884973,666
age,younger,5,safety,1282.2834300027869,662
age,younger,6,safety,1210.4004881726828,420
age,younger,7,safety,1369.4698979026334,717
age,younger,8,safety,1912.7450878152233,825
age,middle,0,living,1317.1072426982848,1117
age,middle,1,living,1240.5500774949662,1038
age,middle,2,living,1805.9951447314172,807
age,middle,3,living,1234.8044934212337,1345
age,middle,4,living,1546.456902308119,853
age,middle,5,living,1867.3026600483117,740
age,middle,6,living,1954.2661232064568,756
age,middle,7,living,690.1475823547577,809
age,middle,8,living,954.883753434289,1131
age,middle,0,biodiversity,990.8878557873984,1077
age,middle,1,biodiversity,1485.7883264446555,1500
age,middle,2,biodiversity,1766.0561209523994,1298
age,middle,3,biodiversity,1956.108952052626,542
age,middle,4,biodiversity,1517.0617004759692,973
age,middle,5,biodiversity,564.9962496519565,1036
age,middle,6,biodiversity,1833.2448633079198,874
age,middle,7,biodiversity,968.0756016342226,1186
age,middle,8,biodiversity,1926.5441486792859,1034
age,middle,0,safety,1301.890289037385,927
age,middle,1,safety,1613.1981941769864,1182
age,middle,2,safety,1474.0725580943235,951
age,middle,3,safety,1881.6716887307175,860
age,middle,4,safety,333.0481599611588,959
age,middle,5,safety,2012.3224464314123,872
age,middle,6,safety,1225.6016504184313,724
age,middle,7,safety,1726.6128604825801,1032
age,middle,8,safety,926.8174248214461,1125
age,older,0,living,1462.9699653727387,425
age,older,1,living,1377.0395242581735,529
age,older,2,living,1065.3040813744174,382
age,older,3,living,1668.0121456927573,636
age,older,4,living,1627.3883221567332,477
age,older,5,living,1226.6672229555527,404
age,older,6,living,1721.5027961162407,367
age,older,7,living,1759.3769540794474,499
age,older,8,living,1828.1964530640776,509
age,older,0,biodiversity,1537.8824863560578,584
age,older,1,biodiversity,1675.2279348727607,710
age,older,2,biodiversity,1608.6568061181986,673
age,older,3,biodiversity,1572.0053340529978,313
age,older,4,biodiversity,1220.3743905805459,481
age,older,5,biodiversity,1302.623868150881,621
age,older,6,biodiversity,1806.9031899643821,468
