demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,97.65421637507455,2544
global,global,1,living,1997.8685201261603,2201
global,global,2,living,2348.8211533945387,2297
global,global,3,living,1674.4813078916193,3002
global,global,4,living,1064.4098374761493,3440
global,global,5,living,1497.7852196414972,2670
global,global,6,living,2091.7167091418387,2723
global,global,7,living,1878.6961307244094,3091
global,global,8,living,-857.0121474477479,1330
global,global,0,biodiversity,766.9196457823091,2927
global,global,1,biodiversity,1933.7937937127808,3122
global,global,2,biodiversity,624.029518508645,1637
global,global,3,biodiversity,514.0287990581497,3436
global,global,4,biodiversity,1852.3670503121614,3373
global,global,5,biodiversity,2294.63711469507,1544
global,global,6,biodiversity,1661.7896613251303,2378
global,global,7,biodiversity,2148.7598285484632,2584
global,global,8,biodiversity,5.754108784464954,2771
global,global,0,safety,1437.474982469518,1904
global,global,1,safety,927.3199712600389,1300
global,global,2,safety,1985.0778947011931,1854
global,global,3,safety,1176.5901665780382,1728
global,global,4,safety,706.4810443646617,2347
global,global,5,safety,1796.6318866393478,2074
global,global,6,safety,1039.1392490463245,2181
global,global,7,safety,836.8744855198087,1590
global,global,8,safety,2184.4048371386425,1252
gender,man,0,living,749.9770718763682,1315
gender,man,1,living,1983.028807333031,1125
gender,man,2,living,1709.7407160426494,1207
gender,man,3,living,1939.2638801773624,1554
gender,man,4,living,1604.767970112836,1739
gender,man,5,living,2130.720989605663,1393
gender,man,6,living,852.2420760227253,1344
gender,man,7,living,2039.8995178548396,1540
gender,man,8,living,952.5600163546526,725
gender,man,0,biodiversity,557.8147763360006,1426
gender,man,1,biodiversity,1766.0023379429128,1525
gender,man,2,biodiversity,1349.6753141832482,948
gender,man,3,biodiversity,1169.2050556565407,1766
gender,man,4,biodiversity,2091.414563131696,1605
gender,man,5,biodiversity,1914.6677464203246,828
gender,man,6,biodiversity,1362.7742174175708,1171
gender,man,7,biodiversity,1740.0136324831167,1316
gender,man,8,biodiversity,1416.6464764674713,1451
gender,man,0,safety,1863.174613165907,965
gender,man,1,safety,467.7114643678992,655
gender,man,2,safety,1785.9411342191627,1000
gender,man,3,safety,826.4003919165048,885
gender,man,4,safety,1403.4985788202762,1185
gender,man,5,safety,1812.4961770582895,1099
gender,man,6,safety,1717.1080943260972,1114
gender,man,7,safety,1253.5374054288,838
gender,man,8,safety,1987.093165421034,705
gender,woman,0,living,1731.6200912099744,1114
gender,woman,1,living,1922.8124030993563,812
gender,woman,2,living,2039.712094440964,933
gender,woman,3,living,1305.270165905617,1190
gender,woman,4,living,485.4682673156792,1376
gender,woman,5,living,1236.183171019031,1080
gender,woman,6,living,1811.2595847436814,1064
gender,woman,7,living,871.9534316083909,1252
gender,woman,8,living,837.2706175000092,513
gender,woman,0,biodiversity,1444.6952957802944,1245
gender,woman,1,biodiversity,1883.916791442054,1293
gender,woman,2,biodiversity,1291.3474728835201,661
gender,woman,3,biodiversity,1467.1846232982814,1398
gender,woman,4,biodiversity,1527.1427291136379,1347
gender,woman,5,biodiversity,2029.7943722563718,624
gender,woman,6,biodiversity,1831.102781353502,927
gender,woman,7,biodiversity,1947.8796664769538,1048
gender,woman,8,biodiversity,1244.1931994471154,1151
gender,woman,0,safety,1472.4274744686354,761
gender,woman,1,safety,1508.7139067300595,524
gender,woman,2,safety,1887.7203314829421,694
gender,woman,3,safety,1635.2499375290702,724
gender,woman,4,safety,1301.5426362951637,963
gender,woman,5,safety,1778.4396686171501,818
gender,woman,6,safety,1346.9982119107235,836
