demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1223.312002133664,2935
global,global,1,living,579.1201005230741,2404
global,global,2,living,2310.897992842896,2682
global,global,3,living,1306.8543154563386,2668
global,global,4,living,2189.9147541625457,1911
global,global,5,living,539.4348693415058,2236
global,global,6,living,1765.8115364264381,2461
global,global,7,living,1445.7326870472843,2282
global,global,8,living,1363.4000496692088,2583
global,global,0,biodiversity,2235.1154867828986,2290
global,global,1,biodiversity,1117.3887773560687,2577
global,global,2,biodiversity,2312.324224334604,2156
global,global,3,biodiversity,1878.70754519322,2383
global,global,4,biodiversity,1206.7593305459595,3104
global,global,5,biodiversity,2126.3956803954047,2888
global,global,6,biodiversity,2089.3292635622406,3050
global,global,7,biodiversity,1542.4580338142862,2997
global,global,8,biodiversity,566.7935175838985,3153
global,global,0,safety,2063.0516103906793,1917
global,global,1,safety,1638.3541696052291,1786
global,global,2,safety,1996.637312340641,1668
global,global,3,safety,1018.4580910684803,1993
global,global,4,safety,434.5989587592495,2004
global,global,5,safety,200.01865621719259,1756
global,global,6,safety,922.9932679196176,2159
global,global,7,safety,1449.969125168178,1572
global,global,8,safety,2205.520872199875,1685
gender,man,0,living,963.0217260694895,1466
gender,man,1,living,911.3231720262618,1264
gender,man,2,living,1773.249826060829,1407
gender,man,3,living,1674.6153550839904,1334
gender,man,4,living,2011.6935684237792,972
gender,man,5,living,1138.849463216781,1130
gender,man,6,living,1841.0720426710157,1220
gender,man,7,living,1470.8610025491535,1167
gender,man,8,living,1734.1541290328278,1280
gender,man,0,biodiversity,2087.9042530537386,1196
gender,man,1,biodiversity,644.6350321455053,1247
gender,man,2,biodiversity,1838.3645176418368,1133
gender,man,3,biodiversity,1695.315122410981,1198
gender,man,4,biodiversity,1858.2984755060738,1572
gender,man,5,biodiversity,1990.6590842404776,1504
gender,man,6,biodiversity,1674.7908356785238,1498
gender,man,7,biodiversity,1957.9667254576884,1524
gender,man,8,biodiversity,1434.3403886947806,1662
gender,man,0,safety,1794.1878948422948,914
gender,man,1,safety,1034.596391738945,922
gender,man,2,safety,1486.3538069477877,932
gender,man,3,safety,1333.758509260848,1010
gender,man,4,safety,1007.7979280234488,1083
gender,man,5,safety,875.5447661557038,929
gender,man,6,safety,1441.1536941602408,1185
gender,man,7,safety,1943.7680760684361,825
gender,man,8,safety,2011.3951648589752,850
gender,woman,0,living,1709.9847008968695,1105
gender,woman,1,living,1298.7422900692247,1000
gender,woman,2,living,1971.6649866713346,1104
gender,woman,3,living,500.6357620742753,1094
gender,woman,4,living,1861.3761584558213,772
gender,woman,5,living,1409.313546256653,948
gender,woman,6,living,1669.4545761543116,1096
gender,woman,7,living,1775.5816526942388,901
gender,woman,8,living,871.4900230361053,1028
gender,woman,0,biodiversity,1762.408856903251,874
gender,woman,1,biodiversity,1240.785293323347,1024
gender,woman,2,biodiversity,1988.379057519836,855
gender,woman,3,biodiversity,1272.8444891718823,978
gender,woman,4,biodiversity,656.2301883525515,1201
gender,woman,5,biodiversity,1612.3636260561464,1104
gender,woman,6,biodiversity,1860.5253325791502,1291
gender,woman,7,biodiversity,1965.7568032441757,1183
gender,woman,8,biodiversity,1885.060265368337,1272
gender,woman,0,safety,1380.209717830452,790
gender,woman,1,safety,1923.060955732716,686
gender,woman,2,safety,1871.8747531819545,655
gender,woman,3,safety,1346.2704289603967,831
gender,woman,4,safety,1512.7747993741712,790
gender,woman,5,safety,1415.1688333261018,743
gender,woman,6,safety,1636.067413752902,820
gender,woman,7,safety,826.7383492827502,644
gender,woman,8,safety,978.5173626413318,679
gender,other,0,living,1411.3530824149336,17
gender,other,1,living,1571.7142957169626,10
gender,other,2,living,1558.641447571825,17
gender,other,3,living,1544.2401551590353,16
gender,other,4,living,1475.8440291418442,20
gender,other,5,living,1452.7001242265617,24
gender,other,6,living,1524.4335808912529,14
gender,other,7,living,1439.035925288631,11
gender,other,8,living,1509.033115403387,15
gender,other,0,biodiversity,1534.7642188359143,13
gender,other,1,biodiversity,1488.1423180007037,13
gender,other,2,biodiversity,1547.9082025404866,12
gender,other,3,biodiversity,1559.9999840886921,5
gender,other,4,biodiversity,1522.4551218621734,10
gender,other,5,biodiversity,1497.519709018721,14
gender,other,6,biodiversity,1463.2141795437353,11
gender,other,7,biodiversity,1425.9772091995467,8
gender,other,8,biodiversity,1452.0427221933614,10
gender,other,0,safety,1568.319291429774,8
gender,other,1,safety,1439.8748046058088,15
gender,other,2,safety,1499.9883530921177,12
gender,other,3,safety,1487.9222835341118,9
gender,other,4,safety,1509.3626972477068,17
gender,other,5,safety,1472.6631204067282,10
gender,other,6,safety,1535.9201051230218,11
gender,other,7,safety,1547.9172648537708,10
gender,other,8,safety,1425.9285183026198,6
age,younger,0,living,1534.3569850272452,799
age,younger,1,living,1106.3477482432843,682
age,younger,2,living,1616.3334248200315,706
age,younger,3,living,1310.2180491528577,807
age,younger,4,living,1829.497521506973,551
age,younger,5,living,899.5785750294089,616
age,younger,6,living,1871.5342602505038,693
age,younger,7,living,1710.7023568789666,580
age,younger,8,living,1778.6313610204859,682
age,younger,0,biodiversity,1433.507425522954,661
age,younger,1,biodiversity,1393.6047304096064,612
age,younger,2,biodiversity,1742.7024325920731,622
age,younger,3,biodiversity,1863.4645165587062,672
age,younger,4,biodiversity,1637.670113971103,827
age,younger,5,biodiversity,1797.879096469134,781
age,younger,6,biodiversity,1918.9173345080396,808
age,younger,7,biodiversity,955.8999100460306,817
age,younger,8,biodiversity,1522.6285544607194,904
age,younger,0,safety,1734.5247971250465,553
age,younger,1,safety,1278.0550200884804,504
age,younger,2,safety,1608.4966389501963,493
age,younger,3,safety,1822.6102434450388,618
age,younger,4,safety,1326.2927131806723,643
age,younger,5,safety,1480.1814849483894,577
age,younger,6,safety,1654.021435145518,606
age,younger,7,safety,1681.0226355155592,499
age,younger,8,safety,1857.0568458303103,469
age,middle,0,living,141.32278873273674,1178
age,middle,1,living,1292.5177571373017,1053
