demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,-153.07456564687917,2307
global,global,1,living,1897.399843195799,2018
global,global,2,living,2316.175027817678,2150
global,global,3,living,840.5784463134528,2026
global,global,4,living,937.1315619015114,2066
global,global,5,living,20.04323506941546,2702
global,global,6,living,1812.4747981378669,3101
global,global,7,living,2218.822478294963,2110
global,global,8,living,1429.2062603610773,2300
global,global,0,biodiversity,2283.731406605676,2055
global,global,1,biodiversity,1076.4891328028148,2126
global,global,2,biodiversity,695.7641863688397,2773
global,global,3,biodiversity,1833.4362700568533,2794
global,global,4,biodiversity,1988.7701589864096,2471
global,global,5,biodiversity,1438.0932798156039,2879
global,global,6,biodiversity,870.6742802301425,2365
global,global,7,biodiversity,2194.928745301451,2161
global,global,8,biodiversity,1349.848611597686,2524
global,global,0,safety,1802.6994631221862,2447
global,global,1,safety,1348.7597600897298,2295
global,global,2,safety,2370.9266712016524,2371
global,global,3,safety,2119.138495530202,2010
global,global,4,safety,992.1298546807536,2690
global,global,5,safety,2065.346160443303,2054
global,global,6,safety,1133.7587403173889,2052
global,global,7,safety,831.8082991582743,2541
global,global,8,safety,543.6162840842823,1912
gender,man,0,living,726.9925838167654,1203
gender,man,1,living,1776.4625240655892,1046
gender,man,2,living,1969.768856553307,1032
gender,man,3,living,1697.126580376549,1114
gender,man,4,living,1031.976389656624,1117
gender,man,5,living,801.7630437761896,1361
gender,man,6,living,2013.5073509500648,1588
gender,man,7,living,1936.1823986610113,1073
gender,man,8,living,479.0881149934751,1230
gender,man,0,biodiversity,2081.313057845282,1056
gender,man,1,biodiversity,1373.9413395579202,1092
gender,man,2,biodiversity,1702.449300698924,1441
gender,man,3,biodiversity,1147.353270486485,1478
gender,man,4,biodiversity,1299.6021526495572,1296
gender,man,5,biodiversity,2017.6809657273434,1409
gender,man,6,biodiversity,928.1818967243443,1199
gender,man,7,biodiversity,1953.5740208076204,1075
gender,man,8,biodiversity,1774.946065201886,1318
gender,man,0,safety,1595.043653561774,1286
gender,man,1,safety,1976.886327341659,1102
gender,man,2,safety,1926.0266034226115,1213
gender,man,3,safety,1790.4917289621765,991
gender,man,4,safety,895.721673293425,1334
gender,man,5,safety,1327.5069773406099,1030
gender,man,6,safety,1854.089336651006,1101
gender,man,7,safety,756.0685953734039,1286
gender,man,8,safety,1254.8127872772154,953
gender,woman,0,living,1116.41605810866,971
gender,woman,1,living,1755.1928612206736,755
gender,woman,2,living,1846.8575264932758,862
gender,woman,3,living,768.0866347901485,760
gender,woman,4,living,1664.0166604469368,892
gender,woman,5,living,1179.6769246071983,1140
gender,woman,6,living,1777.6665955770313,1286
gender,woman,7,living,1729.8963408528502,841
gender,woman,8,living,1915.7396796519674,859
gender,woman,0,biodiversity,1636.844444220382,833
gender,woman,1,biodiversity,963.5119651468051,839
gender,woman,2,biodiversity,439.9258075812927,1110
gender,woman,3,biodiversity,1596.970951480994,1123
gender,woman,4,biodiversity,1950.7621109955742,943
gender,woman,5,biodiversity,745.5769067372507,1170
gender,woman,6,biodiversity,1390.3289786166026,992
gender,woman,7,biodiversity,2003.3263345636317,807
gender,woman,8,biodiversity,1666.9134009115453,1001
gender,woman,0,safety,1661.10581199563,1016
gender,woman,1,safety,509.86670325124095,918
gender,woman,2,safety,1975.5849396670408,950
gender,woman,3,safety,1560.7863327685725,839
gender,woman,4,safety,1736.576891282488,1091
gender,woman,5,safety,1873.8424357207123,816
gender,woman,6,safety,1014.9904130634344,782
gender,woman,7,safety,1943.2066660479886,1070
gender,woman,8,safety,948.9558968083153,802
gender,other,0,living,1464.9092506138816,17
gender,other,1,living,1559.6298728172596,7
gender,other,2,living,1513.7745663326891,13
gender,other,3,living,1547.7561803315061,14
gender,other,4,living,1477.117435342655,14
gender,other,5,living,1546.6318727590372,18
gender,other,6,living,1452.3680695256685,8
gender,other,7,living,1500.4389357470875,12
gender,other,8,living,1439.97088814301,13
