demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,664.6106073664237,1497
global,global,1,living,1611.9010378406883,1963
global,global,2,living,2131.162429322676,1746
global,global,3,living,2228.817489710248,1618
global,global,4,living,1038.4052233243654,2076
global,global,5,living,1951.2569811316903,1861
global,global,6,living,583.2407344801213,1516
global,global,7,living,2046.0658803667766,1828
global,global,8,living,1752.689988457329,2259
global,global,0,biodiversity,-59.435197830512124,1591
global,global,1,biodiversity,2282.42987053446,1866
global,global,2,biodiversity,1220.8878195914515,1834
global,global,3,biodiversity,1830.9164466176705,2040
global,global,4,biodiversity,2157.2765054973565,2361
global,global,5,biodiversity,1750.2570955309343,2230
global,global,6,biodiversity,2312.773584726854,2422
global,global,7,biodiversity,940.8052625787732,1749
global,global,8,biodiversity,1594.4679190326676,2351
global,global,0,safety,2634.1857166068744,3731
global,global,1,safety,1343.7161295061298,3231
global,global,2,safety,2032.5854990869332,3712
global,global,3,safety,2386.374918943632,4048
global,global,4,safety,2133.361366598872,3853
global,global,5,safety,1594.5250192937765,2481
global,global,6,safety,2305.3854943325455,3821
global,global,7,safety,222.6311591362477,1497
global,global,8,safety,2528.2268978989373,2118
gender,man,0,living,1648.8662568789557,864
gender,man,1,living,1044.9888774875744,1014
gender,man,2,living,1793.8077620188126,872
gender,man,3,living,1847.711194250834,747
gender,man,4,living,1204.5181803684204,1037
gender,man,5,living,1743.3632100170973,970
gender,man,6,living,254.69280307856735,799
gender,man,7,living,1972.3664993105892,877
gender,man,8,living,1358.8610368482314,1144
gender,man,0,biodiversity,1432.8058310640718,842
gender,man,1,biodiversity,1785.5825212017207,958
gender,man,2,biodiversity,1537.1664730460566,940
gender,man,3,biodiversity,1591.9566052383248,1021
gender,man,4,biodiversity,168.9337210812172,1168
gender,man,5,biodiversity,1969.3349412681478,1093
gender,man,6,biodiversity,2009.0476741314724,1195
gender,man,7,biodiversity,1227.3804598421218,931
gender,man,8,biodiversity,876.7908218534775,1228
gender,man,0,safety,2154.9137907808968,1984
gender,man,1,safety,1880.7010246467753,1626
gender,man,2,safety,1600.7970014523833,1966
gender,man,3,safety,1914.7876913282353,2015
gender,man,4,safety,1698.5462514059038,1913
gender,man,5,safety,2101.4001821775173,1409
gender,man,6,safety,1520.508031164242,1937
gender,man,7,safety,409.3433053613137,783
gender,man,8,safety,2064.271307322753,1091
gender,woman,0,living,515.8110423349475,562
gender,woman,1,living,1837.4497241345787,806
gender,woman,2,living,1908.8532188431968,728
gender,woman,3,living,1742.0951911536424,670
gender,woman,4,living,1534.643194111461,907
gender,woman,5,living,1009.2765238012944,733
gender,woman,6,living,1661.1853444478197,638
gender,woman,7,living,1266.4624672585148,771
gender,woman,8,living,1871.6633503545006,881
gender,woman,0,biodiversity,731.629580339586,675
gender,woman,1,biodiversity,1647.2761530851355,708
gender,woman,2,biodiversity,842.9258404484592,740
gender,woman,3,biodiversity,1904.875034712516,833
gender,woman,4,biodiversity,1949.3664091859996,949
gender,woman,5,biodiversity,599.1631414863703,950
gender,woman,6,biodiversity,1836.956519607031,1031
gender,woman,7,biodiversity,1724.775321964833,742
gender,woman,8,biodiversity,1626.5111549985954,932
