demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,272.7759105614881,1674
global,global,1,living,2212.368165616281,1731
global,global,2,living,1465.3360280105042,2247
global,global,3,living,2078.2054798604004,1521
global,global,4,living,836.7441916572478,2120
global,global,5,living,1803.3959524040974,1813
global,global,6,living,1380.7039879605768,2078
global,global,7,living,-49.599657340542734,854
global,global,8,living,1899.8137924574567,2106
global,global,0,biodiversity,2261.848222753986,2700
global,global,1,biodiversity,2012.1096692077233,2827
global,global,2,biodiversity,1604.6383777751323,3105
global,global,3,biodiversity,1446.694566703513,2492
global,global,4,biodiversity,2069.6608954156977,2935
global,global,5,biodiversity,1878.1318427367573,2597
global,global,6,biodiversity,2357.013992693983,1756
global,global,7,biodiversity,1455.399191636706,2698
global,global,8,biodiversity,2125.815934075229,2486
global,global,0,safety,1290.1230921739814,2158
global,global,1,safety,2154.114693939603,2986
global,global,2,safety,825.4095431575843,2736
global,global,3,safety,1840.745517316188,3124
global,global,4,safety,2296.685461558257,1483
global,global,5,safety,1356.3197941785104,2284
global,global,6,safety,2047.5675144230718,2444
global,global,7,safety,1723.38767073348,3365
global,global,8,safety,735.4357751611228,2980
gender,man,0,living,748.569134050513,821
gender,man,1,living,2025.3676839450286,830
gender,man,2,living,1504.6188136509122,1175
gender,man,3,living,1582.7819304990612,766
gender,man,4,living,1144.5001532847032,1090
gender,man,5,living,1796.0839330426893,880
gender,man,6,living,1617.1926541604328,1062
gender,man,7,living,853.796450510748,429
gender,man,8,living,1747.0017819374614,1035
gender,man,0,biodiversity,2074.3340729968354,1321
gender,man,1,biodiversity,1607.8991191057225,1411
gender,man,2,biodiversity,1880.7802101022023,1563
gender,man,3,biodiversity,1407.060411353816,1272
gender,man,4,biodiversity,1228.4457714197629,1464
gender,man,5,biodiversity,1688.4413240330846,1306
gender,man,6,biodiversity,1784.884380254141,856
gender,man,7,biodiversity,1686.6098219056641,1441
gender,man,8,biodiversity,1619.942565440156,1308
gender,man,0,safety,1625.549805609946,1178
gender,man,1,safety,1355.3899466135713,1544
gender,man,2,safety,1610.2642002434186,1439
gender,man,3,safety,1549.7145449838954,1628
gender,man,4,safety,2100.369504728488,796
gender,man,5,safety,1669.5749628253852,1232
gender,man,6,safety,2056.6678405201424,1226
gender,man,7,safety,1825.4397751628817,1741
gender,man,8,safety,1404.7093905186698,1610
gender,woman,0,living,1436.7736729095693,722
gender,woman,1,living,1695.0685830541117,789
gender,woman,2,living,1823.3018148861331,910
gender,woman,3,living,1986.2883606197383,587
gender,woman,4,living,1091.8859869515272,898
gender,woman,5,living,1652.847653442325,763
gender,woman,6,living,1727.4429281868745,853
gender,woman,7,living,759.733030133476,381
gender,woman,8,living,1127.7823595221805,863
gender,woman,0,biodiversity,1333.800649925984,1122
gender,woman,1,biodiversity,1693.0803237190926,1050
gender,woman,2,biodiversity,1742.4706788392077,1211
gender,woman,3,biodiversity,1837.4978449524338,1034
gender,woman,4,biodiversity,1755.9546645488488,1134
gender,woman,5,biodiversity,1879.7711939954283,1029
gender,woman,6,biodiversity,1940.5434275895798,656
gender,woman,7,biodiversity,1524.2468820525373,1089
gender,woman,8,biodiversity,511.97014787579826,925
gender,woman,0,safety,1329.0313017984665,848
gender,woman,1,safety,1300.8224344436721,1242
gender,woman,2,safety,909.3982160968467,1101
gender,woman,3,safety,1979.8958322149595,1238
gender,woman,4,safety,1849.9518775612457,616
gender,woman,5,safety,1965.5728866214265,897
gender,woman,6,safety,1768.1729470980683,1011
gender,woman,7,safety,1446.0207313034848,1361
gender,woman,8,safety,1388.0546577252276,1138
gender,other,0,living,1571.1083344677595,14
gender,other,1,living,1535.972266820294,9
gender,other,2,living,1460.653213982877,13
gender,other,3,living,1498.6620198297114,12
gender,other,4,living,1555.559553466986,13
gender,other,5,living,1485.6619772150289,11
gender,other,6,living,1511.6263121511295,13
gender,other,7,living,1424.4570908604885,6
gender,other,8,living,1439.909539579315,11
gender,other,0,biodiversity,1464.3485754135233,13
gender,other,1,biodiversity,1514.5650506036902,17
gender,other,2,biodiversity,1555.8446127004672,21
gender,other,3,biodiversity,1502.471772170011,20
gender,other,4,biodiversity,1440.6088208994436,21
gender,other,5,biodiversity,1475.648798296296,12
gender,other,6,biodiversity,1535.9461655941607,15
gender,other,7,biodiversity,1427.6165556822427,12
gender,other,8,biodiversity,1579.6320727062564,13
gender,other,0,safety,1475.9719106700852,6
gender,other,1,safety,1570.7313539480494,12
gender,other,2,safety,1487.219746395163,13
gender,other,3,safety,1523.9266250710266,12
gender,other,4,safety,1488.0000341192351,9
gender,other,5,safety,1509.849041844658,11
gender,other,6,safety,1439.571389985092,9
gender,other,7,safety,1451.5729414859059,14
gender,other,8,safety,1547.97141364926,6
age,younger,0,living,1428.4733833919552,461
age,younger,1,living,1760.1469161091452,485
age,younger,2,living,1119.9262769491295,622
age,younger,3,living,1878.9035134934613,467
age,younger,4,living,1473.6111669714796,575
age,younger,5,living,1795.553829317024,523
age,younger,6,living,1191.1882795850252,561
