demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1953.1148981914653,1839
global,global,1,living,1267.9745254841837,2815
global,global,2,living,1161.7745812433127,1978
global,global,3,living,1733.8514410117627,2613
global,global,4,living,2198.1041385887424,1912
global,global,5,living,1314.4621063023567,2862
global,global,6,living,476.34413459620527,2872
global,global,7,living,2004.7602554957623,1523
global,global,8,living,977.6100889860403,2738
global,global,0,biodiversity,1191.6327571729541,2484
global,global,1,biodiversity,1972.7781049556518,2069
global,global,2,biodiversity,2106.088968450944,2139
global,global,3,biodiversity,550.8715385662243,2574
global,global,4,biodiversity,2192.0044699618757,2164
global,global,5,biodiversity,2269.844555871165,1916
global,global,6,biodiversity,1306.4496929394002,2405
global,global,7,biodiversity,1494.243234880878,2747
global,global,8,biodiversity,1409.9331358836068,1748
global,global,0,safety,1820.0612218664985,2506
global,global,1,safety,1909.7776187923653,2825
global,global,2,safety,1477.2313227648997,2285
global,global,3,safety,2206.61805749326,2510
global,global,4,safety,2366.45784309305,1909
global,global,5,safety,973.7333399233335,2226
global,global,6,safety,387.3762706287577,2764
global,global,7,safety,1000.4247892678048,2716
global,global,8,safety,1612.1922347055058,2161
gender,man,0,living,1873.794275059738,895
gender,man,1,living,1366.4001366265222,1394
gender,man,2,living,947.4151624131841,962
gender,man,3,living,1339.4674607571449,1335
gender,man,4,living,2027.2644223723712,965
gender,man,5,living,1434.072979194499,1449
gender,man,6,living,765.0731086512172,1520
gender,man,7,living,1661.3054136529447,762
gender,man,8,living,1774.462464051179,1434
gender,man,0,biodiversity,1348.9213743072569,1238
gender,man,1,biodiversity,2005.1039323829416,1044
gender,man,2,biodiversity,1819.823785354688,1089
gender,man,3,biodiversity,1229.5770031328902,1359
gender,man,4,biodiversity,1449.848282808615,1168
gender,man,5,biodiversity,1914.9264343942868,981
gender,man,6,biodiversity,1957.4919607673548,1218
gender,man,7,biodiversity,1750.073408119822,1428
gender,man,8,biodiversity,959.6413307205636,851
gender,man,0,safety,2001.7209485178637,1374
gender,man,1,safety,1597.965579157314,1442
gender,man,2,safety,904.1192818864012,1166
gender,man,3,safety,1881.7926202631456,1322
gender,man,4,safety,2036.5359437766683,947
gender,man,5,safety,820.9341646448901,1067
gender,man,6,safety,1067.7391559977075,1457
gender,man,7,safety,1711.057498092254,1350
gender,man,8,safety,1794.745433638439,1207
gender,woman,0,living,1856.6400430607425,717
gender,woman,1,living,1527.40098367902,1176
gender,woman,2,living,1483.457306424378,832
gender,woman,3,living,1640.1360215505117,1070
gender,woman,4,living,1991.9062587580659,726
gender,woman,5,living,1010.9477443048268,1145
gender,woman,6,living,1183.0843541159263,1132
gender,woman,7,living,1590.0630655534785,634
gender,woman,8,living,668.2124539754126,1024
gender,woman,0,biodiversity,1848.4682234123786,1010
gender,woman,1,biodiversity,478.95871986337795,871
gender,woman,2,biodiversity,1916.3663949339352,883
gender,woman,3,biodiversity,1131.5467021919005,1023
gender,woman,4,biodiversity,1746.875803628141,827
gender,woman,5,biodiversity,1722.2986660737995,785
gender,woman,6,biodiversity,621.7639147282879,957
gender,woman,7,biodiversity,1246.3409810468909,1086
gender,woman,8,biodiversity,1676.9319557526153,728
gender,woman,0,safety,1576.5296021938138,992
gender,woman,1,safety,1837.1252614063008,1143
gender,woman,2,safety,1685.1002285651862,937
gender,woman,3,safety,2036.790525082277,951
gender,woman,4,safety,1800.1859879273268,831
gender,woman,5,safety,1396.1883001136478,939
gender,woman,6,safety,1299.7046581525055,1136
gender,woman,7,safety,1770.8440995774424,1064
gender,woman,8,safety,1267.1479488197726,849
gender,other,0,living,1548.827161513919,22
gender,other,1,living,1425.2368153785924,14
gender,other,2,living,1466.802643482137,11
gender,other,3,living,1514.4168512418123,13
gender,other,4,living,1491.5458622837086,17
gender,other,5,living,1534.406067928206,13
gender,other,6,living,1452.2704661890273,14
gender,other,7,living,1570.2571586503304,12
gender,other,8,living,1501.4075056531717,18
gender,other,0,biodiversity,1439.9989619256023,9
gender,other,1,biodiversity,1499.210950688873,12
gender,other,2,biodiversity,1488.016563261833,11
gender,other,3,biodiversity,1547.2317896390632,12
gender,other,4,biodiversity,1513.4520239362207,15
gender,other,5,biodiversity,1560.0389180237617,7
gender,other,6,biodiversity,1538.0428823728735,15
gender,other,7,biodiversity,1463.8379227715673,15
gender,other,8,biodiversity,1451.6647631597493,10
gender,other,0,safety,1513.242384938025,15
gender,other,1,safety,1478.31623341657,18
gender,other,2,safety,1463.943352875415,9
gender,other,3,safety,1524.016754928693,8
gender,other,4,safety,1535.960150843415,9
gender,other,5,safety,1440.0026732743681,5
gender,other,6,safety,1502.8989175724319,14
gender,other,7,safety,1488.471263845242,13
gender,other,8,safety,1561.1301020738306,7
age,younger,0,living,1786.3020826157892,568
age,younger,1,living,1900.6078788013153,775
age,younger,2,living,949.6965362871765,493
age,younger,3,living,1515.47998877661,781
age,younger,4,living,1856.9773522649436,562
age,younger,5,living,971.1139682020964,723
age,younger,6,living,1272.1382270312502,835
age,younger,7,living,1640.3905911606337,477
age,younger,8,living,1564.954093719315,750
age,younger,0,biodiversity,1640.9811788002048,657
age,younger,1,biodiversity,1736.1312555693453,628
age,younger,2,biodiversity,1882.9789461344628,571
age,younger,3,biodiversity,1146.8928116267027,707
age,younger,4,biodiversity,1824.4099542291192,640
age,younger,5,biodiversity,1593.8448552426007,540
age,younger,6,biodiversity,1442.1133192493228,632
age,younger,7,biodiversity,1285.4312734711784,797
age,younger,8,biodiversity,746.8258946981257,426
age,younger,0,safety,1525.7306644959394,805
age,younger,1,safety,1471.1970812390373,806
age,younger,2,safety,882.0162703936885,606
age,younger,3,safety,1895.087902839113,674
age,younger,4,safety,1921.2272440774846,478
age,younger,5,safety,738.0182031161295,584
age,younger,6,safety,1284.6875104432859,823
age,younger,7,safety,1101.6412480619467,771
age,younger,8,safety,1740.9140129644793,673
age,middle,0,living,1638.5243918845595,721
age,middle,1,living,1288.3956378569553,1191
age,middle,2,living,1730.923458521281,918
age,middle,3,living,1882.2521178945374,1069
age,middle,4,living,1913.4671400633356,758
age,middle,5,living,1683.2481668952157,1213
age,middle,6,living,1122.557080399451,1176
age,middle,7,living,1760.0879548812673,577
age,middle,8,living,1597.2493734188638,1121
age,middle,0,biodiversity,1302.566125307998,1063
age,middle,1,biodiversity,540.5468618758532,865
age,middle,2,biodiversity,2008.8191835525374,1016
age,middle,3,biodiversity,192.63536863569541,1117
age,middle,4,biodiversity,1808.9417609865206,926
age,middle,5,biodiversity,1837.0911319702916,806
age,middle,6,biodiversity,1117.7614702125816,1030
age,middle,7,biodiversity,1886.8320681282098,1213
age,middle,8,biodiversity,1438.61079010681,768
age,middle,0,safety,2021.6328818074319,1050
age,middle,1,safety,1577.1234104133123,1199
age,middle,2,safety,1817.778827049309,999
age,middle,3,safety,1356.1325185317298,1130
age,middle,4,safety,1966.4529463692766,824
age,middle,5,safety,1122.1420551161248,935
age,middle,6,safety,1609.280780246679,1123
age,middle,7,safety,1635.5669822814912,1035
age,middle,8,safety,1369.6649576139864,905
age,older,0,living,1842.9790266661394,340
age,older,1,living,1364.7285571062396,609
age,older,2,living,1221.9300787248937,391
age,older,3,living,1466.7709845337097,564
age,older,4,living,1693.3027450753013,388
age,older,5,living,1782.6360113468668,667
age,older,6,living,1705.2070370485692,644
age,older,7,living,1397.2971744205329,352
age,older,8,living,1254.806884304743,593
age,older,0,biodiversity,1695.1230640078336,539
age,older,1,biodiversity,1374.8639947577174,429
age,older,2,biodiversity,1067.6249571389237,394
age,older,3,biodiversity,1630.9126197169562,565
age,older,4,biodiversity,1813.679861122516,437
age,older,5,biodiversity,1596.7991311104524,422
age,older,6,biodiversity,1749.6576326335482,525
age,older,7,biodiversity,1405.5871621820688,511
age,older,8,biodiversity,1771.6256953423588,396
age,older,0,safety,1654.0030857250429,517
age,older,1,safety,1949.492585173371,590
age,older,2,safety,1262.816563374798,499
age,older,3,safety,1596.0002216016376,465
age,older,4,safety,1478.0986307499506,485
age,older,5,safety,1677.6592056194563,484
age,older,6,safety,1369.423371000275,644
age,older,7,safety,1113.7468008227006,605
age,older,8,safety,1139.8415118690361,473
ethnicity,white,0,living,1988.503249454463,1422
ethnicity,white,1,living,981.9980353663698,2289
ethnicity,white,2,living,917.573522128939,1539
ethnicity,white,3,living,1654.9284947007193,2086
ethnicity,white,4,living,2062.8838838883876,1435
ethnicity,white,5,living,1477.975293088476,2270
ethnicity,white,6,living,946.1026112020085,2309
ethnicity,white,7,living,1841.3116294512445,1211
ethnicity,white,8,living,1396.1094193450263,2121
ethnicity,white,0,biodiversity,1795.1077163757343,1989
ethnicity,white,1,biodiversity,1026.9349711487305,1661
ethnicity,white,2,biodiversity,2133.391632265106,1711
ethnicity,white,3,biodiversity,1873.9688279552547,2066
ethnicity,white,4,biodiversity,2207.368244266465,1730
ethnicity,white,5,biodiversity,1951.977633221472,1534
ethnicity,white,6,biodiversity,1370.9168550085717,1940
ethnicity,white,7,biodiversity,1822.4638944882647,2205
ethnicity,white,8,biodiversity,1642.276857560361,1402
ethnicity,white,0,safety,1857.452708557977,1993
ethnicity,white,1,safety,1737.112673851762,2251
ethnicity,white,2,safety,1686.8830713062957,1801
ethnicity,white,3,safety,2110.877990924016,1944
ethnicity,white,4,safety,2277.5426318797026,1554
ethnicity,white,5,safety,794.7240499528297,1702
ethnicity,white,6,safety,74.87000699326342,2211
ethnicity,white,7,safety,1624.438277031034,2030
ethnicity,white,8,safety,1286.5518853381625,1754
ethnicity,other,0,living,1376.4665649337412,150
ethnicity,other,1,living,1683.8228404798208,204
ethnicity,other,2,living,1418.8391430797408,190
