demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1042.246778110959,2031
global,global,1,living,927.1610455275436,1883
global,global,2,living,494.1295942257512,1999
global,global,3,living,1894.680057822244,1252
global,global,4,living,1314.5262541825002,1992
global,global,5,living,-566.0504932059563,1927
global,global,6,living,2202.358183112465,1553
global,global,7,living,1515.4613003596826,2436
global,global,8,living,1963.3022304444066,2375
global,global,0,biodiversity,2345.4781591490014,1602
global,global,1,biodiversity,1544.4700773287932,3680
global,global,2,biodiversity,2086.2904600891056,2179
global,global,3,biodiversity,1902.1319181809909,3534
global,global,4,biodiversity,2243.8157799045885,3102
global,global,5,biodiversity,1143.1782863654612,2601
global,global,6,biodiversity,1887.4674358052775,3977
global,global,7,biodiversity,2020.8819217518555,3693
global,global,8,biodiversity,118.51581367471452,2096
global,global,0,safety,1808.9065536203832,2642
global,global,1,safety,810.4619361537726,2018
global,global,2,safety,1190.387810133546,2073
global,global,3,safety,1106.0570915553149,2546
global,global,4,safety,2180.450607733111,1090
global,global,5,safety,1005.6184567659782,2275
global,global,6,safety,571.8494016963657,2308
global,global,7,safety,1667.271020417748,2534
global,global,8,safety,1896.0249618091602,1902
gender,man,0,living,1608.0267010024825,1067
gender,man,1,living,1343.584897399473,1013
gender,man,2,living,1318.1427140385665,1073
gender,man,3,living,1859.0178784216037,627
gender,man,4,living,1553.345500431158,1017
gender,man,5,living,941.2588213679919,1039
gender,man,6,living,1975.7364269301675,700
gender,man,7,living,1764.365414317002,1212
gender,man,8,living,1628.9301541427767,1244
gender,man,0,biodiversity,2079.3841362321086,877
gender,man,1,biodiversity,1585.2780594565152,1825
gender,man,2,biodiversity,1709.4256403891545,1103
gender,man,3,biodiversity,1859.3659572518964,1809
gender,man,4,biodiversity,2018.1975132431637,1607
gender,man,5,biodiversity,917.6337511697747,1311
gender,man,6,biodiversity,894.3186074912337,2023
gender,man,7,biodiversity,1659.0972098652328,1887
gender,man,8,biodiversity,604.2426862063362,1138
gender,man,0,safety,1620.150568304149,1325
gender,man,1,safety,1822.8067773231217,1107
gender,man,2,safety,1573.437411059765,975
gender,man,3,safety,1040.6860772002688,1230
gender,man,4,safety,1940.907638297707,569
gender,man,5,safety,1726.1916125370515,1144
gender,man,6,safety,1744.8722911195298,1221
gender,man,7,safety,1410.6861611316144,1285
gender,man,8,safety,1872.2292986500627,996
gender,woman,0,living,1487.2263681448344,752
gender,woman,1,living,1284.7180181903445,783
