demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2170.15790401112,2492
global,global,1,living,2296.780520701592,2213
global,global,2,living,1144.1182899693526,2427
global,global,3,living,1480.8566388944664,1888
global,global,4,living,612.3862533863963,2285
global,global,5,living,1442.9937122832703,2261
global,global,6,living,2242.9361132660415,2729
global,global,7,living,2012.1523393280443,2184
global,global,8,living,-116.35577412056921,1657
global,global,0,biodiversity,2019.7360468801255,3174
global,global,1,biodiversity,1511.9442627722256,2349
global,global,2,biodiversity,2135.9174120539715,3217
global,global,3,biodiversity,-113.82887477063109,2695
global,global,4,biodiversity,1996.3921778925155,2583
global,global,5,biodiversity,2391.6909745655753,2126
global,global,6,biodiversity,2211.502867313176,3344
global,global,7,biodiversity,747.1293655907336,2564
global,global,8,biodiversity,1610.390885599045,2960
global,global,0,safety,1877.160026644939,2246
global,global,1,safety,1302.7522933292294,2271
global,global,2,safety,2060.923658773659,1781
global,global,3,safety,814.4226519283764,2230
global,global,4,safety,765.7098336963398,1880
global,global,5,safety,1599.0085158251024,2179
global,global,6,safety,1790.414495931266,2306
global,global,7,safety,2183.5967833351865,1284
global,global,8,safety,1355.0052334877923,1975
gender,man,0,living,1822.4874164060357,1270
gender,man,1,living,2016.5722452338064,1125
gender,man,2,living,18.576655770006475,1237
gender,man,3,living,1536.5297721980508,939
gender,man,4,living,1642.0828357725406,1238
gender,man,5,living,1896.5436722122597,1213
gender,man,6,living,1354.5477435836106,1341
gender,man,7,living,1864.6803136216683,1130
gender,man,8,living,1002.285204876559,885
gender,man,0,biodiversity,1761.4097992767333,1649
gender,man,1,biodiversity,1784.0635327998684,1162
gender,man,2,biodiversity,1994.7282946611344,1586
gender,man,3,biodiversity,917.2441916745848,1408
gender,man,4,biodiversity,1721.108391245376,1299
gender,man,5,biodiversity,2022.0911598669484,1117
gender,man,6,biodiversity,1845.2913491197553,1695
gender,man,7,biodiversity,788.2802911066223,1258
gender,man,8,biodiversity,1168.6162338386675,1488
gender,man,0,safety,1666.6187116397546,1126
gender,man,1,safety,1109.6073722038439,1225
gender,man,2,safety,1808.319217298234,912
gender,man,3,safety,1126.1847394722686,1134
gender,man,4,safety,1219.9539623514877,1027
gender,man,5,safety,1866.5901711294207,1060
gender,man,6,safety,605.6300904666739,1159
gender,man,7,safety,1948.5743893552408,713
gender,man,8,safety,1732.928544275866,1028
gender,woman,0,living,1585.9482235211663,983
gender,woman,1,living,1703.821221781328,861
gender,woman,2,living,1722.089191228862,1061
gender,woman,3,living,1770.1502005602838,807
gender,woman,4,living,-70.47316935040197,890
gender,woman,5,living,1259.4708614431872,885
gender,woman,6,living,1661.8898980255003,1088
gender,woman,7,living,2022.827802119581,810
gender,woman,8,living,615.1926922793245,679
gender,woman,0,biodiversity,1956.9465014592167,1265
gender,woman,1,biodiversity,1331.3723901314524,914
gender,woman,2,biodiversity,2023.1478106168984,1250
gender,woman,3,biodiversity,1126.63069081049,1162
gender,woman,4,biodiversity,1522.892369328308,1076
gender,woman,5,biodiversity,1987.8001666315738,874
gender,woman,6,biodiversity,1921.7510606971653,1282
gender,woman,7,biodiversity,1595.0652302014923,1085
gender,woman,8,biodiversity,1722.5566844586733,1226
gender,woman,0,safety,1295.0180871786054,823
gender,woman,1,safety,1524.8217869487135,870
gender,woman,2,safety,1776.2148795723883,746
gender,woman,3,safety,413.00704708960507,891
gender,woman,4,safety,1111.4637734583102,765
gender,woman,5,safety,1359.1519522675342,929
gender,woman,6,safety,1753.4479688176252,953
gender,woman,7,safety,1893.7366473956856,507
gender,woman,8,safety,1798.4757393653397,786
gender,other,0,living,1527.6314876171723,20
gender,other,1,living,1466.1352275056831,13
gender,other,2,living,1440.0383410531633,13
gender,other,3,living,1560.090662186821,7
gender,other,4,living,1538.71565129663,7
gender,other,5,living,1509.779013133362,11
gender,other,6,living,1476.7597596734113,10
gender,other,7,living,1501.8037783877094,14
gender,other,8,living,1490.021500239495,13
gender,other,0,biodiversity,1505.547865181122,16
gender,other,1,biodiversity,1533.9609737151422,21
gender,other,2,biodiversity,1434.080661382718,26
gender,other,3,biodiversity,1553.0382378189436,18
gender,other,4,biodiversity,1455.2835349798313,10
gender,other,5,biodiversity,1463.4211076468894,21
gender,other,6,biodiversity,1572.7905194332163,20
gender,other,7,biodiversity,1513.8163401501847,17
gender,other,8,biodiversity,1486.709096685731,17
gender,other,0,safety,1488.0,5
gender,other,1,safety,1512.0,9
gender,other,2,safety,1476.0,10
gender,other,3,safety,1500.0,6
gender,other,4,safety,1463.9017041871186,5
gender,other,5,safety,1536.0,5
gender,other,6,safety,1437.0556852569819,11
gender,other,7,safety,1524.0,8
gender,other,8,safety,1557.1539810698632,5
age,younger,0,living,1940.9310728878038,680
age,younger,1,living,1695.0982892563127,588
age,younger,2,living,710.8207175990352,649
age,younger,3,living,1550.2085156313715,536
age,younger,4,living,1243.589646679408,665
age,younger,5,living,1540.157322421818,673
age,younger,6,living,1640.460223179683,769
age,younger,7,living,1873.8759345443032,609
age,younger,8,living,1332.9700640754538,479
age,younger,0,biodiversity,1832.1927370565793,864
age,younger,1,biodiversity,1470.8415713760246,682
age,younger,2,biodiversity,1888.2649802814258,919
age,younger,3,biodiversity,896.17336698026,706
age,younger,4,biodiversity,1718.3136604871574,779
age,younger,5,biodiversity,1804.0602347693336,656
age,younger,6,biodiversity,1780.7351640806748,959
age,younger,7,biodiversity,1612.1294182594768,684
age,younger,8,biodiversity,1751.0093901809385,799
age,younger,0,safety,1605.9975016313022,604
age,younger,1,safety,1283.1208241136846,655
age,younger,2,safety,1689.9126288183697,469
age,younger,3,safety,953.843599299249,611
age,younger,4,safety,1531.7605275690967,593
age,younger,5,safety,1910.1356220183468,598
age,younger,6,safety,1554.2664793283845,654
age,younger,7,safety,1767.3068110296729,366
age,younger,8,safety,1597.992910520274,536
age,middle,0,living,1538.4854432281652,1036
age,middle,1,living,1928.077773928219,900
age,middle,2,living,1467.0017822135067,1129
age,middle,3,living,1676.056741621162,798
age,middle,4,living,637.3815212765935,934
age,middle,5,living,1635.6511615891113,938
age,middle,6,living,1800.404670132999,1073
age,middle,7,living,2015.8556997073524,873
age,middle,8,living,899.6980697427515,737
age,middle,0,biodiversity,2063.857909927812,1378
age,middle,1,biodiversity,981.7011943618778,918
age,middle,2,biodiversity,1773.664356917864,1287
age,middle,3,biodiversity,1703.3737381643732,1260
age,middle,4,biodiversity,1931.4313521997162,1033
age,middle,5,biodiversity,1838.7329368502853,959
age,middle,6,biodiversity,1971.0271117833927,1366
age,middle,7,biodiversity,1585.6817090557495,1113
age,middle,8,biodiversity,1630.7563726680428,1332
age,middle,0,safety,1741.6075778653735,877
