demographic,demographic_value,habitat_id,question_id,mu,rankings
gender,other,7,biodiversity,1428.1069444459768,6
gender,other,0,safety,1568.8226600678245,6
gender,other,2,biodiversity,1499.9921672694625,12
gender,other,1,biodiversity,1556.7119042923584,7
gender,other,8,living,1411.1527719704059,13
gender,other,7,safety,1547.3600317012545,6
gender,other,6,biodiversity,1568.009466339021,10
gender,other,4,biodiversity,1463.2656983907084,13
gender,other,8,biodiversity,1487.8574793143414,15
gender,other,2,living,1573.0131230235265,12
gender,other,4,living,1535.941638495606,11
ethnicity,other,2,biodiversity,1693.627357847458,196
garden,no,2,biodiversity,1317.39203942094,198
gender,other,1,safety,1512.9208977617054,13
gender,other,4,safety,1527.1989244931067,22
gender,other,8,safety,1438.3025136774013,13
gender,other,6,safety,1499.639643023448,16
gender,other,3,safety,1451.7321429818894,16
education,sixteen,0,safety,1654.829655121072,176
gender,other,0,biodiversity,1510.5350617173542,17
gender,other,5,biodiversity,1526.3934918637453,10
education,sixteen,7,biodiversity,1695.5205977288567,121
gender,other,2,safety,1488.7975418722424,9
gender,other,5,safety,1466.1200947189398,9
gender,other,3,biodiversity,1448.9470990882307,12
ethnicity,other,7,biodiversity,1738.9329615339934,157
children,yes,7,biodiversity,1538.9892642277366,299
garden,no,0,biodiversity,1463.823578919502,236
income,higher,7,biodiversity,1850.604103356,621
education,sixteen,3,biodiversity,1623.2976089810059,108
education,sixteen,0,biodiversity,1664.8314875303836,155
ethnicity,other,0,biodiversity,1479.609083457714,215
age,younger,0,biodiversity,1388.796317206985,736
garden,no,5,biodiversity,1144.4116097580315,210
garden,no,8,biodiversity,1337.1597560779326,197
age,older,7,biodiversity,1823.808658292992,466
garden,yes,7,biodiversity,1998.0837565011104,1802
dog,yes,7,biodiversity,1670.6571705307251,726
income,middle,7,biodiversity,1855.7212494502976,653
movement,no,7,biodiversity,2129.7377047887353,1509
gender,man,7,biodiversity,1911.5572170166909,1092
age,younger,7,biodiversity,1759.9302207635183,601
education,older,7,biodiversity,2047.9928304250725,1453
education,sixteen,6,biodiversity,1553.1677540971489,150
age,older,0,biodiversity,1616.164267508782,640
education,sixteen,4,biodiversity,1472.497152582928,173
education,sixteen,5,living,1633.7180790569118,78
