demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2054.3765720837814,1393
global,global,1,living,-130.71856734160738,1312
global,global,2,living,509.0094809877777,2020
global,global,3,living,921.1635194156768,1921
global,global,4,living,1595.762909136757,1937
global,global,5,living,2091.73227721735,1902
global,global,6,living,1799.3416499439925,1589
global,global,7,living,637.720477919603,1665
global,global,8,living,1824.74835647599,1599
global,global,0,biodiversity,2226.2617708610164,3274
global,global,1,biodiversity,2423.272099435684,2439
global,global,2,biodiversity,1958.6484119966703,3002
global,global,3,biodiversity,1776.9725546400005,3015
global,global,4,biodiversity,153.20820724791201,2315
global,global,5,biodiversity,1395.5948352367961,2377
global,global,6,biodiversity,696.6232177067714,3088
global,global,7,biodiversity,2106.700722680234,2043
global,global,8,biodiversity,1875.3438412015446,2817
global,global,0,safety,2344.9081075867493,2560
global,global,1,safety,1274.3259288021293,3044
global,global,2,safety,1617.5994557084334,2655
global,global,3,safety,1449.6908076185468,2855
global,global,4,safety,1377.4094074866146,3128
global,global,5,safety,2249.79305928167,1744
global,global,6,safety,1231.8160964503102,2074
global,global,7,safety,1055.0172357655124,2755
global,global,8,safety,1926.4147846746296,2777
gender,man,0,living,1938.7992832169105,728
gender,man,1,living,633.4714994250369,695
gender,man,2,living,891.798564156269,996
gender,man,3,living,1530.4488959135133,991
gender,man,4,living,1767.8624609853719,1006
gender,man,5,living,1651.168710724654,988
gender,man,6,living,1677.2382273590922,846
gender,man,7,living,787.0685792981053,893
gender,man,8,living,1984.6911276186706,817
gender,man,0,biodiversity,986.4390109479963,1699
gender,man,1,biodiversity,1483.1659738634473,1203
gender,man,2,biodiversity,1885.4254271320633,1542
gender,man,3,biodiversity,1816.1659416455498,1451
gender,man,4,biodiversity,1029.2165143944287,1196
gender,man,5,biodiversity,1613.5272459658947,1204
gender,man,6,biodiversity,1466.5785955035014,1564
gender,man,7,biodiversity,2054.1370925961046,1016
gender,man,8,biodiversity,225.8750437913074,1463
gender,man,0,safety,1869.3976354587894,1404
gender,man,1,safety,1523.748686341797,1629
gender,man,2,safety,1933.1821989877676,1325
gender,man,3,safety,2065.745772374356,1409
gender,man,4,safety,1833.0251186927862,1584
gender,man,5,safety,2035.4009951021576,919
gender,man,6,safety,1257.1075675716268,1045
gender,man,7,safety,1443.6349749164085,1441
gender,man,8,safety,1496.6237011646574,1370
gender,woman,0,living,1930.5283877624213,608
gender,woman,1,living,1006.20334304729,473
gender,woman,2,living,1453.2618967518554,844
gender,woman,3,living,1619.1956593756597,773
gender,woman,4,living,419.7753284134019,760
gender,woman,5,living,1746.881165667491,740
gender,woman,6,living,1836.5053830359618,633
gender,woman,7,living,1248.8885657769777,662
gender,woman,8,living,1540.3640855356489,631
gender,woman,0,biodiversity,1799.401907213246,1273
gender,woman,1,biodiversity,1994.6521388344706,1035
gender,woman,2,biodiversity,1135.3595129351595,1114
gender,woman,3,biodiversity,1847.5906849013124,1234
gender,woman,4,biodiversity,651.8621256892612,936
gender,woman,5,biodiversity,1067.7242112231122,1009
gender,woman,6,biodiversity,1419.175605899599,1319
gender,woman,7,biodiversity,1453.6522280389158,828
gender,woman,8,biodiversity,2069.017803099765,1108
gender,woman,0,safety,1973.5014583472648,968
gender,woman,1,safety,1282.1188841678854,1188
gender,woman,2,safety,1638.0989897908667,1075
gender,woman,3,safety,1222.703451318179,1186
gender,woman,4,safety,1785.7861065429656,1274
gender,woman,5,safety,2000.401526555024,700
gender,woman,6,safety,1573.9531244421223,867
gender,woman,7,safety,999.5063630191743,1113
gender,woman,8,safety,1838.9690887787121,1117
gender,other,0,living,1548.03084115221,10
gender,other,1,living,1465.3255256033829,7
gender,other,2,living,1442.1737967371487,13
gender,other,3,living,1539.6585577215026,11
gender,other,4,living,1480.9115900881466,16
gender,other,5,living,1500.2737077803465,16
gender,other,6,living,1513.9568246453616,15
gender,other,7,living,1536.7829621159017,13
gender,other,8,living,1487.9447507826922,9
gender,other,0,biodiversity,1444.1026550488714,17
gender,other,1,biodiversity,1525.5546609241344,18
gender,other,2,biodiversity,1540.4106849446277,15
gender,other,3,biodiversity,1487.5241697070226,9
gender,other,4,biodiversity,1450.8898784854402,10
gender,other,5,biodiversity,1475.6109445719947,8
gender,other,6,biodiversity,1524.3944533020679,12
gender,other,7,biodiversity,1499.83284606432,18
gender,other,8,biodiversity,1562.683155522471,9
