demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1765.5277951389407,2570
global,global,1,living,2089.4354010991506,2656
global,global,2,living,1006.7974337221597,2801
global,global,3,living,1564.3272630643733,1904
global,global,4,living,2296.393751181263,1959
global,global,5,living,1349.9572412442144,2718
global,global,6,living,859.0285228112973,2431
global,global,7,living,2003.0138547469987,2658
global,global,8,living,1449.4700221805806,2399
global,global,0,biodiversity,1578.0158801341368,2635
global,global,1,biodiversity,1636.3469666393103,2813
global,global,2,biodiversity,2183.0580819046168,1541
global,global,3,biodiversity,355.61010618566354,2068
global,global,4,biodiversity,1969.5791541467804,2528
global,global,5,biodiversity,-18.893993728656206,1379
global,global,6,biodiversity,1796.2822878688394,2003
global,global,7,biodiversity,2217.36125979684,2226
global,global,8,biodiversity,1510.916071533542,1971
global,global,0,safety,2294.889035366224,2348
global,global,1,safety,2141.726683520014,2399
global,global,2,safety,602.7731969556218,1961
global,global,3,safety,1944.1106239009077,2551
global,global,4,safety,1709.639987104918,2652
global,global,5,safety,2058.673264247957,2680
global,global,6,safety,2210.1328343463642,3004
global,global,7,safety,432.57213691681983,2650
global,global,8,safety,1355.4206026144138,1795
gender,man,0,living,1094.94783676272,1288
gender,man,1,living,2033.0157886777743,1344
gender,man,2,living,1689.8149799713083,1499
gender,man,3,living,1798.4011516234864,908
gender,man,4,living,1923.4691159352687,1013
gender,man,5,living,1523.0627946227874,1384
gender,man,6,living,572.3497022397737,1206
gender,man,7,living,1195.267947284946,1372
gender,man,8,living,1641.4432759830288,1202
gender,man,0,biodiversity,1721.6328302563104,1285
gender,man,1,biodiversity,1813.881697523735,1372
gender,man,2,biodiversity,2053.9042082710116,797
gender,man,3,biodiversity,1220.8190288044693,1098
gender,man,4,biodiversity,1066.5979596774462,1299
gender,man,5,biodiversity,580.1836834467165,738
gender,man,6,biodiversity,1603.3059377381396,1002
gender,man,7,biodiversity,1795.4056442935132,1182
gender,man,8,biodiversity,1173.0291514129265,933
gender,man,0,safety,1902.1274500185511,1199
gender,man,1,safety,2114.49409130955,1160
gender,man,2,safety,1637.6354207995469,1098
gender,man,3,safety,1793.331172595582,1302
gender,man,4,safety,1158.5475669116304,1414
gender,man,5,safety,1571.1319316881606,1393
gender,man,6,safety,1524.3367614982537,1509
gender,man,7,safety,1401.9371264125407,1441
gender,man,8,safety,1681.4861682879284,986
gender,woman,0,living,1859.4255445783729,1032
gender,woman,1,living,1692.0647462544819,1105
gender,woman,2,living,1286.4160685202298,1033
gender,woman,3,living,2001.546182611294,850
gender,woman,4,living,1896.579847433737,830
gender,woman,5,living,1485.7932216976494,1093
gender,woman,6,living,1798.5617277960207,948
gender,woman,7,living,1823.1876246951422,1096
gender,woman,8,living,808.2248063800763,979
gender,woman,0,biodiversity,1294.1116328556493,1058
gender,woman,1,biodiversity,1317.7032674715435,1146
gender,woman,2,biodiversity,1587.5116644962936,643
gender,woman,3,biodiversity,1388.0896164259082,858
gender,woman,4,biodiversity,1852.7051917043182,958
gender,woman,5,biodiversity,1081.7070104926381,597
gender,woman,6,biodiversity,1954.063837273259,720
gender,woman,7,biodiversity,1823.772180830115,860
gender,woman,8,biodiversity,1640.996532150911,874
gender,woman,0,safety,1583.3130542916206,955
gender,woman,1,safety,1344.9613885710344,958
gender,woman,2,safety,1100.498759473245,778
gender,woman,3,safety,1802.2192548346793,1027
gender,woman,4,safety,1888.1793297704005,1036
gender,woman,5,safety,1998.8656919354635,1043
gender,woman,6,safety,1933.014593258318,1160
gender,woman,7,safety,1153.1567043284342,1081
gender,woman,8,safety,965.084619199164,750
gender,other,0,living,1452.4867790732756,12
gender,other,1,living,1510.795359237978,19
gender,other,2,living,1490.0195703917498,17
gender,other,3,living,1429.3894627680122,20
gender,other,4,living,1502.3192705295678,16
gender,other,5,living,1573.7018343709135,10
gender,other,6,living,1538.01308411896,25
gender,other,7,living,1547.073078191535,14
gender,other,8,living,1466.8775418178134,17
gender,other,0,biodiversity,1427.3212300771572,10
gender,other,1,biodiversity,1556.1721060589534,11
gender,other,2,biodiversity,1476.1709522370381,10
gender,other,3,biodiversity,1524.5994454673119,16
