demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,579.9521151398943,2948
global,global,1,living,2251.79197009776,2104
global,global,2,living,2033.6433533348402,2100
global,global,3,living,1114.9287353590303,2908
global,global,4,living,1796.9748471211196,2803
global,global,5,living,1740.0456522814757,2902
global,global,6,living,-317.64282748116074,1691
global,global,7,living,2122.742882731132,2643
global,global,8,living,1012.0669056513786,3057
global,global,0,biodiversity,1170.4599022071466,2177
global,global,1,biodiversity,2039.4951445998277,1694
global,global,2,biodiversity,1953.4683455189327,1778
global,global,3,biodiversity,2226.140228180089,2256
global,global,4,biodiversity,554.2816166296549,1277
global,global,5,biodiversity,2132.4082516494805,2076
global,global,6,biodiversity,-95.44042489068943,1038
global,global,7,biodiversity,1715.836696891714,2047
global,global,8,biodiversity,967.0107906503443,2081
global,global,0,safety,2320.4237589431195,2547
global,global,1,safety,1655.899735003648,3364
global,global,2,safety,1734.508130750866,2531
global,global,3,safety,1100.4942084927595,2671
global,global,4,safety,387.6942594282897,2614
global,global,5,safety,2271.0400728237964,3139
global,global,6,safety,2113.5320359932375,2110
global,global,7,safety,1822.8631002570826,2045
global,global,8,safety,1301.9573547341681,2699
gender,man,0,living,-311.98231956882773,1477
gender,man,1,living,1786.5573081485275,1172
gender,man,2,living,1900.2341774715044,1041
gender,man,3,living,1732.2081749481504,1505
gender,man,4,living,251.45020920787223,1431
gender,man,5,living,1646.6706566259597,1530
gender,man,6,living,1348.7681676724826,990
gender,man,7,living,1387.7976390969661,1345
gender,man,8,living,2064.453277941959,1537
gender,man,0,biodiversity,980.1370481031952,1151
gender,man,1,biodiversity,1658.0359568156173,931
gender,man,2,biodiversity,1760.0104899265982,870
gender,man,3,biodiversity,2045.483857557494,1141
gender,man,4,biodiversity,1504.9535662241658,686
gender,man,5,biodiversity,1945.477801852631,1058
gender,man,6,biodiversity,1257.2086441733697,590
gender,man,7,biodiversity,1689.02545284915,1038
gender,man,8,biodiversity,622.9550849524588,1057
gender,man,0,safety,1903.9787709146863,1225
gender,man,1,safety,1599.1345732450068,1705
