demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,822.7354375009994,3039
global,global,1,living,1131.4541384628876,2515
global,global,2,living,1552.4786345500218,2719
global,global,3,living,1438.7323650607316,2210
global,global,4,living,2109.718289801295,2396
global,global,5,living,1589.833887216855,2185
global,global,6,living,2017.5762833981019,2726
global,global,7,living,2205.3662495705958,2587
global,global,8,living,1222.3471822276126,2659
global,global,0,biodiversity,748.5836644407345,2438
global,global,1,biodiversity,946.9121664587074,2641
global,global,2,biodiversity,2322.946958269415,3127
global,global,3,biodiversity,1702.7994241481147,2555
global,global,4,biodiversity,2248.9532498912736,2218
global,global,5,biodiversity,1680.983321263768,2564
global,global,6,biodiversity,2137.8507880027905,2230
global,global,7,biodiversity,2217.2391369022394,2475
global,global,8,biodiversity,1239.5083837285147,2574
global,global,0,safety,984.9514860860259,2432
global,global,1,safety,2203.392049382799,1648
global,global,2,safety,1072.336089054909,1714
global,global,3,safety,2079.3305617781607,1811
global,global,4,safety,799.1982385699046,2090
global,global,5,safety,-392.1847976938944,1395
global,global,6,safety,1850.385433898536,2120
global,global,7,safety,1403.6717980852522,2176
global,global,8,safety,543.9232497868063,2056
gender,man,0,living,851.5424551122348,1584
gender,man,1,living,1273.2746184187483,1275
gender,man,2,living,82.26253773733254,1372
gender,man,3,living,1096.5968178432136,1146
gender,man,4,living,1948.5511824569694,1248
gender,man,5,living,1574.0895176303118,1094
gender,man,6,living,1910.3214944245306,1419
gender,man,7,living,1994.7676743086024,1292
gender,man,8,living,1633.5863532568894,1384
gender,man,0,biodiversity,1671.9585792331143,1252
gender,man,1,biodiversity,779.5023458525211,1356
gender,man,2,biodiversity,1480.6069966669734,1583
gender,man,3,biodiversity,1962.702615393882,1310
gender,man,4,biodiversity,1867.0433047684155,1111
gender,man,5,biodiversity,1345.2059650224817,1237
gender,man,6,biodiversity,1638.0075137010012,1258
gender,man,7,biodiversity,2056.1565913932272,1256
gender,man,8,biodiversity,1724.3559344717196,1313
gender,man,0,safety,1718.072954000785,1225
gender,man,1,safety,1806.1677748823477,888
gender,man,2,safety,1768.298705555553,864
gender,man,3,safety,2011.5071109680246,910
gender,man,4,safety,651.1282578335914,1057
gender,man,5,safety,254.20490638736027,694
