demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1903.5111306747326,2881
global,global,1,living,2396.755915406727,2758
global,global,2,living,975.9011410753827,3010
global,global,3,living,781.7372985262007,2355
global,global,4,living,709.9205078479243,2009
global,global,5,living,2209.1447797345636,2567
global,global,6,living,1318.7279570650055,3439
global,global,7,living,2106.7383283094637,2687
global,global,8,living,1461.3595524086754,3252
global,global,0,biodiversity,2259.0365328631724,1632
global,global,1,biodiversity,2029.484203432968,2216
global,global,2,biodiversity,-141.46598851978973,1890
global,global,3,biodiversity,1700.1894565313726,1830
global,global,4,biodiversity,830.6517953058549,1974
global,global,5,biodiversity,990.8761530535791,2415
global,global,6,biodiversity,1612.7348448045675,2715
global,global,7,biodiversity,1171.855352949648,2381
global,global,8,biodiversity,2082.5556543946727,2077
global,global,0,safety,2296.636486313189,1729
global,global,1,safety,864.820368221959,2655
global,global,2,safety,1965.902578667747,2056
global,global,3,safety,-246.24106153397912,1236
global,global,4,safety,1202.7131889622956,2781
global,global,5,safety,6.901030597806784,1882
global,global,6,safety,2105.8146104035254,2269
global,global,7,safety,348.509236259271,2120
global,global,8,safety,1521.1128674570157,2484
gender,man,0,living,1635.884556295723,1469
gender,man,1,living,1522.394778495087,1473
gender,man,2,living,1662.8695251425645,1626
gender,man,3,living,1332.8350547127752,1253
gender,man,4,living,681.8839439019989,936
gender,man,5,living,2072.2990497884657,1215
gender,man,6,living,1943.1190307557472,1830
gender,man,7,living,2115.8816586243156,1354
gender,man,8,living,1625.7240976005426,1690
gender,man,0,biodiversity,2001.1714496441698,836
gender,man,1,biodiversity,1089.0654916827127,1168
gender,man,2,biodiversity,2.7388067002546457,963
gender,man,3,biodiversity,1938.6248853290283,905
gender,man,4,biodiversity,766.2607655877183,1011
gender,man,5,biodiversity,1648.496987411532,1226
gender,man,6,biodiversity,1000.9651055122237,1223
gender,man,7,biodiversity,1380.4655819112945,1162
gender,man,8,biodiversity,1694.753537375591,1068
gender,man,0,safety,2060.051488226383,845
gender,man,1,safety,1034.4761796378302,1327
gender,man,2,safety,1426.608174270941,1049
gender,man,3,safety,640.8211217321158,693
gender,man,4,safety,1332.4129360115994,1472
gender,man,5,safety,1288.7895662450846,1029
gender,man,6,safety,1902.9056467987646,1201
gender,man,7,safety,1567.9018954349067,1130
gender,man,8,safety,1814.508811941362,1270
gender,woman,0,living,1694.6940581490671,1076
gender,woman,1,living,2040.366649973386,1041
gender,woman,2,living,1377.2321309561173,1194
gender,woman,3,living,575.6563268968673,898
gender,woman,4,living,1190.3072734541552,883
gender,woman,5,living,915.4399832573282,1105
gender,woman,6,living,1730.9033074901922,1410
gender,woman,7,living,1750.330916844978,1084
gender,woman,8,living,1883.2188640996596,1337
gender,woman,0,biodiversity,1715.447682173569,666
gender,woman,1,biodiversity,1935.6247941909155,835
gender,woman,2,biodiversity,1515.8865411756474,799
