demographic,demographic_value,habitat_id,question_id,mu,rankings
age,middle,6,biodiversity,1427.2147373780085,728
income,middle,2,safety,1422.505537270971,812
age,younger,2,living,1724.694361057894,535
age,older,7,safety,1714.6948393619555,580
global,global,1,living,1939.875290845691,2355
children,no,3,living,2109.2050962774224,1087
age,middle,8,living,536.6773230926548,1011
age,younger,1,biodiversity,1833.7227853406207,654
income,higher,7,living,1643.03083531299,645
dog,no,3,safety,768.5494044374412,1547
children,yes,5,biodiversity,1054.0990835861764,338
income,lower,2,safety,1261.5678815903086,528
gender,woman,0,living,1301.9384660104363,736
dog,no,6,biodiversity,665.1104278609832,941
income,middle,5,safety,1970.5454017549318,708
age,younger,7,biodiversity,1413.2755324771474,487
ethnicity,white,6,safety,1015.1860025797786,2320
education,eighteen,4,living,1125.712263666498,310
income,lower,7,living,1553.5734243691788,381
global,global,4,safety,679.5383826654544,2874
ethnicity,white,8,living,1132.165960507867,2063
age,middle,5,biodiversity,1861.3190336316275,1052
age,younger,2,safety,1671.3762698701391,708
income,lower,3,living,1436.5058608230754,262
income,middle,8,biodiversity,1795.3873897647552,727
global,global,5,biodiversity,1899.7951587547384,2392
gender,man,3,living,1904.4867746257405,712
education,eighteen,1,safety,1857.3305583633617,486
children,no,1,living,1860.4622393250054,1791
age,older,6,safety,1592.795993129155,643
global,global,3,safety,1563.4532647118253,2595
income,middle,8,living,1611.8192037524527,760
movement,yes,3,biodiversity,1590.4575582000018,422
age,older,5,living,1603.3032440833867,456
income,middle,2,living,1083.7049256958826,602
ethnicity,white,7,safety,1888.0889842870777,2117
gender,man,6,living,130.95848596646834,851
education,older,4,biodiversity,2016.9942749631014,1451
education,eighteen,4,safety,1604.4130269906866,457
age,older,4,biodiversity,1519.7333938271136,524
global,global,5,safety,2405.1006598536446,2449
gender,woman,6,safety,1306.654080679137,1192
education,sixteen,3,safety,1075.0377786812642,135
age,middle,4,safety,1332.9680409304424,1256
gender,man,8,biodiversity,944.555018586825,1325
income,higher,5,safety,1782.3080793456627,767
dog,no,0,biodiversity,2083.7378880565957,1407
global,global,8,safety,2180.217689639723,2995
age,younger,4,safety,1132.4092473636063,729
education,older,2,safety,1310.4778667654532,1691
ethnicity,white,5,living,1972.4725172189508,1582
global,global,1,biodiversity,1830.8603552538507,2542
income,higher,3,living,1806.5115020228025,390
education,older,5,biodiversity,1405.4695736270476,1524
gender,man,4,living,950.9890742377854,1020
global,global,7,safety,2033.2901630229333,2776
gender,woman,2,safety,618.4388945217514,1066
gender,woman,2,biodiversity,1002.316516403029,1146
global,global,7,living,1415.8130752921566,2175
income,lower,2,living,1785.8969292196173,344
gender,man,2,biodiversity,1742.8360029316134,1310
ethnicity,white,4,safety,-519.9229488411717,2201
income,middle,1,biodiversity,1933.2057042114743,730
ethnicity,white,6,biodiversity,-41.36525447824324,1306
gender,other,0,safety,1489.049958120683,13
gender,other,4,biodiversity,1407.5997989868026,9
ethnicity,white,2,biodiversity,1676.2429984025437,2138
gender,other,2,biodiversity,1453.823021783178,8
gender,other,0,living,1501.996664640702,10
age,younger,4,living,1590.5521039339121,656
age,younger,3,biodiversity,1337.5905786805286,664
