demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2245.049668269603,2701
global,global,1,living,2042.9394972205307,2628
global,global,2,living,1046.7948382585532,2468
global,global,3,living,2381.5854803758266,1891
global,global,4,living,1395.30043913571,2102
global,global,5,living,777.34556434694,3128
global,global,6,living,1605.3414512414947,2859
global,global,7,living,1150.5062186227583,2310
global,global,8,living,1902.571846501408,2467
global,global,0,biodiversity,-258.641547111482,1526
global,global,1,biodiversity,2266.4267255251607,1498
global,global,2,biodiversity,647.1283168883381,1776
global,global,3,biodiversity,1979.9605482110028,2503
global,global,4,biodiversity,426.29567536068987,1831
global,global,5,biodiversity,1106.941777890858,2423
global,global,6,biodiversity,2023.540132507869,2580
global,global,7,biodiversity,1410.7391598826364,2537
global,global,8,biodiversity,1936.9805834517354,2484
global,global,0,safety,1795.0518512725112,2470
global,global,1,safety,2113.9881221984865,1651
global,global,2,safety,1535.861371762733,2552
global,global,3,safety,956.1390846513684,2582
global,global,4,safety,-66.98783392693184,1041
global,global,5,safety,1948.9535512637237,2357
global,global,6,safety,2248.6628824954614,2828
global,global,7,safety,1233.2316136259535,3281
global,global,8,safety,1126.7057986460527,2826
gender,man,0,living,1961.8593116937298,1331
gender,man,1,living,2111.311008055485,1323
gender,man,2,living,1011.1244183171261,1210
gender,man,3,living,1665.0940853230304,1060
gender,man,4,living,1675.5523301227608,1083
gender,man,5,living,1801.6791741605794,1556
gender,man,6,living,1855.9672775304207,1455
gender,man,7,living,1519.1894644090316,1181
gender,man,8,living,1879.736123419699,1309
gender,man,0,biodiversity,820.8629226924036,817
gender,man,1,biodiversity,1999.694915885494,813
gender,man,2,biodiversity,751.908802175182,836
gender,man,3,biodiversity,1763.4687172797533,1201
gender,man,4,biodiversity,891.6260929047779,920
gender,man,5,biodiversity,1373.7611273855705,1248
gender,man,6,biodiversity,1631.1525342283594,1311
gender,man,7,biodiversity,782.7657264471461,1359
gender,man,8,biodiversity,2105.941287611551,1299
gender,man,0,safety,1930.3930217996535,1294
gender,man,1,safety,1837.5934033315136,893
gender,man,2,safety,1963.436112780693,1316
gender,man,3,safety,889.6979896837792,1207
gender,man,4,safety,345.97763371891085,556
gender,man,5,safety,2020.041496474535,1238
gender,man,6,safety,1699.385814634407,1482
gender,man,7,safety,1430.2252467971452,1692
gender,man,8,safety,1401.7041675378357,1434
gender,woman,0,living,1545.277691711928,1100
gender,woman,1,living,1185.5195094534436,1070
gender,woman,2,living,1669.1632916696387,1018
gender,woman,3,living,1973.9015971589204,694
gender,woman,4,living,1452.2092788846771,838
gender,woman,5,living,1514.415261296859,1285
gender,woman,6,living,1497.2788710799139,1203
gender,woman,7,living,564.9949770682525,899
gender,woman,8,living,1865.5147526305673,917
gender,woman,0,biodiversity,894.9538109644516,645
gender,woman,1,biodiversity,1859.0977406699606,623
gender,woman,2,biodiversity,1357.732530860864,766
gender,woman,3,biodiversity,1646.7254479257706,1032
gender,woman,4,biodiversity,1224.8683069212693,722
gender,woman,5,biodiversity,1309.551240385245,994
gender,woman,6,biodiversity,2004.315832166865,1027
gender,woman,7,biodiversity,1752.30557534262,995
gender,woman,8,biodiversity,614.6942440697521,1020
