demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1987.3845134680348,1866
global,global,1,living,2249.9988226475675,2499
global,global,2,living,1493.6340963051475,2380
global,global,3,living,2128.7404273183456,1982
global,global,4,living,2056.4348112158964,1802
global,global,5,living,1284.4491471716035,1709
global,global,6,living,650.6609582478105,2034
global,global,7,living,1349.726928082887,1730
global,global,8,living,1409.9325204817942,2220
global,global,0,biodiversity,2067.1839792850783,2313
global,global,1,biodiversity,1707.232617187038,2734
global,global,2,biodiversity,1506.2469450977046,2950
global,global,3,biodiversity,2204.5910466697173,2801
global,global,4,biodiversity,88.3403088284911,2607
global,global,5,biodiversity,7.88094128935489,2416
global,global,6,biodiversity,1291.4611091693484,3186
global,global,7,biodiversity,1586.4115102741284,3384
global,global,8,biodiversity,2279.6333811595096,2715
global,global,0,safety,2329.1079399493306,2340
global,global,1,safety,1876.0027773177421,2192
global,global,2,safety,2179.6578024860337,2268
global,global,3,safety,1951.8894145746701,2216
global,global,4,safety,1326.1412438380298,2400
global,global,5,safety,490.9314613945526,2108
global,global,6,safety,944.8666314517795,1809
global,global,7,safety,2029.8799495988098,2670
global,global,8,safety,2259.540418619224,1969
gender,man,0,living,1863.8519812486243,927
gender,man,1,living,1964.4853978539143,1193
gender,man,2,living,895.6147427359888,1166
gender,man,3,living,1733.0517426566985,1032
gender,man,4,living,1921.6740817705324,951
gender,man,5,living,1824.526477032058,901
gender,man,6,living,1664.590762128697,1032
gender,man,7,living,1394.0377733154055,934
gender,man,8,living,721.3586026381047,1086
gender,man,0,biodiversity,1999.1295761147776,1208
gender,man,1,biodiversity,1277.801882956258,1395
gender,man,2,biodiversity,1793.7745315514644,1555
gender,man,3,biodiversity,2122.102122458374,1429
gender,man,4,biodiversity,113.15882925386626,1276
gender,man,5,biodiversity,333.5863980253223,1235
gender,man,6,biodiversity,1764.3537314096002,1648
gender,man,7,biodiversity,1855.4335059157734,1777
gender,man,8,biodiversity,1912.0344860215635,1395
gender,man,0,safety,1802.934099760761,1208
gender,man,1,safety,1958.7409566889091,1118
gender,man,2,safety,2087.660169690442,1153
gender,man,3,safety,1826.078213194105,1040
gender,man,4,safety,1483.055396261565,1315
gender,man,5,safety,1365.1432554656112,1083
gender,man,6,safety,1601.7213392669778,994
gender,man,7,safety,1768.9388828451465,1357
gender,man,8,safety,1570.538259907447,1016
gender,woman,0,living,1682.791698610384,745
gender,woman,1,living,1885.0457189231988,979
gender,woman,2,living,1716.1992768435425,957
gender,woman,3,living,1815.8421801848299,774
gender,woman,4,living,1323.2779705287655,718
gender,woman,5,living,822.3500482231256,628
gender,woman,6,living,920.9003619752607,843
gender,woman,7,living,1292.7723889910083,657
gender,woman,8,living,1943.5595428950871,849
gender,woman,0,biodiversity,1989.4861764901666,936
gender,woman,1,biodiversity,1784.327295004353,1145
gender,woman,2,biodiversity,1606.0503332029919,1240
gender,woman,3,biodiversity,2075.661014208433,1124
gender,woman,4,biodiversity,1488.734985045892,1093
gender,woman,5,biodiversity,1640.2955177267045,983
gender,woman,6,biodiversity,1680.6420837098362,1283
gender,woman,7,biodiversity,1810.3340023553715,1320
gender,woman,8,biodiversity,1847.5657689247603,1192
gender,woman,0,safety,1832.20598292078,970
gender,woman,1,safety,1312.4506592042676,856
gender,woman,2,safety,1747.3713684833044,889
gender,woman,3,safety,1789.2581230569017,968
gender,woman,4,safety,1515.6244038461068,952
gender,woman,5,safety,1457.8987600976175,892
gender,woman,6,safety,-26.0332253559869,664
gender,woman,7,safety,1193.8377078224532,1045
gender,woman,8,safety,1993.437517222525,766
gender,other,0,living,1513.1467137486566,17
gender,other,1,living,1550.3342927505312,24
gender,other,2,living,1487.5790308846822,19
gender,other,3,living,1502.95420711356,18
gender,other,4,living,1560.0853354787553,7
gender,other,5,living,1457.5659630083485,10
gender,other,6,living,1425.3070376365924,10
