demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1573.378955939611,2321
global,global,1,living,1690.8010046206207,2338
global,global,2,living,2046.5611011037765,1495
global,global,3,living,2161.5226498007823,1431
global,global,4,living,1516.909834887691,2844
global,global,5,living,-188.24591638421464,1845
global,global,6,living,1783.147448539359,2890
global,global,7,living,1941.2953500418728,2766
global,global,8,living,892.566795928786,1896
global,global,0,biodiversity,898.0406639465714,2587
global,global,1,biodiversity,503.67374982560784,2229
global,global,2,biodiversity,1281.137964499454,2916
global,global,3,biodiversity,2200.4099993860996,1420
global,global,4,biodiversity,2044.3903127016572,2120
global,global,5,biodiversity,2123.3430729628462,2396
global,global,6,biodiversity,1778.0829419121023,2649
global,global,7,biodiversity,1569.7237181012053,2626
global,global,8,biodiversity,1050.6006102372207,2575
global,global,0,safety,2214.8492744617715,1342
global,global,1,safety,1306.9623209159843,2112
global,global,2,safety,1952.3072636271131,2790
global,global,3,safety,1459.5261255866549,2530
global,global,4,safety,1513.5318025126096,2844
global,global,5,safety,2025.7300928115428,2814
global,global,6,safety,2409.3084147467307,2357
global,global,7,safety,1196.447178910622,2617
global,global,8,safety,804.5806648303312,2550
gender,man,0,living,1557.7746271385747,1224
gender,man,1,living,953.5015340667995,1277
gender,man,2,living,2025.327334207152,724
gender,man,3,living,1703.7970973218423,790
gender,man,4,living,1842.8820252445837,1416
gender,man,5,living,885.2594595124875,1010
gender,man,6,living,1023.8116806854799,1536
gender,man,7,living,1629.5845654865564,1433
gender,man,8,living,1745.2093275237198,1022
gender,man,0,biodiversity,1812.1350279877245,1345
gender,man,1,biodiversity,1459.704874933403,1156
gender,man,2,biodiversity,1257.7986313123465,1534
gender,man,3,biodiversity,1915.0976947994466,738
gender,man,4,biodiversity,1713.3651035058153,1084
gender,man,5,biodiversity,1607.012786726103,1306
gender,man,6,biodiversity,1843.8047823592615,1470
gender,man,7,biodiversity,-138.57712366897235,1354
gender,man,8,biodiversity,1764.5251500038887,1321
gender,man,0,safety,1945.0856120315468,671
gender,man,1,safety,686.218674095598,1041
gender,man,2,safety,1787.6450684191504,1350
gender,man,3,safety,1672.1975061634853,1281
gender,man,4,safety,1708.2659542524093,1325
gender,man,5,safety,1196.4474990944773,1424
gender,man,6,safety,2034.7473729674668,1130
gender,man,7,safety,1283.5980378451054,1196
gender,man,8,safety,1342.7342661352177,1266
gender,woman,0,living,1249.6598342576442,947
gender,woman,1,living,1949.4478442463806,946
gender,woman,2,living,1595.2518560486149,669
gender,woman,3,living,1817.1205554282324,573
gender,woman,4,living,1414.1830377990225,1241
gender,woman,5,living,1346.1010291536973,774
gender,woman,6,living,1896.2480439230335,1151
gender,woman,7,living,1778.2383014556085,1132
gender,woman,8,living,1030.1537348085549,777
gender,woman,0,biodiversity,1434.4735232691362,1049
gender,woman,1,biodiversity,509.344239231395,899
gender,woman,2,biodiversity,1737.5895661633776,1109
gender,woman,3,biodiversity,1890.9842162453617,588
gender,woman,4,biodiversity,1529.029509171203,851
gender,woman,5,biodiversity,1932.0380939669697,911
gender,woman,6,biodiversity,1849.3271335800343,965
gender,woman,7,biodiversity,1696.201859851971,998
gender,woman,8,biodiversity,1019.0591799306404,1026
gender,woman,0,safety,1833.8468848450652,571
gender,woman,1,safety,1733.200075949614,847
gender,woman,2,safety,1162.659943581559,1098
gender,woman,3,safety,1443.856536339113,998
gender,woman,4,safety,1894.0519917019367,1196
gender,woman,5,safety,1965.4385245342958,1059
gender,woman,6,safety,1933.7269930196148,914
gender,woman,7,safety,1365.320115138784,1087
gender,woman,8,safety,1658.923921465439,1092
gender,other,0,living,1539.6638278775285,13
gender,other,1,living,1490.8716693728363,11
gender,other,2,living,1548.0413141696029,8
gender,other,3,living,1452.0,4
gender,other,4,living,1466.2272703446658,17
gender,other,5,living,1512.0735014019413,11
gender,other,6,living,1476.4000076259508,4
gender,other,7,living,1525.6138185926352,10
gender,other,8,living,1500.8622237180466,10
gender,other,0,biodiversity,1425.6476876674253,8
gender,other,1,biodiversity,1465.3391472090802,17
gender,other,2,biodiversity,1569.9942961191282,8
gender,other,3,biodiversity,1547.809417713386,14
gender,other,4,biodiversity,1488.4088531775826,9
gender,other,5,biodiversity,1451.81680606777,10
gender,other,6,biodiversity,1532.5970321607701,15
gender,other,7,biodiversity,1499.4919246512957,18
gender,other,8,biodiversity,1516.2919192125246,17
gender,other,0,safety,1478.5382132172338,14
gender,other,1,safety,1441.0248543158414,17
gender,other,2,safety,1511.7565445840744,15
gender,other,3,safety,1585.5441638883322,12
gender,other,4,safety,1531.7888889784585,17
gender,other,5,safety,1441.982078463902,19
gender,other,6,safety,1492.960350119815,13
gender,other,7,safety,1464.2466575983879,17
gender,other,8,safety,1548.0691506250184,10
age,younger,0,living,1455.0834407404814,627
age,younger,1,living,1146.2483196895948,693
age,younger,2,living,1796.6009303246838,344
age,younger,3,living,1877.3608157025817,365
age,younger,4,living,1680.217691601102,772
age,younger,5,living,1301.1767965558863,549
age,younger,6,living,1343.3862583660728,812
age,younger,7,living,1538.589829400815,778
age,younger,8,living,1001.6685926170189,610
age,younger,0,biodiversity,1769.6411080294315,785
age,younger,1,biodiversity,1413.4445119623451,602
age,younger,2,biodiversity,1544.3729115562105,878
age,younger,3,biodiversity,1633.683313963949,451
age,younger,4,biodiversity,1933.7806389015832,584
age,younger,5,biodiversity,1823.3495053318488,703
age,younger,6,biodiversity,1566.3385395390883,794
age,younger,7,biodiversity,1524.0677944218291,778
age,younger,8,biodiversity,1290.4877166999788,713
age,younger,0,safety,1770.619752770523,372
age,younger,1,safety,1611.893110689494,644
age,younger,2,safety,1422.531113551298,752
age,younger,3,safety,1735.7663174302832,711
age,younger,4,safety,1933.765702645319,697
age,younger,5,safety,1046.8432535256331,786
age,younger,6,safety,1132.8214582491453,612
age,younger,7,safety,773.0334547483042,685
age,younger,8,safety,1364.961086726126,685
age,middle,0,living,1609.2920988452136,1030
age,middle,1,living,1708.640960895117,1005
age,middle,2,living,1688.0119417581884,724
age,middle,3,living,1943.2078946098964,608
age,middle,4,living,1047.8908504920512,1227
age,middle,5,living,614.9054172368751,786
age,middle,6,living,1886.5660047424221,1229
age,middle,7,living,1918.595871064315,1179
