demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2188.386768517947,2601
global,global,1,living,1466.2755901689234,2395
global,global,2,living,795.1197209147257,2590
global,global,3,living,342.1795268922135,2920
global,global,4,living,1325.443492906707,3140
global,global,5,living,2322.339502352267,1936
global,global,6,living,1577.1462235337992,3526
global,global,7,living,1777.8801376158453,2941
global,global,8,living,1952.9910998022078,2735
global,global,0,biodiversity,1587.9228183153782,2064
global,global,1,biodiversity,2292.9298821446873,1966
global,global,2,biodiversity,2203.1356538166488,2045
global,global,3,biodiversity,1945.1361000590803,1981
global,global,4,biodiversity,823.4983182631585,1473
global,global,5,biodiversity,1372.80573826831,1759
global,global,6,biodiversity,757.7327775332935,1386
global,global,7,biodiversity,1250.935766219337,2117
global,global,8,biodiversity,1841.0169287208785,1833
global,global,0,safety,1891.8343482762953,2887
global,global,1,safety,2173.293298665207,2675
global,global,2,safety,1346.3755291515313,2177
global,global,3,safety,595.548453959043,1740
global,global,4,safety,1697.511661069126,2909
global,global,5,safety,2322.8079202416443,1658
global,global,6,safety,876.8366552939459,2463
global,global,7,safety,2021.7670734114363,2725
global,global,8,safety,1884.239322264596,2658
gender,man,0,living,1855.0600943598422,1341
gender,man,1,living,683.5747527404632,1244
gender,man,2,living,1196.783281347495,1342
gender,man,3,living,290.5633499083045,1508
gender,man,4,living,925.0221929122977,1601
gender,man,5,living,2050.0727187616853,979
gender,man,6,living,1830.9061763746151,1816
gender,man,7,living,1757.672805220092,1497
gender,man,8,living,1690.0719126245035,1416
gender,man,0,biodiversity,1323.225254296852,1052
gender,man,1,biodiversity,2052.496222132038,975
gender,man,2,biodiversity,1576.9486371678677,1007
gender,man,3,biodiversity,1184.7262462559404,1033
gender,man,4,biodiversity,1510.4421108543306,797
gender,man,5,biodiversity,135.13392774524016,865
gender,man,6,biodiversity,1046.3068667761477,679
gender,man,7,biodiversity,1941.9311459387704,1056
gender,man,8,biodiversity,1752.0599117245972,990
gender,man,0,safety,1743.0754732714536,1409
gender,man,1,safety,1869.2514632970547,1354
gender,man,2,safety,1540.8367885976068,1164
gender,man,3,safety,820.1025938061348,922
gender,man,4,safety,543.7563083603238,1467
gender,man,5,safety,2031.3815101032142,919
gender,man,6,safety,1308.997706332491,1284
gender,man,7,safety,2060.542288197682,1326
gender,man,8,safety,1665.6727611648657,1381
gender,woman,0,living,1871.2147095506998,1055
gender,woman,1,living,2010.0744928616878,886
gender,woman,2,living,1517.9454867451987,1094
gender,woman,3,living,1683.1960963509289,1235
gender,woman,4,living,1826.7094168417584,1258
gender,woman,5,living,1752.9743613470596,883
gender,woman,6,living,1271.2803294604983,1519
gender,woman,7,living,1380.4103472625923,1235
gender,woman,8,living,1709.6134537636756,1051
gender,woman,0,biodiversity,1703.815025873666,857
gender,woman,1,biodiversity,1677.3996235017053,835
gender,woman,2,biodiversity,1796.6564202571124,813
gender,woman,3,biodiversity,1852.820029630918,787
gender,woman,4,biodiversity,1162.775798636169,588
gender,woman,5,biodiversity,1935.7193799552367,670
gender,woman,6,biodiversity,920.1461539417891,572
gender,woman,7,biodiversity,948.3007459284414,890
gender,woman,8,biodiversity,1467.671307695598,678
gender,woman,0,safety,1245.4551123093438,1099
gender,woman,1,safety,1425.2403397485598,1036
gender,woman,2,safety,1126.3807186612498,876
gender,woman,3,safety,1313.9027613340004,753
gender,woman,4,safety,1803.144150104017,1149
gender,woman,5,safety,1921.0355806106525,653
gender,woman,6,safety,1559.818530763208,998
gender,woman,7,safety,1848.2852518293043,1029
gender,woman,8,safety,1888.297751252219,969
gender,other,0,living,1499.9967308610949,12
gender,other,1,living,1478.0561868883256,18
gender,other,2,living,1469.0845895393659,19
gender,other,3,living,1513.6066177786213,19
gender,other,4,living,1552.4570557966877,14
gender,other,5,living,1525.9993546860346,24
gender,other,6,living,1555.1771664062112,14
gender,other,7,living,1481.8114689585307,18
gender,other,8,living,1453.8738143038481,6
gender,other,0,biodiversity,1451.5565863271363,6
gender,other,1,biodiversity,1533.5360039369873,15
gender,other,2,biodiversity,1547.9864599134894,6
gender,other,3,biodiversity,1437.548205763807,5
gender,other,4,biodiversity,1559.9182441958892,9
gender,other,5,biodiversity,1511.6683975126123,17
gender,other,6,biodiversity,1487.984306533762,11
gender,other,7,biodiversity,1463.9852281743836,11
gender,other,8,biodiversity,1500.0252683381623,8
gender,other,0,safety,1570.6075401714681,10
gender,other,1,safety,1485.8884728250441,17
gender,other,2,safety,1451.3014229473836,10
gender,other,3,safety,1512.9168871450725,15
gender,other,4,safety,1428.0228853758263,6
gender,other,5,safety,1536.2580963839052,21
gender,other,6,safety,1545.941657188845,8
gender,other,7,safety,1461.4251225261112,11
gender,other,8,safety,1499.9887960580977,8
age,younger,0,living,1895.879158151591,639
age,younger,1,living,1311.0894810094128,656
age,younger,2,living,1334.1487966967238,709
age,younger,3,living,890.6308808512691,802
age,younger,4,living,1643.6701103725263,826
age,younger,5,living,1862.4299510175465,592
age,younger,6,living,1472.7111962921801,912
age,younger,7,living,674.3975014532547,784
age,younger,8,living,1750.9508527559317,746
age,younger,0,biodiversity,1507.8091610720155,599
age,younger,1,biodiversity,1900.0858514802599,473
age,younger,2,biodiversity,1822.620078027689,528
age,younger,3,biodiversity,1365.3624415248405,599
age,younger,4,biodiversity,1428.0968935563897,494
age,younger,5,biodiversity,1112.470413682196,539
age,younger,6,biodiversity,1158.3937612035477,396
age,younger,7,biodiversity,1453.9648260312267,646
age,younger,8,biodiversity,1705.1222696464195,516
age,younger,0,safety,1794.9741189503682,863
age,younger,1,safety,1860.0847318412616,720
age,younger,2,safety,1635.8107374581891,649
age,younger,3,safety,1512.6859146714155,542
age,younger,4,safety,791.7405902508447,777
age,younger,5,safety,1681.9006025381902,603
age,younger,6,safety,1553.2804314368982,677
age,younger,7,safety,1923.9185334165795,685
age,younger,8,safety,1603.5310856359276,810
age,middle,0,living,1995.5088436338226,1094
age,middle,1,living,1951.092167644005,1026
age,middle,2,living,1239.6047642282579,1145
age,middle,3,living,1146.1938624372162,1367
age,middle,4,living,1501.1850863623606,1282
age,middle,5,living,1865.4450994634078,885
age,middle,6,living,1492.2626802920115,1579
age,middle,7,living,1682.6100619922556,1288
age,middle,8,living,1428.6750959048295,1166
age,middle,0,biodiversity,1906.7137879790619,919
age,middle,1,biodiversity,1817.5464112961556,922
age,middle,2,biodiversity,1763.1936787880081,888
age,middle,3,biodiversity,1940.274742529533,802
age,middle,4,biodiversity,1342.8101342733182,605
age,middle,5,biodiversity,995.7370703519714,673
