demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,-869.8852505842518,2131
global,global,1,living,55.17152196544824,2210
global,global,2,living,2261.5199622131054,2416
global,global,3,living,1367.3656888884782,3174
global,global,4,living,1643.0234003212252,2960
global,global,5,living,1533.516991274583,2891
global,global,6,living,1352.4204626459523,2113
global,global,7,living,2020.67014702878,2297
global,global,8,living,1925.3284741608543,1810
global,global,0,biodiversity,2327.4777121983225,2174
global,global,1,biodiversity,1629.7786012344432,2710
global,global,2,biodiversity,2039.531596876634,1775
global,global,3,biodiversity,352.575660888709,1913
global,global,4,biodiversity,1769.5777039056761,2554
global,global,5,biodiversity,-136.83599160497616,1500
global,global,6,biodiversity,1924.951950289471,2229
global,global,7,biodiversity,2130.3428941673105,2053
global,global,8,biodiversity,1162.6134465319312,2622
global,global,0,safety,1777.9960679269286,2706
global,global,1,safety,2247.858367732208,1949
global,global,2,safety,1022.4082967277027,2219
global,global,3,safety,1486.9003774698056,2552
global,global,4,safety,1853.3539409241407,2180
global,global,5,safety,1093.9395191585609,2684
global,global,6,safety,2162.2251518053395,2283
global,global,7,safety,207.07506568283569,2439
global,global,8,safety,584.2670175624852,2756
gender,man,0,living,878.572476108077,1174
gender,man,1,living,1506.7981843356479,1197
gender,man,2,living,1742.9566239788974,1225
gender,man,3,living,996.9483868458179,1577
gender,man,4,living,1533.4855166429268,1531
gender,man,5,living,1644.2572868000868,1473
gender,man,6,living,1322.4717177255816,1130
gender,man,7,living,1919.690456536439,1119
gender,man,8,living,1976.8029188981868,886
gender,man,0,biodiversity,1805.5646417364871,1052
gender,man,1,biodiversity,1491.3546774606007,1413
gender,man,2,biodiversity,1088.64906060878,863
gender,man,3,biodiversity,973.2174901632706,998
gender,man,4,biodiversity,1730.5927558276235,1272
gender,man,5,biodiversity,901.2971893491203,874
gender,man,6,biodiversity,1599.3019181912912,1169
gender,man,7,biodiversity,2094.192908503547,957
gender,man,8,biodiversity,1230.4670042447206,1322
gender,man,0,safety,1851.2992077023482,1383
gender,man,1,safety,1714.4607037632884,973
gender,man,2,safety,1212.3850999795561,1105
gender,man,3,safety,1961.1853587759454,1350
gender,man,4,safety,1926.824099981891,1077
gender,man,5,safety,1431.8163217491574,1426
gender,man,6,safety,2004.69530339359,1163
gender,man,7,safety,815.7405739219524,1283
gender,man,8,safety,992.5250325249651,1432
gender,woman,0,living,850.6549171776327,828
gender,woman,1,living,898.5734544055065,905
gender,woman,2,living,882.8548958779152,987
gender,woman,3,living,2017.1669833163403,1256
gender,woman,4,living,1913.2192627943693,1156
gender,woman,5,living,1648.5014832826778,1170
gender,woman,6,living,1781.5135040179778,760
gender,woman,7,living,1003.5019109370472,980
gender,woman,8,living,1597.6139132323979,738
gender,woman,0,biodiversity,1851.2953860762473,842
