demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1514.196059420691,3156
global,global,1,living,1726.8400415160722,2754
global,global,2,living,1910.843751825198,3063
global,global,3,living,1601.8537512559685,2660
global,global,4,living,2341.872550922873,3351
global,global,5,living,2203.248859770109,3298
global,global,6,living,2565.2821681225705,2988
global,global,7,living,1348.729578962072,2812
global,global,8,living,177.41982999248162,1214
global,global,0,biodiversity,1503.0354372660308,2207
global,global,1,biodiversity,2049.9883928434097,2016
global,global,2,biodiversity,1229.2953704587662,2695
global,global,3,biodiversity,1345.3293571486727,2569
global,global,4,biodiversity,2253.4129195593046,1995
global,global,5,biodiversity,1905.865578595521,2137
global,global,6,biodiversity,1016.2904884837474,2337
global,global,7,biodiversity,269.76725070991205,1299
global,global,8,biodiversity,1601.151279673148,2139
global,global,0,safety,855.222130075347,1884
global,global,1,safety,1820.5850408048514,2307
global,global,2,safety,2271.551478149839,1761
global,global,3,safety,610.2990052538349,2218
global,global,4,safety,61.637496772547394,1546
global,global,5,safety,1327.3675835645527,2230
global,global,6,safety,1889.6619190094098,2239
global,global,7,safety,2061.453202925838,2370
global,global,8,safety,179.18256243655503,2055
gender,man,0,living,1754.79573342862,1485
gender,man,1,living,1939.8054155078744,1312
gender,man,2,living,921.6066611490369,1573
gender,man,3,living,1485.7401505635034,1376
gender,man,4,living,2076.769495746978,1662
gender,man,5,living,1571.5072217392265,1656
gender,man,6,living,1026.8384167098748,1561
gender,man,7,living,800.5306131547487,1439
gender,man,8,living,132.10542327356157,640
gender,man,0,biodiversity,1933.9309841445938,1122
gender,man,1,biodiversity,1852.9810868903787,1012
gender,man,2,biodiversity,1737.9629514120015,1394
gender,man,3,biodiversity,1452.9123903526045,1351
gender,man,4,biodiversity,2009.41173281239,1068
gender,man,5,biodiversity,1764.7255204946025,1111
gender,man,6,biodiversity,967.9963430455734,1162
gender,man,7,biodiversity,1486.199074183841,717
gender,man,8,biodiversity,1244.4041092990892,1083
gender,man,0,safety,1714.058754352305,989
gender,man,1,safety,1518.5807433077046,1188
gender,man,2,safety,2062.5794470006417,880
gender,man,3,safety,1102.582105657831,1193
gender,man,4,safety,1299.9717069775934,884
gender,man,5,safety,1603.3743541304004,1178
gender,man,6,safety,740.8179759915006,1134
gender,man,7,safety,1838.3288719809314,1191
gender,man,8,safety,542.3411993105366,1063
gender,woman,0,living,197.21876220772324,1325
gender,woman,1,living,1379.010340193754,1135
gender,woman,2,living,1857.5121886430939,1304
gender,woman,3,living,813.4977285807015,1061
gender,woman,4,living,1241.797940973845,1367
gender,woman,5,living,1887.4646890953975,1378
gender,woman,6,living,2046.796703250388,1214
gender,woman,7,living,1274.8007127348924,1063
gender,woman,8,living,1607.5430392496894,553
gender,woman,0,biodiversity,1280.1262089811048,803
gender,woman,1,biodiversity,1338.7173593562084,865
gender,woman,2,biodiversity,1137.749609630476,1026
gender,woman,3,biodiversity,1630.1334237783717,1000
gender,woman,4,biodiversity,1952.2544780302162,824
gender,woman,5,biodiversity,1926.0079011000278,866
gender,woman,6,biodiversity,1567.355293088877,908
gender,woman,7,biodiversity,374.00236594874315,480
gender,woman,8,biodiversity,1819.7272370902606,844
gender,woman,0,safety,524.7650520466084,750
gender,woman,1,safety,1904.801926140494,918
gender,woman,2,safety,1445.3958845837103,734
gender,woman,3,safety,873.9714415663763,868
gender,woman,4,safety,1082.3959124551577,564
gender,woman,5,safety,1613.8902795603126,903
gender,woman,6,safety,1979.4088316545526,882
gender,woman,7,safety,1769.0518280090753,1015
gender,woman,8,safety,1420.1378231483907,818
gender,other,0,living,1406.8373012207423,9
gender,other,1,living,1507.8541429087625,19
gender,other,2,living,1557.526587547383,17
gender,other,3,living,1490.0894351759991,9
gender,other,4,living,1438.2867028201017,7
gender,other,5,living,1544.0939504079392,20
gender,other,6,living,1422.3217695694714,12
gender,other,7,living,1530.7681957271786,25
gender,other,8,living,1571.8542020543139,6
gender,other,0,biodiversity,1511.9711670245608,7
gender,other,1,biodiversity,1451.8946706065758,14
gender,other,2,biodiversity,1549.0493958629652,14
gender,other,3,biodiversity,1559.9866619610136,9
gender,other,4,biodiversity,1440.0000176596852,7
gender,other,5,biodiversity,1535.7333428775053,17
gender,other,6,biodiversity,1488.039055402068,11
gender,other,7,biodiversity,1499.1404380252477,12
gender,other,8,biodiversity,1465.6867261866234,15
gender,other,0,safety,1547.9117564992473,14
gender,other,1,safety,1521.7081600974511,16
gender,other,2,safety,1487.2184487442994,11
gender,other,3,safety,1559.99999998034,5
gender,other,4,safety,1464.2375720347716,7
gender,other,5,safety,1480.343963439736,14
gender,other,6,safety,1500.005570473066,12
gender,other,7,safety,1526.3481080168594,16
gender,other,8,safety,1410.1483654195795,13
age,younger,0,living,1980.0369278305152,820
age,younger,1,living,1568.154129466024,756
age,younger,2,living,1771.7016136560842,878
age,younger,3,living,1465.8720476541198,742
age,younger,4,living,1855.9469410778952,880
age,younger,5,living,1671.0528472983021,935
age,younger,6,living,1314.3752617530404,912
age,younger,7,living,1398.4762127293657,758
age,younger,8,living,956.5244363956972,375
age,younger,0,biodiversity,1469.6223363815966,602
age,younger,1,biodiversity,1858.8717266116105,512
age,younger,2,biodiversity,1236.289859104807,740
age,younger,3,biodiversity,1211.4111662990058,732
age,younger,4,biodiversity,1632.9897170959885,579
age,younger,5,biodiversity,1917.1817571692122,623
age,younger,6,biodiversity,590.1794206373281,631
age,younger,7,biodiversity,1520.265986902929,411
age,younger,8,biodiversity,1308.330147765396,648
age,younger,0,safety,1609.1313444059367,533
age,younger,1,safety,1312.4478678104101,648
age,younger,2,safety,1742.1638492840748,491
age,younger,3,safety,1531.5608326777515,600
age,younger,4,safety,1360.6927417063089,495
age,younger,5,safety,935.0799067223318,656
age,younger,6,safety,1790.3694389222826,596
age,younger,7,safety,1888.7670793808154,679
age,younger,8,safety,1475.778607379486,550
age,middle,0,living,88.37157037648032,1342
age,middle,1,living,1780.1036945985593,1147
age,middle,2,living,1956.8320281545402,1379
age,middle,3,living,1635.390272953193,1125
age,middle,4,living,1876.7934027884323,1425
age,middle,5,living,1922.6962782665887,1398
age,middle,6,living,2059.512573488684,1207
age,middle,7,living,622.3858809611266,1132
age,middle,8,living,1293.9762106176822,509
age,middle,0,biodiversity,759.08728209415,915
age,middle,1,biodiversity,1567.6018507238418,956
age,middle,2,biodiversity,1814.6300658983214,1124
age,middle,3,biodiversity,1932.734192429572,1094
age,middle,4,biodiversity,1978.7857724191763,875
age,middle,5,biodiversity,1327.3979192709917,912
age,middle,6,biodiversity,1710.8454275615645,955
age,middle,7,biodiversity,388.1530437422963,546
age,middle,8,biodiversity,1493.1965249159691,885
age,middle,0,safety,1624.8355171040664,823
age,middle,1,safety,1925.0869646106648,982
age,middle,2,safety,1489.3813807482684,732
age,middle,3,safety,1205.4512469514405,931
age,middle,4,safety,710.4649831578143,603
age,middle,5,safety,921.5052769839367,958
age,middle,6,safety,1844.1004102403451,925
age,middle,7,safety,1978.7668947914622,982
age,middle,8,safety,1556.5618498650115,886
age,older,0,living,1376.9109296839883,649
age,older,1,living,1858.2889242778679,556
age,older,2,living,1823.183897208112,620
age,older,3,living,1507.5322305849788,574
age,older,4,living,1691.3326668548684,724
age,older,5,living,1599.1255181476477,707
age,older,6,living,1766.2420892713728,652
age,older,7,living,1714.9245426295317,642
age,older,8,living,1266.691770508202,314
age,older,0,biodiversity,1862.9319057822372,417
age,older,1,biodiversity,1777.1000990732937,417
age,older,2,biodiversity,931.8311868554655,565
age,older,3,biodiversity,1340.7561917563758,520
age,older,4,biodiversity,1620.6104426558154,434
age,older,5,biodiversity,1572.5431539661745,453
age,older,6,biodiversity,1515.896999317464,494
age,older,7,biodiversity,1115.106071057846,245
age,older,8,biodiversity,1436.9267384816058,405
age,older,0,safety,1053.1483156009815,392
age,older,1,safety,1758.1424791727793,482
age,older,2,safety,1563.5479946116445,396
age,older,3,safety,1477.0256145670726,529
age,older,4,safety,1707.1567497702893,359
age,older,5,safety,1850.388835165599,476
age,older,6,safety,1377.1310828722897,501
age,older,7,safety,1489.520549100556,554
age,older,8,safety,480.50157702603565,451
ethnicity,white,0,living,1200.5053625871922,2407
ethnicity,white,1,living,2131.387652230339,2149
ethnicity,white,2,living,1941.8389745837171,2503
ethnicity,white,3,living,1340.4182206367655,2151
ethnicity,white,4,living,2095.1162977756358,2642
ethnicity,white,5,living,2268.9331136179962,2634
ethnicity,white,6,living,2020.2383524886038,2416
ethnicity,white,7,living,1911.748925987379,2167
ethnicity,white,8,living,404.3380501976096,1015
ethnicity,white,0,biodiversity,1897.288145539739,1675
ethnicity,white,1,biodiversity,2026.1940401560464,1651
ethnicity,white,2,biodiversity,1708.5423631283552,2097
ethnicity,white,3,biodiversity,1564.537222117181,2043
ethnicity,white,4,biodiversity,2204.8164989892985,1624
ethnicity,white,5,biodiversity,2072.063520044142,1693
ethnicity,white,6,biodiversity,1001.019582315929,1830
ethnicity,white,7,biodiversity,-103.39939103922089,1003
ethnicity,white,8,biodiversity,1633.8165912621935,1670
ethnicity,white,0,safety,950.5926011486874,1468
ethnicity,white,1,safety,2065.3440571206083,1840
ethnicity,white,2,safety,2184.4580578258087,1406
ethnicity,white,3,safety,517.3414024178544,1775
ethnicity,white,4,safety,294.61880317369344,1219
ethnicity,white,5,safety,1499.7164774254009,1781
ethnicity,white,6,safety,2039.0663715545707,1768
ethnicity,white,7,safety,1859.5107968397276,1928
ethnicity,white,8,safety,265.72409365184853,1605
ethnicity,other,0,living,1503.1185081945118,288
ethnicity,other,1,living,1646.53801558992,216
ethnicity,other,2,living,1729.4803339637292,284
ethnicity,other,3,living,1388.4065715274558,202
ethnicity,other,4,living,1708.851094965102,269
ethnicity,other,5,living,1526.7091776830707,290
ethnicity,other,6,living,1684.0884927075745,260
ethnicity,other,7,living,1245.3066059737068,255
ethnicity,other,8,living,1342.7859672903323,132
ethnicity,other,0,biodiversity,1467.8166351129878,185
ethnicity,other,1,biodiversity,1688.5875098556457,152
ethnicity,other,2,biodiversity,1636.1680081095121,237
ethnicity,other,3,biodiversity,1444.2579658305362,208
ethnicity,other,4,biodiversity,1577.8639896135476,195
ethnicity,other,5,biodiversity,1388.4320562197536,206
ethnicity,other,6,biodiversity,1405.6589534136983,180
ethnicity,other,7,biodiversity,1594.6327622561128,154
ethnicity,other,8,biodiversity,1666.2506922055263,203
ethnicity,other,0,safety,1657.4975477882717,211
ethnicity,other,1,safety,1294.2146046137455,193
ethnicity,other,2,safety,1495.477603541133,147
ethnicity,other,3,safety,1609.7493382470423,218
ethnicity,other,4,safety,1624.9651463571163,174
ethnicity,other,5,safety,1419.0880840588643,227
ethnicity,other,6,safety,1687.8545487761548,179
ethnicity,other,7,safety,1535.4351582570598,211
ethnicity,other,8,safety,1525.4172773451035,204
education,sixteen,0,living,1184.9159512957115,195
education,sixteen,1,living,1586.404537098019,186
education,sixteen,2,living,1604.10777901785,185
education,sixteen,3,living,1549.1006035424205,190
education,sixteen,4,living,1711.131599482306,178
education,sixteen,5,living,1522.6458739435875,223
education,sixteen,6,living,1683.5198453724072,175
education,sixteen,7,living,1306.8144309815575,175
education,sixteen,8,living,1413.482714501035,113
education,sixteen,0,biodiversity,1560.872036505648,130
education,sixteen,1,biodiversity,1631.2891178029859,122
education,sixteen,2,biodiversity,1615.5932647265267,162
education,sixteen,3,biodiversity,1545.2483036845229,163
education,sixteen,4,biodiversity,1487.1120793085922,154
education,sixteen,5,biodiversity,1350.787000056195,131
education,sixteen,6,biodiversity,1697.9166394412093,106
education,sixteen,7,biodiversity,1399.2677466347122,91
education,sixteen,8,biodiversity,1153.0961459114658,135
education,sixteen,0,safety,1398.6594894486147,108
education,sixteen,1,safety,1403.195830033534,153
education,sixteen,2,safety,1420.3955472619382,132
education,sixteen,3,safety,1580.9798611299548,155
education,sixteen,4,safety,1506.609553238578,130
education,sixteen,5,safety,1614.1798693059163,110
education,sixteen,6,safety,1573.4365626622825,169
education,sixteen,7,safety,1718.4815571582726,145
education,sixteen,8,safety,1490.7118476520677,156
education,eighteen,0,living,1086.125018622335,486
education,eighteen,1,living,1408.1998153464554,424
education,eighteen,2,living,1587.285690103764,527
education,eighteen,3,living,890.931785924583,384
education,eighteen,4,living,1725.954054389818,526
education,eighteen,5,living,1847.2182825263635,542
education,eighteen,6,living,1671.228730443742,487
education,eighteen,7,living,1802.8260946856553,476
education,eighteen,8,living,1374.3256802444646,226
education,eighteen,0,biodiversity,1325.2917462707114,343
education,eighteen,1,biodiversity,1601.630963856032,407
education,eighteen,2,biodiversity,1708.2305669503385,415
education,eighteen,3,biodiversity,1640.7666181657282,451
education,eighteen,4,biodiversity,1783.856009961339,318
education,eighteen,5,biodiversity,1454.2610748619882,348
education,eighteen,6,biodiversity,1528.1999497838228,450
education,eighteen,7,biodiversity,1491.7377408125085,256
education,eighteen,8,biodiversity,1726.8774609882348,362
education,eighteen,0,safety,1272.3962700974394,341
education,eighteen,1,safety,1838.2514603046895,385
education,eighteen,2,safety,1682.4879146944936,337
education,eighteen,3,safety,1202.9265513123958,391
education,eighteen,4,safety,1205.3009691061884,262
education,eighteen,5,safety,1509.9146041511012,367
education,eighteen,6,safety,1600.845609360835,382
education,eighteen,7,safety,1748.7483390680127,387
education,eighteen,8,safety,1371.687678843155,362
education,older,0,living,1990.3807283149538,2117
education,older,1,living,2033.7769888520481,1825
education,older,2,living,2296.5184689548732,2151
education,older,3,living,1739.819181956227,1838
education,older,4,living,2115.790630345696,2304
education,older,5,living,2219.323226920495,2248
education,older,6,living,1926.0597010068425,2089
education,older,7,living,749.605054920727,1845
education,older,8,living,601.4500949134543,841
education,older,0,biodiversity,1848.7620093985263,1428
education,older,1,biodiversity,1972.3759516507862,1332
education,older,2,biodiversity,1348.6938189127561,1817
education,older,3,biodiversity,1665.694576178885,1715
education,older,4,biodiversity,2038.061873046816,1406
education,older,5,biodiversity,2139.4217505187357,1492
education,older,6,biodiversity,760.2376336876468,1490
education,older,7,biodiversity,583.1341464569573,842
education,older,8,biodiversity,1573.944316203494,1416
education,older,0,safety,1693.7077070107496,1292
education,older,1,safety,2010.4739077904617,1561
education,older,2,safety,2036.9339804975345,1140
education,older,3,safety,1586.9235046926428,1491
education,older,4,safety,1005.9451490408069,1038
education,older,5,safety,1739.0741019461777,1591
education,older,6,safety,2079.91548014684,1456
education,older,7,safety,1820.45870400942,1665
education,older,8,safety,500.89703565212466,1350
income,lower,0,living,1248.2280606099305,520
income,lower,1,living,1551.4587825370922,408
income,lower,2,living,1738.8555343453202,496
income,lower,3,living,1641.4524460093173,441
income,lower,4,living,1852.007703441743,503
