demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,803.5143331980715,1790
global,global,1,living,688.4775694842045,2610
global,global,2,living,2312.912801135736,1224
global,global,3,living,2186.957837456708,2508
global,global,4,living,1572.0908502499572,3021
global,global,5,living,1522.9546778023155,2212
global,global,6,living,1778.0070573260125,2462
global,global,7,living,1382.133400322093,2148
global,global,8,living,1937.336286677384,2577
global,global,0,biodiversity,2220.0920892151426,2352
global,global,1,biodiversity,2164.1681837384567,2241
global,global,2,biodiversity,2362.332103488407,3422
global,global,3,biodiversity,832.5996848419181,2203
global,global,4,biodiversity,191.26845215798548,1167
global,global,5,biodiversity,1961.0576666566133,2801
global,global,6,biodiversity,2077.969998837322,2182
global,global,7,biodiversity,1996.1072840786742,2910
global,global,8,biodiversity,132.92500316854264,2386
global,global,0,safety,1980.1785168731676,1619
global,global,1,safety,2256.739316634992,1809
global,global,2,safety,1863.5366532014484,2409
global,global,3,safety,1194.481414538784,2577
global,global,4,safety,593.7516449787742,1864
global,global,5,safety,1323.0132828860715,2939
global,global,6,safety,1359.3879868545089,2539
global,global,7,safety,1449.8707476018735,2483
global,global,8,safety,1395.1918290615943,2845
gender,man,0,living,1590.7986740943834,986
gender,man,1,living,1300.5962612842666,1313
gender,man,2,living,2052.826656816182,652
gender,man,3,living,969.4821781194531,1304
gender,man,4,living,1775.4060695127143,1470
gender,man,5,living,1915.7149491807054,1138
gender,man,6,living,1698.012637818951,1268
gender,man,7,living,1810.7696280171574,1123
gender,man,8,living,1388.5019522599455,1304
gender,man,0,biodiversity,2090.294192687522,1131
gender,man,1,biodiversity,970.7440437032499,1170
gender,man,2,biodiversity,1865.9978146946405,1764
gender,man,3,biodiversity,1412.0742385021845,1152
gender,man,4,biodiversity,1197.825910745916,629
gender,man,5,biodiversity,1298.1133261274697,1433
gender,man,6,biodiversity,1347.5071358453633,1137
gender,man,7,biodiversity,1983.9470472930595,1466
gender,man,8,biodiversity,-12.57654026763258,1220
gender,man,0,safety,2034.9634870022824,797
gender,man,1,safety,1561.2929953230243,987
gender,man,2,safety,1932.031467311426,1206
gender,man,3,safety,1723.6026852332652,1285
gender,man,4,safety,1846.4168689054711,1026
gender,man,5,safety,1798.8143604237237,1500
gender,man,6,safety,1084.3219141541533,1226
gender,man,7,safety,1602.415111781858,1278
gender,man,8,safety,519.7135348423637,1459
gender,woman,0,living,956.7516617762818,712
gender,woman,1,living,1086.5736147289965,1106
gender,woman,2,living,1933.2886804690538,505
gender,woman,3,living,1950.5462694206276,1013
gender,woman,4,living,1243.7145513739388,1198
gender,woman,5,living,1654.2583138988696,849
gender,woman,6,living,1609.3612141867027,904
gender,woman,7,living,1467.0713713793061,861
gender,woman,8,living,1359.4235908863823,1070
gender,woman,0,biodiversity,1772.576448849415,1004
gender,woman,1,biodiversity,1978.9334828087847,874
gender,woman,2,biodiversity,1664.2659585688239,1369
gender,woman,3,biodiversity,784.1682707453657,876
gender,woman,4,biodiversity,421.0810532812282,487
gender,woman,5,biodiversity,1923.182841398481,1148
gender,woman,6,biodiversity,1630.1057064472652,844
gender,woman,7,biodiversity,122.90582005165703,1167
gender,woman,8,biodiversity,1316.8366059776145,907
gender,woman,0,safety,1603.851327834029,667
gender,woman,1,safety,1786.142430280987,691
gender,woman,2,safety,1815.587721767187,974
gender,woman,3,safety,1385.3647528363495,1098
gender,woman,4,safety,167.14760619132232,745
gender,woman,5,safety,956.1947710180855,1239
gender,woman,6,safety,1422.7004951370914,1046
gender,woman,7,safety,1079.9864711741138,1016
gender,woman,8,safety,2004.8152156903896,1098
gender,other,0,living,1439.999452770429,5
gender,other,1,living,1489.324853812752,9
gender,other,2,living,1476.0463224857515,10
gender,other,3,living,1537.6385793504828,15
gender,other,4,living,1511.6000088421538,9
gender,other,5,living,1546.352590404082,12
gender,other,6,living,1498.9353299637078,14
gender,other,7,living,1452.9446133000995,12
gender,other,8,living,1549.2243134573598,6
gender,other,0,biodiversity,1569.1453541348085,12
gender,other,1,biodiversity,1412.653741324474,11
gender,other,2,biodiversity,1475.9007057225265,12
gender,other,3,biodiversity,1488.039118721157,11
gender,other,4,biodiversity,1499.933109322054,16
gender,other,5,biodiversity,1558.7154251925267,17
gender,other,6,biodiversity,1435.012415409787,15
gender,other,7,biodiversity,1533.8252207850107,15
gender,other,8,biodiversity,1515.063677540136,11
gender,other,0,safety,1462.8540544879936,21
gender,other,1,safety,1514.632960533417,13
gender,other,2,safety,1451.1411340309833,20
gender,other,3,safety,1523.9031582504006,14
gender,other,4,safety,1547.9288752435436,8
gender,other,5,safety,1489.2865069593158,15
gender,other,6,safety,1426.033428543853,10
gender,other,7,safety,1503.575221621572,12
gender,other,8,safety,1577.8500589802122,13
age,younger,0,living,433.78826572503294,497
age,younger,1,living,1871.7628433172545,720
age,younger,2,living,1815.3036498599488,372
age,younger,3,living,1706.034197198371,743
age,younger,4,living,1373.0452588736507,782
age,younger,5,living,1781.675836091191,633
age,younger,6,living,1113.7041389739227,669
age,younger,7,living,1573.7874665538168,646
age,younger,8,living,1634.398630070078,712
age,younger,0,biodiversity,1773.0413276307013,710
age,younger,1,biodiversity,1718.944203317734,638
