demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2238.1051417141957,1910
global,global,1,living,1487.1930112404875,2028
global,global,2,living,1833.309721441026,2318
global,global,3,living,2055.404162671472,2407
global,global,4,living,504.60059880310183,2266
global,global,5,living,1135.1346794924184,2470
global,global,6,living,1595.4626720687895,2572
global,global,7,living,2109.18446933309,2468
global,global,8,living,1397.017702261426,2533
global,global,0,biodiversity,1819.1452960543884,3022
global,global,1,biodiversity,639.2315213821263,2223
global,global,2,biodiversity,2055.4695035380564,2476
global,global,3,biodiversity,1979.378348172558,2573
global,global,4,biodiversity,2252.106426252917,1967
global,global,5,biodiversity,2270.27806238166,2602
global,global,6,biodiversity,1389.9308644456676,2692
global,global,7,biodiversity,1682.7134633413639,2722
global,global,8,biodiversity,227.39410882921499,2465
global,global,0,safety,1298.2524679090066,1660
global,global,1,safety,294.3896249992778,1824
global,global,2,safety,1384.9793605496875,2426
global,global,3,safety,1853.7699999805695,1915
global,global,4,safety,2272.237116776965,1828
global,global,5,safety,1167.1911543388821,2523
global,global,6,safety,1526.7782122930691,2344
global,global,7,safety,1976.5526083524662,2577
global,global,8,safety,2096.1346484565756,2489
gender,man,0,living,1769.8588214498952,1024
gender,man,1,living,301.566240520528,1042
gender,man,2,living,1911.6527905921669,1109
gender,man,3,living,2081.488374537707,1193
gender,man,4,living,1308.511272430158,1276
gender,man,5,living,1227.057050131112,1320
gender,man,6,living,1856.0170037782516,1336
gender,man,7,living,1815.570130093598,1263
gender,man,8,living,1477.104176030489,1301
gender,man,0,biodiversity,1541.6684897378718,1523
gender,man,1,biodiversity,1513.4933570414494,1274
gender,man,2,biodiversity,2051.052412951898,1255
gender,man,3,biodiversity,1576.5361729714111,1256
gender,man,4,biodiversity,1895.6274561576124,995
gender,man,5,biodiversity,2007.405144315561,1213
gender,man,6,biodiversity,1592.5016126288751,1397
gender,man,7,biodiversity,1910.3649409016216,1423
gender,man,8,biodiversity,1182.4739213283083,1288
gender,man,0,safety,1732.897025600358,875
gender,man,1,safety,806.3736861715834,895
gender,man,2,safety,1814.918681727741,1199
gender,man,3,safety,1965.2234078214385,976
gender,man,4,safety,1899.203554049135,993
gender,man,5,safety,1626.0485000120807,1256
gender,man,6,safety,1554.4711487891539,1202
gender,man,7,safety,627.4463046492102,1244
gender,man,8,safety,2032.5655710094543,1296
gender,woman,0,living,1977.557658550565,691
gender,woman,1,living,1837.8865524233859,851
gender,woman,2,living,1255.489215598495,987
gender,woman,3,living,1291.232076605606,1062
gender,woman,4,living,669.358347889554,876
gender,woman,5,living,1556.865686462956,961
gender,woman,6,living,1768.4770021490876,1025
gender,woman,7,living,1676.1873787417246,1067
gender,woman,8,living,1247.3995514638113,1068
gender,woman,0,biodiversity,2038.2522590646365,1146
gender,woman,1,biodiversity,1106.691670486232,790
gender,woman,2,biodiversity,1394.6765816121083,975
gender,woman,3,biodiversity,1843.765510389866,1061
gender,woman,4,biodiversity,1827.4510986013158,777
gender,woman,5,biodiversity,1665.4829267391071,1057
gender,woman,6,biodiversity,930.8229746909228,1085
gender,woman,7,biodiversity,1643.798295518872,1122
gender,woman,8,biodiversity,1586.0242864459522,1029
gender,woman,0,safety,711.0754572783062,693
gender,woman,1,safety,1267.5240103913536,783
gender,woman,2,safety,1445.14714497475,974
gender,woman,3,safety,1056.635029371535,778
gender,woman,4,safety,2033.722040028336,667
gender,woman,5,safety,1541.8045819417177,1015
gender,woman,6,safety,966.7795816391291,967
gender,woman,7,safety,1702.2947853118728,1028
gender,woman,8,safety,1866.0013241668112,933
gender,other,0,living,1465.2619914661207,19
gender,other,1,living,1570.66791856155,12
gender,other,2,living,1523.9316726492495,8
gender,other,3,living,1440.9102434476385,9
gender,other,4,living,1464.0465548697134,9
gender,other,5,living,1487.3807644651588,13
gender,other,6,living,1520.3930461671684,18
gender,other,7,living,1478.3089439412372,10
gender,other,8,living,1548.0452063090374,6
gender,other,0,biodiversity,1441.092045557617,17
gender,other,1,biodiversity,1501.8962114823848,16
gender,other,2,biodiversity,1464.1673566473562,11
gender,other,3,biodiversity,1484.8843610212093,17
gender,other,4,biodiversity,1548.0741737951873,10
gender,other,5,biodiversity,1516.5264708925495,15
gender,other,6,biodiversity,1513.1783170594904,13
gender,other,7,biodiversity,1582.5824593914708,17
gender,other,8,biodiversity,1449.3602192808357,10
gender,other,0,safety,1490.145891877067,13
gender,other,1,safety,1559.8523554635442,7
gender,other,2,safety,1512.3941070813942,11
gender,other,3,safety,1476.056266972404,14
gender,other,4,safety,1500.4929523570074,10
gender,other,5,safety,1423.582285244428,12
gender,other,6,safety,1533.2178711935096,15
gender,other,7,safety,1456.2471347812782,14
gender,other,8,safety,1547.8622168665374,12
age,younger,0,living,1466.6344517283178,587
age,younger,1,living,1308.710256583145,625
age,younger,2,living,1663.266081691053,586
age,younger,3,living,1871.753488198877,716
age,younger,4,living,957.4839304024966,673
age,younger,5,living,1765.768714327379,641
age,younger,6,living,1794.4116254460876,781
age,younger,7,living,1827.0251342512304,713
age,younger,8,living,1255.867588151049,700
age,younger,0,biodiversity,1779.1780210909178,871
age,younger,1,biodiversity,1893.7564399698113,695
age,younger,2,biodiversity,1760.2248501976337,670
age,younger,3,biodiversity,1018.5212381421214,710
age,younger,4,biodiversity,1828.2097469896837,516
age,younger,5,biodiversity,1724.0445601117312,686
age,younger,6,biodiversity,1686.8743450528982,802
age,younger,7,biodiversity,1387.071961023898,790
age,younger,8,biodiversity,600.3695478720505,654
age,younger,0,safety,1702.5995004944368,491
age,younger,1,safety,656.7723140173223,510
age,younger,2,safety,1660.0390207628639,642
age,younger,3,safety,1474.235871151399,505
age,younger,4,safety,1820.9995704716312,545
age,younger,5,safety,1366.4187930760509,656
age,younger,6,safety,903.9775273616073,631
age,younger,7,safety,1311.2383356128603,725
age,younger,8,safety,1927.4868977481988,661
age,middle,0,living,2024.0694018640654,719
age,middle,1,living,1712.9047674706012,884
age,middle,2,living,1793.537023787076,1030
age,middle,3,living,1602.7169006858314,979
age,middle,4,living,1375.4305596642196,971
age,middle,5,living,772.3684722720311,1126
age,middle,6,living,1316.2178019952753,1080
age,middle,7,living,1075.3819888715195,1097
age,middle,8,living,1696.5454309005684,1096
age,middle,0,biodiversity,1876.543283721671,1188
age,middle,1,biodiversity,1156.2612486929372,885
age,middle,2,biodiversity,1785.0784941625423,1065
age,middle,3,biodiversity,1815.7523317125524,1058
age,middle,4,biodiversity,1378.3123723813803,875
age,middle,5,biodiversity,1965.8562384816394,1096
age,middle,6,biodiversity,1266.1989717470515,1091
age,middle,7,biodiversity,2032.1682165267757,1165
age,middle,8,biodiversity,1520.102420099837,1113
age,middle,0,safety,111.05392313713847,701
age,middle,1,safety,1413.6072134500216,813
age,middle,2,safety,1268.898115997817,980
age,middle,3,safety,1218.5441235046057,838
age,middle,4,safety,1695.5005106653555,718
age,middle,5,safety,1957.7825387560533,1072
age,middle,6,safety,1864.080654982979,1050
age,middle,7,safety,1817.3793766905005,1010
age,middle,8,safety,1732.4940771080596,1048
age,older,0,living,1457.5809523179548,422
age,older,1,living,1380.1757101709863,393
age,older,2,living,976.4659251242743,479
age,older,3,living,1584.3309423182855,555
age,older,4,living,1675.0844426266315,518
age,older,5,living,1627.2991202921728,523
age,older,6,living,1826.3848474762297,511
age,older,7,living,1737.7430024939024,524
age,older,8,living,1799.995712638289,577
age,older,0,biodiversity,1031.506516046228,618
age,older,1,biodiversity,1276.1991517502631,488
age,older,2,biodiversity,1694.6433411293424,502
