demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1410.0498912171065,2205
global,global,1,living,1857.5056627750005,2297
global,global,2,living,322.44970819031454,2040
global,global,3,living,1086.0040736667477,2212
global,global,4,living,1153.7153415459566,2470
global,global,5,living,1753.2881100799584,3012
global,global,6,living,2254.5205265209065,2880
global,global,7,living,2116.8915509101257,1880
global,global,8,living,2200.621300661794,2428
global,global,0,biodiversity,1287.6570371323292,1762
global,global,1,biodiversity,1683.8691942051187,1984
global,global,2,biodiversity,315.0996584581229,1675
global,global,3,biodiversity,1049.9720619273817,2477
global,global,4,biodiversity,1995.0700305202554,1665
global,global,5,biodiversity,1263.8563976844825,1895
global,global,6,biodiversity,2185.2043631847855,1556
global,global,7,biodiversity,1411.7644943747953,2278
global,global,8,biodiversity,640.9496410283161,2096
global,global,0,safety,1969.48771241449,2199
global,global,1,safety,322.94434488097073,2550
global,global,2,safety,2146.367233207641,3189
global,global,3,safety,2081.0670976164847,2689
global,global,4,safety,1064.369560745978,2802
global,global,5,safety,1649.6946300138204,2878
global,global,6,safety,2326.9455504505227,2753
global,global,7,safety,349.2772123335099,2252
global,global,8,safety,1887.8680608048865,3176
gender,man,0,living,1677.4811767300466,1139
gender,man,1,living,2003.3957563484407,1113
gender,man,2,living,1572.1193299391016,1122
gender,man,3,living,684.5051258149759,1128
gender,man,4,living,1283.0713353491208,1257
gender,man,5,living,1534.129605180022,1606
gender,man,6,living,857.5157488216677,1404
gender,man,7,living,1789.4573445860337,969
gender,man,8,living,1967.63961560419,1256
gender,man,0,biodiversity,1718.5443524909283,868
gender,man,1,biodiversity,1570.8573711337392,1049
gender,man,2,biodiversity,598.2043577634613,816
gender,man,3,biodiversity,1489.5827011835217,1322
gender,man,4,biodiversity,1895.938813511966,844
gender,man,5,biodiversity,1576.1342613398162,948
gender,man,6,biodiversity,2011.8084143330168,776
gender,man,7,biodiversity,1372.6515258434033,1153
gender,man,8,biodiversity,465.99145318343835,1112
gender,man,0,safety,1748.7515256198321,1146
gender,man,1,safety,442.18415200615686,1360
gender,man,2,safety,1147.682932006747,1541
gender,man,3,safety,2061.9573530061443,1372
gender,man,4,safety,1861.454412728866,1527
gender,man,5,safety,1959.7913279955364,1491
gender,man,6,safety,1131.97156096659,1399
gender,man,7,safety,1678.6285756189177,1152
gender,man,8,safety,128.91756469648183,1554
gender,woman,0,living,843.2487662398136,880
gender,woman,1,living,1225.4999976079484,935
gender,woman,2,living,456.8754566716431,783
gender,woman,3,living,1811.4134363523713,905
gender,woman,4,living,1284.9374846583482,1017
gender,woman,5,living,1517.4086797990988,1158
gender,woman,6,living,1940.9626117748296,1167
gender,woman,7,living,1780.4081440235684,765
gender,woman,8,living,1904.571404697382,968
gender,woman,0,biodiversity,1414.9355080883297,714
gender,woman,1,biodiversity,1902.263139203291,793
gender,woman,2,biodiversity,1277.0602376977222,751
gender,woman,3,biodiversity,472.72195350030177,952
gender,woman,4,biodiversity,1820.3609465741513,730
gender,woman,5,biodiversity,1529.846037804886,709
gender,woman,6,biodiversity,1887.9901750056747,630
gender,woman,7,biodiversity,1155.806100562847,895
gender,woman,8,biodiversity,1709.5659354761917,862
gender,woman,0,safety,1594.8905138592288,848
gender,woman,1,safety,1069.1450097504378,1009
gender,woman,2,safety,2064.383802458256,1295
gender,woman,3,safety,1427.6234246857994,1054
gender,woman,4,safety,536.3697350645887,1176
gender,woman,5,safety,1205.2970527414534,1136
gender,woman,6,safety,1758.410075222367,1037
gender,woman,7,safety,811.4509861337302,987
gender,woman,8,safety,1947.3721880609864,1312
gender,other,0,living,1522.8426308025973,16
gender,other,1,living,1395.1774066616042,10
gender,other,2,living,1452.079285411301,10
gender,other,3,living,1501.983533204751,16
gender,other,4,living,1576.96018650771,15
gender,other,5,living,1549.3339935392803,12
gender,other,6,living,1523.8764138819695,12
gender,other,7,living,1476.3250864393117,18
gender,other,8,living,1488.0180422401954,15
gender,other,0,biodiversity,1527.8489637540283,16
gender,other,1,biodiversity,1499.964545338045,8
gender,other,2,biodiversity,1565.7096153998423,6
gender,other,3,biodiversity,1487.1002638043917,9
gender,other,4,biodiversity,1549.2109917491437,10
gender,other,5,biodiversity,1449.1859593617135,10
gender,other,6,biodiversity,1513.0531603775128,13
gender,other,7,biodiversity,1462.9322207469493,15
gender,other,8,biodiversity,1439.1024708993143,7
gender,other,0,safety,1512.4223900459447,13
gender,other,1,safety,1558.0045679229322,15
gender,other,2,safety,1476.1706390395734,18
gender,other,3,safety,1465.2278195236604,19
gender,other,4,safety,1453.5724046480334,8
gender,other,5,safety,1501.1212525054812,18
gender,other,6,safety,1559.9315760877573,9
gender,other,7,safety,1437.8771600620337,9
gender,other,8,safety,1537.8056807999053,11
age,younger,0,living,1609.1748629563465,612
age,younger,1,living,1316.795493267296,645
age,younger,2,living,1256.9714510735646,527
age,younger,3,living,1496.4533268837083,700
age,younger,4,living,1642.150674335347,712
age,younger,5,living,1738.9743857032618,944
age,younger,6,living,1536.5267820201832,772
age,younger,7,living,1875.8564857111915,495
age,younger,8,living,1823.0367398943786,727
age,younger,0,biodiversity,1415.1515716540837,436
age,younger,1,biodiversity,1584.0288223437753,531
age,younger,2,biodiversity,1187.7200773205861,492
age,younger,3,biodiversity,1311.8137144882419,692
age,younger,4,biodiversity,1868.8850350482567,466
age,younger,5,biodiversity,1519.1236405945517,536
age,younger,6,biodiversity,1826.9258539899577,406
age,younger,7,biodiversity,1136.8610526003404,629
age,younger,8,biodiversity,1654.9682845029286,608
age,younger,0,safety,1753.9241682697138,627
age,younger,1,safety,546.8407912613452,689
age,younger,2,safety,1647.9155916572142,900
age,younger,3,safety,1578.0453585215637,746
age,younger,4,safety,1720.132354873512,837
age,younger,5,safety,2020.8099945185202,873
age,younger,6,safety,876.7761841815368,725
age,younger,7,safety,913.910189752452,594
age,younger,8,safety,1590.0944799751135,861
age,middle,0,living,1490.4976860774225,936
age,middle,1,living,1757.0297245974384,933
age,middle,2,living,1288.5985920462497,906
age,middle,3,living,1067.8466762633175,878
age,middle,4,living,1114.382672979108,1050
age,middle,5,living,1993.704046150033,1234
age,middle,6,living,1625.7811455301232,1255
age,middle,7,living,1960.162839598522,780
age,middle,8,living,1915.8369104275312,1044
age,middle,0,biodiversity,1283.9656990382264,748
age,middle,1,biodiversity,1738.1783983841267,847
age,middle,2,biodiversity,1108.3206628227508,716
age,middle,3,biodiversity,664.2908392650472,1064
age,middle,4,biodiversity,1767.6985740390003,679
age,middle,5,biodiversity,1693.1291642715137,773
age,middle,6,biodiversity,1978.6178527877162,656
age,middle,7,biodiversity,1507.1663463540121,945
age,middle,8,biodiversity,1215.0847165513646,910
age,middle,0,safety,2013.0013808870447,857
age,middle,1,safety,1682.0212713602168,1102
age,middle,2,safety,1566.1935361769936,1324
age,middle,3,safety,1703.4879212975025,1148
age,middle,4,safety,676.1651127538454,1246
age,middle,5,safety,875.7384100622271,1219
age,middle,6,safety,1949.8708522647557,1125
age,middle,7,safety,992.9907258935989,1003
age,middle,8,safety,1860.4220378931398,1370
age,older,0,living,1690.5128312638399,474
age,older,1,living,1843.0379185908757,473
age,older,2,living,1321.9997195595486,481
age,older,3,living,1475.7125494569816,468
age,older,4,living,1355.335812597163,524
age,older,5,living,1575.7100500859412,588
age,older,6,living,1792.2671416183591,543
age,older,7,living,1302.824407926204,467
age,older,8,living,1749.3857147537726,464
age,older,0,biodiversity,1725.4611132999698,410
age,older,1,biodiversity,1788.3811113784755,469
age,older,2,biodiversity,1531.3256948713345,361
age,older,3,biodiversity,1765.5100935474109,528
age,older,4,biodiversity,1617.4149947032975,425
age,older,5,biodiversity,1382.099077658108,353
age,older,6,biodiversity,1677.9489475088778,355
age,older,7,biodiversity,1448.5426492870324,483
age,older,8,biodiversity,1508.5894204487154,468
age,older,0,safety,1464.7133016945027,519
age,older,1,safety,1445.8404930259237,580
age,older,2,safety,1562.048926627936,614
age,older,3,safety,1925.8493710702094,543
age,older,4,safety,1791.5360401625164,619
age,older,5,safety,727.6270671129244,547
age,older,6,safety,1665.8446192779509,587
age,older,7,safety,1721.3302911332055,551
age,older,8,safety,1269.7371236145655,634
ethnicity,white,0,living,1399.8633623567694,1732
ethnicity,white,1,living,1758.5215379609315,1748
ethnicity,white,2,living,-165.0843155494256,1650
ethnicity,white,3,living,845.0849684669369,1720
ethnicity,white,4,living,1061.9087614919822,1975
ethnicity,white,5,living,1092.07141469808,2410
