demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,494.1691737257435,1101
global,global,1,living,913.8019718545519,2819
global,global,2,living,1927.9260008156068,2498
global,global,3,living,1691.9377308810213,2395
global,global,4,living,465.40454773685053,2234
global,global,5,living,1577.6715867552846,2342
global,global,6,living,2276.350512487699,2114
global,global,7,living,2151.035823778752,1414
global,global,8,living,313.56348389593677,2419
global,global,0,biodiversity,776.6693954819199,2080
global,global,1,biodiversity,2058.859305955904,2520
global,global,2,biodiversity,-391.843752028007,2192
global,global,3,biodiversity,1602.4375409427814,2515
global,global,4,biodiversity,2313.608794108936,2878
global,global,5,biodiversity,1772.1809084711374,3051
global,global,6,biodiversity,886.7321843667055,2991
global,global,7,biodiversity,2371.5637491297803,2851
global,global,8,biodiversity,2172.0985517538256,3290
global,global,0,safety,1842.9187879345222,2211
global,global,1,safety,-202.20801283264754,1436
global,global,2,safety,1402.2174807620913,2483
global,global,3,safety,1288.3752946465333,2472
global,global,4,safety,1203.395214748877,1972
global,global,5,safety,2305.164376224919,1911
global,global,6,safety,2207.1144306050574,2323
global,global,7,safety,79.02525835535525,2180
global,global,8,safety,1753.2230648202913,2608
gender,man,0,living,797.266801006215,561
gender,man,1,living,1627.7791189732268,1478
gender,man,2,living,1290.5645077809795,1285
gender,man,3,living,1906.3204785894145,1219
gender,man,4,living,1700.7807177677423,1143
gender,man,5,living,1429.1119260139076,1237
gender,man,6,living,2043.1071611276145,1019
gender,man,7,living,1816.698219121787,749
gender,man,8,living,761.1559766153005,1239
gender,man,0,biodiversity,1017.0547906310401,1096
gender,man,1,biodiversity,1295.655914467407,1230
gender,man,2,biodiversity,1471.4025357323671,1231
gender,man,3,biodiversity,1851.73183066201,1278
gender,man,4,biodiversity,2097.152094053241,1423
gender,man,5,biodiversity,446.84317807373736,1476
gender,man,6,biodiversity,1685.338636245508,1611
gender,man,7,biodiversity,1796.021539879078,1451
gender,man,8,biodiversity,1715.8124538910963,1626
gender,man,0,safety,1425.990556415221,1100
gender,man,1,safety,1096.1810527649857,822
gender,man,2,safety,1318.1127816657022,1273
