demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2055.1642120659544,2710
global,global,1,living,1853.5340577907446,2094
global,global,2,living,-147.77227466822617,1471
global,global,3,living,2230.6584482415265,2033
global,global,4,living,294.0338612797486,2201
global,global,5,living,1893.0493586663933,2105
global,global,6,living,1981.5339497676557,2349
global,global,7,living,2285.9085645676573,2315
global,global,8,living,-122.74971569835303,2020
global,global,0,biodiversity,1204.4877229462827,1600
global,global,1,biodiversity,1349.6435423330827,2443
global,global,2,biodiversity,2164.835312646235,2350
global,global,3,biodiversity,857.275798833725,2327
global,global,4,biodiversity,914.8267720940845,1963
global,global,5,biodiversity,208.4857326963318,2185
global,global,6,biodiversity,2278.328708936908,1749
global,global,7,biodiversity,1751.794855589915,1760
global,global,8,biodiversity,1973.912199630359,2467
global,global,0,safety,1956.5519266113483,3275
global,global,1,safety,1562.0865383691155,3060
global,global,2,safety,2288.2849122260086,1511
global,global,3,safety,2018.0378538376044,3156
global,global,4,safety,991.7405876993349,2068
global,global,5,safety,1847.5772576005088,3040
global,global,6,safety,1880.0985664863729,2988
global,global,7,safety,1536.1967589388928,3308
global,global,8,safety,1798.6618528020447,2752
gender,man,0,living,1385.809399061917,1407
gender,man,1,living,1504.1839576185719,1033
gender,man,2,living,1068.605346275529,720
gender,man,3,living,1839.8459594794883,982
gender,man,4,living,1023.4146576480221,1134
gender,man,5,living,1405.669260117816,1107
gender,man,6,living,2003.4629731288658,1263
gender,man,7,living,2057.0071715147787,1208
gender,man,8,living,1037.9091832818983,1094
gender,man,0,biodiversity,1439.6812983987695,819
gender,man,1,biodiversity,1834.7966047225525,1320
gender,man,2,biodiversity,1910.7900451295532,1221
gender,man,3,biodiversity,863.4567158986638,1243
gender,man,4,biodiversity,1523.537996496992,1042
gender,man,5,biodiversity,1140.379507488685,1119
gender,man,6,biodiversity,1999.8706518214117,862
gender,man,7,biodiversity,1576.7649914996623,905
gender,man,8,biodiversity,1239.6939025379156,1327
gender,man,0,safety,1476.7553229152206,1627
gender,man,1,safety,1826.5751361441307,1542
gender,man,2,safety,2013.33094575382,851
gender,man,3,safety,1754.1416890578955,1607
gender,man,4,safety,1520.9012750670756,1051
gender,man,5,safety,2096.767173249196,1525
gender,man,6,safety,747.3460284565284,1430
gender,man,7,safety,1556.2612223200965,1600
gender,man,8,safety,1037.9110062875538,1385
gender,woman,0,living,1969.7323753106373,1027
gender,woman,1,living,1722.543328773798,874
gender,woman,2,living,845.4906477268305,672
gender,woman,3,living,1639.6896144240568,821
gender,woman,4,living,1323.1593562614385,976
gender,woman,5,living,1864.7469155027825,813
gender,woman,6,living,1684.8843749243263,988
