demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1323.3497993742242,2783
global,global,1,living,1789.4336999004809,2014
global,global,2,living,1711.4785951576453,2694
global,global,3,living,1979.8738152448188,3220
global,global,4,living,2281.8131245662353,2106
global,global,5,living,1483.5928991122719,3436
global,global,6,living,1474.0885363611446,2247
global,global,7,living,1437.1398263694912,2176
global,global,8,living,2157.439465606517,2036
global,global,0,biodiversity,2053.0187405057477,2379
global,global,1,biodiversity,2187.30728373494,2248
global,global,2,biodiversity,1987.7778382498254,2342
global,global,3,biodiversity,1556.6386543040412,2903
global,global,4,biodiversity,2249.4766630414347,1682
global,global,5,biodiversity,1035.9823695960476,2063
global,global,6,biodiversity,1354.0768268650322,2351
global,global,7,biodiversity,1108.797874941177,2855
global,global,8,biodiversity,383.30807770061773,2243
global,global,0,safety,81.71472447553222,2551
global,global,1,safety,2250.879717723476,1500
global,global,2,safety,2040.299909515693,2197
global,global,3,safety,158.99176308768932,2164
global,global,4,safety,1739.934962132983,2688
global,global,5,safety,1723.98270278613,1646
global,global,6,safety,1885.3205201774485,2186
global,global,7,safety,1800.5937314521943,2688
global,global,8,safety,957.3968524950991,1902
gender,man,0,living,1314.6073534848197,1424
gender,man,1,living,2013.4111508613023,1037
gender,man,2,living,1392.1857847187018,1402
gender,man,3,living,1702.6056741321427,1639
gender,man,4,living,1465.31358690041,1119
gender,man,5,living,1817.5325264772334,1753
gender,man,6,living,2080.816799537359,1124
gender,man,7,living,1847.730476767976,1133
gender,man,8,living,1951.4857235003733,1091
gender,man,0,biodiversity,1969.9580836210014,1243
gender,man,1,biodiversity,1637.837517687693,1191
gender,man,2,biodiversity,1694.9293257724992,1186
gender,man,3,biodiversity,1494.9830745885376,1489
gender,man,4,biodiversity,2029.4753211780574,783
gender,man,5,biodiversity,1187.881942533419,1047
gender,man,6,biodiversity,1229.181144876829,1223
gender,man,7,biodiversity,1008.9351667584092,1409
gender,man,8,biodiversity,836.9882023578913,1241
gender,man,0,safety,1020.8566990826561,1357
