demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1370.7758869774577,2292
global,global,1,living,62.071953324183774,2021
global,global,2,living,615.9861536309293,1920
global,global,3,living,124.46600149212446,2052
global,global,4,living,2218.699447111892,2313
global,global,5,living,1417.8239062765078,2204
global,global,6,living,1566.1119452520245,1738
global,global,7,living,1906.8381825879696,1862
global,global,8,living,1975.112353200003,1126
global,global,0,biodiversity,1162.3242162774395,3023
global,global,1,biodiversity,1447.7093253340172,2455
global,global,2,biodiversity,2197.711352242205,2763
global,global,3,biodiversity,953.9573345093862,2983
global,global,4,biodiversity,2368.8559163240852,2677
global,global,5,biodiversity,673.8537966380397,2561
global,global,6,biodiversity,2021.4553505379213,2929
global,global,7,biodiversity,2471.144523580123,2839
global,global,8,biodiversity,1038.610151414195,2088
global,global,0,safety,2051.527328594349,2535
global,global,1,safety,2365.198026944813,2377
global,global,2,safety,1060.8205741619022,2138
global,global,3,safety,509.62394337318057,1116
global,global,4,safety,2248.9486300543576,2814
global,global,5,safety,2204.797182082903,2894
global,global,6,safety,204.59995041492414,1868
global,global,7,safety,1691.0851423124345,2701
global,global,8,safety,2423.4633964455966,3011
gender,man,0,living,1393.8381906523834,1139
gender,man,1,living,466.6215674435187,1087
gender,man,2,living,630.8587548744382,1032
gender,man,3,living,935.9591583171731,1076
gender,man,4,living,1927.201964816676,1141
gender,man,5,living,1132.3634141662385,1169
gender,man,6,living,1110.6594446878828,863
gender,man,7,living,1750.0622066763785,898
gender,man,8,living,1902.3319548173756,511
gender,man,0,biodiversity,1754.9447153918284,1566
gender,man,1,biodiversity,884.3114831510615,1353
gender,man,2,biodiversity,2024.596170829342,1330
gender,man,3,biodiversity,1415.4499233494232,1556
gender,man,4,biodiversity,1816.009997617404,1318
gender,man,5,biodiversity,846.8460734949057,1338
gender,man,6,biodiversity,1929.799658934639,1546
gender,man,7,biodiversity,2089.985156167593,1440
gender,man,8,biodiversity,1185.3823013770582,1041
gender,man,0,safety,2055.162800432344,1252
gender,man,1,safety,2005.1718073477246,1126
gender,man,2,safety,1368.933192290907,1113
gender,man,3,safety,461.05282332586097,567
gender,man,4,safety,1771.7811796487385,1557
gender,man,5,safety,1364.6646373898946,1462
gender,man,6,safety,1324.4490255533224,975
gender,man,7,safety,1150.924850687296,1407
gender,man,8,safety,2013.3355791210515,1561
gender,woman,0,living,1932.4106258718575,947
gender,woman,1,living,1843.3026401782029,852
gender,woman,2,living,1566.4615403082882,774
gender,woman,3,living,815.529709427022,838
gender,woman,4,living,1057.5576188821053,920
gender,woman,5,living,1807.7387121663025,904
gender,woman,6,living,1792.602668714828,733
gender,woman,7,living,1405.3110160984104,705
gender,woman,8,living,1773.750507281173,491
gender,woman,0,biodiversity,1694.7374905179124,1279
gender,woman,1,biodiversity,1838.6319516367007,991
gender,woman,2,biodiversity,1484.68219548298,1098
gender,woman,3,biodiversity,1085.6879946370016,1175
gender,woman,4,biodiversity,1905.986658465226,1082
gender,woman,5,biodiversity,1598.2201113095082,1055
gender,woman,6,biodiversity,2045.6877312238196,1098
gender,woman,7,biodiversity,1548.8423625910593,1137
gender,woman,8,biodiversity,1419.8169519551832,901
gender,woman,0,safety,483.0507741288081,1033
gender,woman,1,safety,1772.3433673797588,929
gender,woman,2,safety,1735.0806058525402,885
gender,woman,3,safety,1490.4067309859702,500
gender,woman,4,safety,2026.3718343037865,950
gender,woman,5,safety,1383.0498326997829,1209
gender,woman,6,safety,781.0244731742671,792
gender,woman,7,safety,1673.587722282667,1055
gender,woman,8,safety,1587.2920560969262,1135
gender,other,0,living,1424.6363543090783,6
gender,other,1,living,1523.8653518698006,10
gender,other,2,living,1549.0087421921053,14
gender,other,3,living,1462.2746820412285,13
gender,other,4,living,1521.3647601283285,14
gender,other,5,living,1487.7459010406553,11
gender,other,6,living,1451.0237195837478,10
gender,other,7,living,1499.9608055614297,12
gender,other,8,living,1572.106300207357,14
gender,other,0,biodiversity,1405.658362705752,15
gender,other,1,biodiversity,1487.5724476974171,9
gender,other,2,biodiversity,1512.4059182735061,13
gender,other,3,biodiversity,1500.3787399018472,12
gender,other,4,biodiversity,1530.7983544233136,15
gender,other,5,biodiversity,1579.29321889072,19
gender,other,6,biodiversity,1462.4633621778105,9
gender,other,7,biodiversity,1559.6471119473197,13
gender,other,8,biodiversity,1440.0295720261636,9
gender,other,0,safety,1559.5192409054587,13
gender,other,1,safety,1488.6212141399476,15
gender,other,2,safety,1454.3691328990492,20
gender,other,3,safety,1538.8270801647507,11
gender,other,4,safety,1477.224071950742,10
gender,other,5,safety,1553.5069223649784,7
gender,other,6,safety,1512.445084030763,19
gender,other,7,safety,1409.823168323681,11
gender,other,8,safety,1502.0848580214113,14
age,younger,0,living,1424.793242066317,656
age,younger,1,living,1099.357160967216,577
age,younger,2,living,1260.4938437538817,588
age,younger,3,living,1116.4744477454308,583
age,younger,4,living,1379.1566721710587,655
age,younger,5,living,1792.949409330183,634
age,younger,6,living,1484.0302513571064,518
age,younger,7,living,1757.555592159967,501
age,younger,8,living,1852.3781296567336,290
age,younger,0,biodiversity,1644.533806254722,897
age,younger,1,biodiversity,1756.025722695812,706
age,younger,2,biodiversity,1431.2322371551197,701
age,younger,3,biodiversity,1286.3732902997783,805
age,younger,4,biodiversity,1893.5840804890172,774
age,younger,5,biodiversity,1727.0631865745793,778
age,younger,6,biodiversity,1327.085918232919,837
age,younger,7,biodiversity,1968.5492721539808,758
age,younger,8,biodiversity,963.1052458412803,558
age,younger,0,safety,1858.3085143216738,688
age,younger,1,safety,1943.7969496070066,675
age,younger,2,safety,1373.609694271895,635
age,younger,3,safety,1070.4880384368562,305
age,younger,4,safety,1744.1900133211213,782
age,younger,5,safety,1452.3039185402888,821
age,younger,6,safety,1316.8808579790978,504
age,younger,7,safety,1653.0635186794448,752
age,younger,8,safety,1854.061524234423,804
age,middle,0,living,1552.143870553784,973
age,middle,1,living,1676.9776293037314,942
