demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2084.609499702245,1825
global,global,1,living,2156.109978149055,1296
global,global,2,living,1676.4914665075735,2220
global,global,3,living,1439.148764928716,1632
global,global,4,living,1463.0264538511094,2307
global,global,5,living,1101.7630339548257,2566
global,global,6,living,1357.7568171411435,2324
global,global,7,living,833.568826089951,2855
global,global,8,living,1491.8756084736413,2455
global,global,0,biodiversity,1068.7393929955515,2145
global,global,1,biodiversity,2228.262459840561,2226
global,global,2,biodiversity,931.2230823558816,1509
global,global,3,biodiversity,1616.3566963490794,2277
global,global,4,biodiversity,2096.6879493788665,1589
global,global,5,biodiversity,1514.1358739463642,2803
global,global,6,biodiversity,1367.962519999345,2274
global,global,7,biodiversity,451.8608800028146,2363
global,global,8,biodiversity,1691.4454537176523,2728
global,global,0,safety,762.604541063751,2402
global,global,1,safety,891.3561667446721,2774
global,global,2,safety,975.0415608954245,2682
global,global,3,safety,1682.6186595735817,2972
global,global,4,safety,2250.9303952548403,2713
global,global,5,safety,1836.778931877676,2396
global,global,6,safety,2052.5266099010196,2610
global,global,7,safety,2319.9665723677795,2481
global,global,8,safety,1577.2296246450685,2876
gender,man,0,living,1954.161147491616,940
gender,man,1,living,1659.395617496076,705
gender,man,2,living,1370.9138664065972,1117
gender,man,3,living,1926.6694320191202,828
gender,man,4,living,1324.6158495802085,1198
gender,man,5,living,1224.0933413623502,1283
gender,man,6,living,975.2863801468828,1188
gender,man,7,living,1736.1571487544313,1422
gender,man,8,living,1635.4136838871618,1269
gender,man,0,biodiversity,1844.4572149553671,1118
gender,man,1,biodiversity,2031.8272732189812,1122
gender,man,2,biodiversity,789.238962332164,745
gender,man,3,biodiversity,1904.5962788121533,1162
gender,man,4,biodiversity,1566.635547982216,860
gender,man,5,biodiversity,1543.615963823411,1453
gender,man,6,biodiversity,1688.351650496253,1116
gender,man,7,biodiversity,460.56720298200395,1210
gender,man,8,biodiversity,996.4925530408628,1384
gender,man,0,safety,1593.7949837420808,1244
gender,man,1,safety,1621.0880609412507,1459
