demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,179.5344025859925,1163
global,global,1,living,2293.646249008738,2434
global,global,2,living,1079.911097911948,2164
global,global,3,living,1739.6342942302285,2516
global,global,4,living,2258.5022757430115,2033
global,global,5,living,1102.5553640268074,2232
global,global,6,living,2067.4241533887775,2593
global,global,7,living,1482.2952539533194,2349
global,global,8,living,2384.9920810944363,2372
global,global,0,biodiversity,2158.2611208078347,2735
global,global,1,biodiversity,2241.669016011992,1606
global,global,2,biodiversity,1598.0759704590137,2841
global,global,3,biodiversity,1714.7405406002347,2459
global,global,4,biodiversity,1058.095030831723,3226
global,global,5,biodiversity,658.5532636000798,2390
global,global,6,biodiversity,2010.373197718202,2362
global,global,7,biodiversity,1428.2982741240357,2705
global,global,8,biodiversity,388.21079900285014,1852
global,global,0,safety,471.26793404507043,1870
global,global,1,safety,562.9788177103841,2784
global,global,2,safety,2200.9990261772705,1806
global,global,3,safety,418.93353597270305,2232
global,global,4,safety,1948.3638632845966,1850
global,global,5,safety,2112.2603348583307,2456
global,global,6,safety,1089.7401697311407,2696
global,global,7,safety,656.2803830882485,3165
global,global,8,safety,1434.4753250307565,2409
gender,man,0,living,1055.4218186375194,667
gender,man,1,living,1084.449036917719,1258
gender,man,2,living,1869.8229770518994,1127
gender,man,3,living,1617.5602618943326,1282
gender,man,4,living,1853.0447768204533,1007
gender,man,5,living,1498.6589635836294,1136
gender,man,6,living,1942.569729613148,1285
gender,man,7,living,315.6471749683267,1144
gender,man,8,living,2061.260119729489,1180
gender,man,0,biodiversity,2009.4393008584857,1388
gender,man,1,biodiversity,1970.8131189965354,832
gender,man,2,biodiversity,1251.1445323492471,1449
gender,man,3,biodiversity,695.4383908192817,1265
gender,man,4,biodiversity,913.385949619088,1666
gender,man,5,biodiversity,1227.51585195392,1242
gender,man,6,biodiversity,1759.7652420203601,1146
gender,man,7,biodiversity,1731.5906113542069,1420
gender,man,8,biodiversity,1138.4788600414117,1028
gender,man,0,safety,1496.7608450040912,1011
gender,man,1,safety,541.846316702716,1381
gender,man,2,safety,1937.8533434000512,964
gender,man,3,safety,479.11370241648467,1093
gender,man,4,safety,2035.953965715685,871
gender,man,5,safety,1718.9679806610209,1331
gender,man,6,safety,1388.0254696183413,1438
gender,man,7,safety,1273.3314712584256,1609
gender,man,8,safety,1744.5896366109598,1204
gender,woman,0,living,904.8475651788643,444
gender,woman,1,living,1969.6628591219849,882
gender,woman,2,living,679.7509719809257,914
gender,woman,3,living,1525.2970564135858,969
gender,woman,4,living,1921.5393911039646,684
gender,woman,5,living,1504.234610789457,901
gender,woman,6,living,1266.8575358578253,967
gender,woman,7,living,1562.2439142705396,927
gender,woman,8,living,1728.788274444146,960
gender,woman,0,biodiversity,1585.4767781916541,1146
gender,woman,1,biodiversity,1752.4405410894694,715
gender,woman,2,biodiversity,1708.7060998973814,1129
gender,woman,3,biodiversity,2057.9387275122735,1023
gender,woman,4,biodiversity,1640.7797094439957,1357
gender,woman,5,biodiversity,1220.730074764894,949
gender,woman,6,biodiversity,1871.1973560103515,1015
gender,woman,7,biodiversity,459.86469470265433,1034
gender,woman,8,biodiversity,603.6746332454843,690
gender,woman,0,safety,311.868046768492,755
gender,woman,1,safety,1591.0443090635547,1170
gender,woman,2,safety,1870.9744258325584,739
gender,woman,3,safety,1469.5509969443265,892
gender,woman,4,safety,1734.5268557574045,810
gender,woman,5,safety,1993.369977115203,941
gender,woman,6,safety,1911.6065518321534,1076
gender,woman,7,safety,1399.3474445392549,1307
gender,woman,8,safety,1710.6448326275056,1072
gender,other,0,living,1510.691748003371,11
gender,other,1,living,1476.5366876866392,12
gender,other,2,living,1523.9549132805537,12
gender,other,3,living,1464.0922387370654,9
gender,other,4,living,1547.997117092727,8
gender,other,5,living,1438.761034864537,9
gender,other,6,living,1508.9085918017186,15
gender,other,7,living,1451.2103742871616,10
gender,other,8,living,1569.906519620201,6
gender,other,0,biodiversity,1523.250625117468,18
gender,other,1,biodiversity,1561.455105165524,7
gender,other,2,biodiversity,1548.9971696776101,10
gender,other,3,biodiversity,1540.032899660124,21
gender,other,4,biodiversity,1455.0314376838016,16
gender,other,5,biodiversity,1497.0509225628077,18
gender,other,6,biodiversity,1438.6110537534844,11
gender,other,7,biodiversity,1477.0786173568206,14
gender,other,8,biodiversity,1467.2824381664996,17
gender,other,0,safety,1443.7802867140724,9
gender,other,1,safety,1475.1289806693487,10
gender,other,2,safety,1563.1396738528704,9
gender,other,3,safety,1487.924541927472,11
gender,other,4,safety,1525.7506137280118,14
gender,other,5,safety,1502.9304936946908,16
gender,other,6,safety,1463.3400476171014,9
gender,other,7,safety,1539.5668883847827,15
gender,other,8,safety,1513.3379040680609,21
age,younger,0,living,989.0941362025363,355
age,younger,1,living,1578.7196800238714,654
age,younger,2,living,1699.722882597649,661
age,younger,3,living,1726.9099929814454,667
age,younger,4,living,1515.3811486757816,559
age,younger,5,living,1399.894642082735,658
age,younger,6,living,1105.402245094647,710
age,younger,7,living,253.53132087161555,636
age,younger,8,living,1954.2238782564582,638
age,younger,0,biodiversity,1823.0198651701257,799
age,younger,1,biodiversity,1567.5301500961307,477
age,younger,2,biodiversity,1116.3445288906414,842
age,younger,3,biodiversity,1284.009733944517,720
age,younger,4,biodiversity,1748.0119001168687,871
age,younger,5,biodiversity,1767.7688253835229,717
age,younger,6,biodiversity,1902.6575607586053,558
age,younger,7,biodiversity,1588.4667860840295,779
age,younger,8,biodiversity,1461.5884209129772,535
age,younger,0,safety,889.3608306037934,547
age,younger,1,safety,1517.9106526218245,789
age,younger,2,safety,1870.3530917976059,460
age,younger,3,safety,1051.7267519860513,596
age,younger,4,safety,1725.0659676362554,523
age,younger,5,safety,1920.1623988841227,658
age,younger,6,safety,1310.938107621995,800
age,younger,7,safety,1347.1362178545937,896
age,younger,8,safety,1659.8254654139105,677
age,middle,0,living,1285.775620345577,497
age,middle,1,living,1449.4175452072218,994
age,middle,2,living,645.1713159057408,903
age,middle,3,living,1195.6394096446152,1046
age,middle,4,living,1959.9384678379586,763
age,middle,5,living,1661.0797181377177,949
age,middle,6,living,1791.8715996366093,1024
age,middle,7,living,1872.2154373407034,902
age,middle,8,living,1714.029794752735,974
age,middle,0,biodiversity,1299.5112501860401,1190
age,middle,1,biodiversity,1989.4022182817434,702
age,middle,2,biodiversity,1737.1608756326066,1213
age,middle,3,biodiversity,2015.4676935735747,1051
age,middle,4,biodiversity,1588.9671241647854,1438
age,middle,5,biodiversity,916.3791188997635,973
age,middle,6,biodiversity,1858.6278375186034,1003
age,middle,7,biodiversity,1149.2134922756918,1133
age,middle,8,biodiversity,894.6830906138376,755
age,middle,0,safety,1765.9076618258132,817
age,middle,1,safety,1255.1524444058687,1165
age,middle,2,safety,1843.3404594274848,866
age,middle,3,safety,1081.5854106299219,959
age,middle,4,safety,2003.3590020890538,757
age,middle,5,safety,1709.71436961145,1052
age,middle,6,safety,1404.567604751093,1185
age,middle,7,safety,1665.7697922750403,1369
age,middle,8,safety,1739.2181789058025,1068
age,older,0,living,1339.1680649547952,268
age,older,1,living,1806.0706872626638,503
age,older,2,living,1258.7175597497328,478
age,older,3,living,1583.8525791086433,545
age,older,4,living,1621.8394392054886,369
age,older,5,living,1673.01157634337,438
age,older,6,living,1763.8754563238026,521
age,older,7,living,1447.2153325484462,543
age,older,8,living,1727.1370275271836,529
age,older,0,biodiversity,1837.7730922447017,555
age,older,1,biodiversity,1799.9703007583344,369
age,older,2,biodiversity,1713.969831216176,521
age,older,3,biodiversity,1578.275576501288,536
age,older,4,biodiversity,1401.4741082604842,718
