demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,766.4639064014139,1852
global,global,1,living,2228.2663632185445,1158
global,global,2,living,1831.251628271026,2067
global,global,3,living,1908.3048257625965,1635
global,global,4,living,2123.1529573041535,2045
global,global,5,living,1093.9748722924128,2500
global,global,6,living,1244.0194485683508,1869
global,global,7,living,1337.4310796483912,2496
global,global,8,living,1628.763048173267,2160
global,global,0,biodiversity,2407.367680669913,3076
global,global,1,biodiversity,1262.3817160203457,2455
global,global,2,biodiversity,194.1348690498534,2076
global,global,3,biodiversity,2050.5015602153694,2326
global,global,4,biodiversity,1727.3728637401582,3232
global,global,5,biodiversity,1834.5879924465917,3618
global,global,6,biodiversity,-56.36254743912849,2832
global,global,7,biodiversity,1484.0874700903976,2881
global,global,8,biodiversity,2280.727508420245,2212
global,global,0,safety,1843.5519156923478,2683
global,global,1,safety,2106.0084665258546,2925
global,global,2,safety,2080.3828909078175,2925
global,global,3,safety,-8.043074841061696,1534
global,global,4,safety,137.50090138129815,1193
global,global,5,safety,2250.523822462429,1760
global,global,6,safety,2192.6455170424483,2592
global,global,7,safety,1315.4147926762437,2458
global,global,8,safety,2133.722079312337,2740
gender,man,0,living,1179.4060497470875,956
gender,man,1,living,1928.8392833594496,602
gender,man,2,living,1759.8509510388717,1012
gender,man,3,living,1980.2888284614303,857
gender,man,4,living,1877.8836691988201,1021
gender,man,5,living,1098.7777858316995,1225
gender,man,6,living,977.8299272030134,929
gender,man,7,living,1552.6463365941993,1229
gender,man,8,living,1050.7850043808285,1079
gender,man,0,biodiversity,2195.270393611465,1592
gender,man,1,biodiversity,1219.13062203131,1273
gender,man,2,biodiversity,985.8906786381717,1096
gender,man,3,biodiversity,1950.3927354508596,1186
gender,man,4,biodiversity,1992.4265616161597,1690
gender,man,5,biodiversity,1482.399239890777,1906
gender,man,6,biodiversity,-568.7187275044756,1450
gender,man,7,biodiversity,2049.048916525704,1565
gender,man,8,biodiversity,1775.2380994615362,1082
gender,man,0,safety,1274.2683642697468,1444
gender,man,1,safety,1994.2154082202214,1462
gender,man,2,safety,433.29163405483166,1497
gender,man,3,safety,1159.3900611295956,833
gender,man,4,safety,26.13025920487819,519
gender,man,5,safety,1954.5228420938317,916
gender,man,6,safety,1685.5902455112277,1272
