demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2185.8920308255515,2477
global,global,1,living,1765.5108862270718,2806
global,global,2,living,1890.3756185543082,1722
global,global,3,living,1842.0111539578063,2539
global,global,4,living,1654.0082725736395,2781
global,global,5,living,1619.5141679719518,3136
global,global,6,living,2351.010802703476,2899
global,global,7,living,960.8058278915266,2635
global,global,8,living,-629.7255858867646,1731
global,global,0,biodiversity,2295.690670033312,1779
global,global,1,biodiversity,-353.4264369238638,2722
global,global,2,biodiversity,2180.494683044761,2462
global,global,3,biodiversity,1222.66899141854,2278
global,global,4,biodiversity,2000.8215229084603,2201
global,global,5,biodiversity,893.5599748127023,2307
global,global,6,biodiversity,1023.9471949084354,2869
global,global,7,biodiversity,1851.2427503948888,2928
global,global,8,biodiversity,-12.823647890391243,2462
global,global,0,safety,1500.3711122391053,2276
global,global,1,safety,-425.3200368033527,1357
global,global,2,safety,1593.926213361608,2782
global,global,3,safety,2248.0633250255783,1842
global,global,4,safety,675.3170647074575,2685
global,global,5,safety,2059.868137688429,2484
global,global,6,safety,1171.668200720038,2187
global,global,7,safety,1907.8739284772632,1642
global,global,8,safety,-217.2258604036849,1311
gender,man,0,living,1059.7409965455454,1233
gender,man,1,living,1625.269471204972,1394
gender,man,2,living,1814.3907202404755,976
gender,man,3,living,1385.6238019373804,1324
gender,man,4,living,1907.4519156183085,1318
gender,man,5,living,1718.532016317584,1598
gender,man,6,living,2133.609890394966,1467
gender,man,7,living,1645.2779647009606,1364
gender,man,8,living,256.3803749550565,924
gender,man,0,biodiversity,1879.8618498496498,922
gender,man,1,biodiversity,887.1118827891237,1380
gender,man,2,biodiversity,1968.1721569409622,1214
gender,man,3,biodiversity,1487.2813401900241,1221
gender,man,4,biodiversity,2081.304138443297,1016
gender,man,5,biodiversity,1850.1323573102015,1306
gender,man,6,biodiversity,1678.7158427751203,1500
gender,man,7,biodiversity,1596.995345461226,1500
gender,man,8,biodiversity,911.5975656227314,1205
gender,man,0,safety,837.0041413834855,1223
gender,man,1,safety,227.97521997256433,681
gender,man,2,safety,1610.0175410867814,1467
gender,man,3,safety,2071.3931803082132,818
gender,man,4,safety,912.4266764765558,1402
gender,man,5,safety,1827.3853052668735,1294
gender,man,6,safety,1670.9820204548855,1154
gender,man,7,safety,1378.1220617364725,858
gender,man,8,safety,-439.30556224233493,665
gender,woman,0,living,1811.9906430114092,1011
gender,woman,1,living,1621.7668572644347,1177
gender,woman,2,living,1977.2127991504326,588
gender,woman,3,living,1727.4875025466563,1014
gender,woman,4,living,989.6663165950248,1121
gender,woman,5,living,1677.190736351494,1246
gender,woman,6,living,1531.9844435054843,1177
gender,woman,7,living,944.7655947410296,1068
gender,woman,8,living,1314.2126813792304,768
gender,woman,0,biodiversity,1941.2828342079213,641
gender,woman,1,biodiversity,1524.1158540911968,1188
gender,woman,2,biodiversity,1486.4830416150535,890
gender,woman,3,biodiversity,1866.1695711322254,903
gender,woman,4,biodiversity,1604.9853560568238,956
gender,woman,5,biodiversity,162.20071036975932,793
gender,woman,6,biodiversity,1718.9903129280076,1214
gender,woman,7,biodiversity,1607.4569003784413,1148
gender,woman,8,biodiversity,1573.825950902379,1075
gender,woman,0,safety,1905.4413950736323,885
gender,woman,1,safety,1464.5184478125977,587
gender,woman,2,safety,1010.156520361211,1114
gender,woman,3,safety,1825.8272555036451,761
gender,woman,4,safety,1504.1929733746072,1073
gender,woman,5,safety,1170.524828365132,982
gender,woman,6,safety,1163.6228220774387,902
gender,woman,7,safety,1788.9214950736798,610
