demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2336.0539960005212,2264
global,global,1,living,1226.3299446899478,3037
global,global,2,living,1097.670852232193,3315
global,global,3,living,2357.5274460304768,2734
global,global,4,living,562.4286069801201,2871
global,global,5,living,1955.6693236541155,3098
global,global,6,living,2040.460161271497,3001
global,global,7,living,1032.6636216651118,2817
global,global,8,living,1383.8502170033657,2441
global,global,0,biodiversity,2181.354545105329,1686
global,global,1,biodiversity,1547.728344365062,2611
global,global,2,biodiversity,706.2872539355498,2272
global,global,3,biodiversity,907.6518760891203,1801
global,global,4,biodiversity,-497.7251571869215,2490
global,global,5,biodiversity,1101.8138919473574,1718
global,global,6,biodiversity,1809.2228402118633,1840
global,global,7,biodiversity,1997.028765405218,2217
global,global,8,biodiversity,1311.4313652254664,2265
global,global,0,safety,1259.6279797245577,2569
global,global,1,safety,1805.1774469321642,2796
global,global,2,safety,-146.83198004329716,1602
global,global,3,safety,1688.2633058140227,2313
global,global,4,safety,1332.152900894687,2421
global,global,5,safety,433.5523162278276,1808
global,global,6,safety,1205.6491537318868,2331
global,global,7,safety,2104.9321637401163,1791
global,global,8,safety,2170.815256298121,1191
gender,man,0,living,1874.3999980602682,1188
gender,man,1,living,1587.8862407505044,1570
gender,man,2,living,1138.1365159665081,1646
gender,man,3,living,2074.0515929214025,1364
gender,man,4,living,1105.2254245168765,1450
gender,man,5,living,1442.635060493049,1571
gender,man,6,living,1345.2793925742374,1561
gender,man,7,living,1974.0725261678808,1352
gender,man,8,living,1493.0167300993403,1304
gender,man,0,biodiversity,1850.891664829414,861
gender,man,1,biodiversity,1823.9820516842806,1396
gender,man,2,biodiversity,1140.2654594468306,1179
gender,man,3,biodiversity,1195.1633301913505,908
gender,man,4,biodiversity,737.3331117596546,1367
gender,man,5,biodiversity,1240.7711511595173,831
gender,man,6,biodiversity,1946.7567990128077,870
gender,man,7,biodiversity,1903.6981546301015,1125
gender,man,8,biodiversity,1409.8598590302422,1169
gender,man,0,safety,1553.0402076129342,1315
gender,man,1,safety,1727.415427180474,1474
gender,man,2,safety,616.8341880417098,864
gender,man,3,safety,1804.3629461547055,1188
gender,man,4,safety,1840.789163441609,1208
gender,man,5,safety,669.245902341625,904
gender,man,6,safety,146.69044393957878,1207
gender,man,7,safety,1893.0634827403208,940
gender,man,8,safety,1936.974947095442,612
gender,woman,0,living,1573.4019995529268,832
gender,woman,1,living,1083.8922353140679,1207
gender,woman,2,living,1498.5459558356551,1326
gender,woman,3,living,1919.849890668797,1114
gender,woman,4,living,1972.5689626213461,1210
gender,woman,5,living,1665.0830764677498,1206
gender,woman,6,living,1875.5460760066596,1126
gender,woman,7,living,374.1991339287547,1221
gender,woman,8,living,1748.3655063864715,1056
gender,woman,0,biodiversity,2019.4367452294096,711
gender,woman,1,biodiversity,1980.0801375319672,1106
gender,woman,2,biodiversity,1699.12597028146,922
gender,woman,3,biodiversity,1658.4931771192055,781
gender,woman,4,biodiversity,784.5037804410134,964
gender,woman,5,biodiversity,1218.1693193325534,750
gender,woman,6,biodiversity,1159.0730105188945,825
gender,woman,7,biodiversity,1587.26071078457,915
gender,woman,8,biodiversity,1474.5745607226402,928
