demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,-131.4909590875364,2019
global,global,1,living,1968.0797655928982,1586
global,global,2,living,2068.616672042666,2819
global,global,3,living,1735.216936059648,3061
global,global,4,living,1029.076634893322,2515
global,global,5,living,1148.8267997386986,2527
global,global,6,living,2165.3895445926573,2398
global,global,7,living,268.302422445524,2421
global,global,8,living,2319.8319257145836,2188
global,global,0,biodiversity,2234.874450308427,1836
global,global,1,biodiversity,1797.9507733447876,2405
global,global,2,biodiversity,2001.385033848824,1750
global,global,3,biodiversity,1907.694676235223,2206
global,global,4,biodiversity,-209.7964847029555,1380
global,global,5,biodiversity,1572.1062040965767,1561
global,global,6,biodiversity,1287.8287061732628,2510
global,global,7,biodiversity,960.5803088109285,2339
global,global,8,biodiversity,1028.5871019672136,2103
global,global,0,safety,2066.74041301034,2765
global,global,1,safety,1966.0279689415142,2648
global,global,2,safety,1545.881943853083,2379
global,global,3,safety,1664.7269258621109,3092
global,global,4,safety,2164.73416193405,2993
global,global,5,safety,44.62496294434241,2278
global,global,6,safety,2408.5342451041142,2691
global,global,7,safety,2286.8536338411864,2453
global,global,8,safety,-359.3857618926333,2377
gender,man,0,living,495.95376345492906,1048
gender,man,1,living,1799.62265944371,834
gender,man,2,living,1328.376124149016,1400
gender,man,3,living,2030.7082689552074,1447
gender,man,4,living,977.8272030602761,1283
gender,man,5,living,1413.7059604220137,1345
gender,man,6,living,1951.1488457147732,1210
gender,man,7,living,1087.9223292749828,1272
gender,man,8,living,1886.4866739583742,1155
gender,man,0,biodiversity,1719.163259742547,1006
gender,man,1,biodiversity,2042.6137338556894,1245
gender,man,2,biodiversity,1959.158021374805,945
gender,man,3,biodiversity,1832.4720718866472,1141
gender,man,4,biodiversity,880.5962411317317,737
gender,man,5,biodiversity,1017.925474859398,727
gender,man,6,biodiversity,1799.9514786560258,1295
gender,man,7,biodiversity,1421.772877516101,1218
gender,man,8,biodiversity,860.1792925562754,1160
gender,man,0,safety,1783.4120162195074,1363
gender,man,1,safety,2051.5932850164095,1343
gender,man,2,safety,1580.9306008934955,1242
gender,man,3,safety,1961.0969536808414,1564
gender,man,4,safety,1856.8226347533218,1498
gender,man,5,safety,1125.305828164338,1183
gender,man,6,safety,1680.622732592135,1316
gender,man,7,safety,1994.0383313471943,1197
gender,man,8,safety,353.8677541539344,1250
gender,woman,0,living,1117.4735894072955,844
gender,woman,1,living,1842.6801258257092,602
gender,woman,2,living,1647.1376741728895,1078
gender,woman,3,living,906.9195276478608,1321
gender,woman,4,living,1576.4760662520875,1027
gender,woman,5,living,1063.879625144677,1021
gender,woman,6,living,1663.4975427634884,988
gender,woman,7,living,1365.998335413519,954
gender,woman,8,living,1980.6093267179904,877
gender,woman,0,biodiversity,1847.8952127234957,711
gender,woman,1,biodiversity,1910.2434312477944,935
gender,woman,2,biodiversity,1762.0273911622219,694
gender,woman,3,biodiversity,1478.5240974869425,861
gender,woman,4,biodiversity,1429.3207327510333,585
gender,woman,5,biodiversity,1558.1418396231682,626
gender,woman,6,biodiversity,1682.815469081868,1056
gender,woman,7,biodiversity,1344.4021543117333,959
gender,woman,8,biodiversity,1814.2811772970788,773
gender,woman,0,safety,1957.238755364856,1076
gender,woman,1,safety,1599.3411764164239,1033
gender,woman,2,safety,1374.4626553362045,1013
gender,woman,3,safety,1795.1991122277593,1299
gender,woman,4,safety,1892.9449547394147,1208
gender,woman,5,safety,1022.780097493378,953
gender,woman,6,safety,1343.0605921585582,1036
gender,woman,7,safety,2001.8267604796463,973
gender,woman,8,safety,1670.4119474546246,965
gender,other,0,living,1560.0018754576333,5
gender,other,1,living,1476.2829397697055,10
gender,other,2,living,1548.096674959419,14
gender,other,3,living,1488.7975786126747,21
gender,other,4,living,1525.2692583356154,14
gender,other,5,living,1491.7980293658823,13
gender,other,6,living,1463.899999473469,7
gender,other,7,living,1439.8506429577228,11
gender,other,8,living,1516.0717791011207,17
gender,other,0,biodiversity,1500.4034862061633,14
gender,other,1,biodiversity,1478.871336553678,16
gender,other,2,biodiversity,1457.485056586207,22
