demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2400.0520890880293,2173
global,global,1,living,1936.4237146922335,3283
global,global,2,living,1090.7922347030492,2812
global,global,3,living,1743.0728938139666,3527
global,global,4,living,1166.856699115506,3303
global,global,5,living,2215.1284279680167,2550
global,global,6,living,2106.1007901746534,2920
global,global,7,living,2240.783596082562,3366
global,global,8,living,278.58641307879714,2030
global,global,0,biodiversity,1771.4794794172533,1963
global,global,1,biodiversity,-476.734359159005,1502
global,global,2,biodiversity,137.18316574233447,1943
global,global,3,biodiversity,1220.0120346320355,2237
global,global,4,biodiversity,2132.5925367869318,1937
global,global,5,biodiversity,2279.377448822917,1689
global,global,6,biodiversity,-519.1656771748975,1976
global,global,7,biodiversity,1124.6479128543328,2072
global,global,8,biodiversity,1486.0257330788422,1991
global,global,0,safety,1147.873963690065,1852
global,global,1,safety,2310.8681976285793,2332
global,global,2,safety,2166.861802408012,1960
global,global,3,safety,1878.645399453246,2404
global,global,4,safety,1779.7660754411704,2418
global,global,5,safety,2060.4113704430483,2300
global,global,6,safety,1590.8871567426027,2372
global,global,7,safety,338.39915615647203,1731
global,global,8,safety,1242.8720562894155,2657
gender,man,0,living,1888.6687716182187,1171
gender,man,1,living,1638.9580480220523,1715
gender,man,2,living,510.4490144598208,1481
gender,man,3,living,486.63581433719503,1797
gender,man,4,living,1392.9657874177765,1653
gender,man,5,living,1205.4423185831301,1288
gender,man,6,living,2160.508254338026,1497
gender,man,7,living,1759.7364156991036,1653
gender,man,8,living,978.0751732817314,1081
gender,man,0,biodiversity,1715.5799168784017,985
gender,man,1,biodiversity,893.9304934673995,845
gender,man,2,biodiversity,1484.6437418960265,1057
gender,man,3,biodiversity,1173.6081459526902,1145
gender,man,4,biodiversity,1922.0747561977405,956
gender,man,5,biodiversity,2046.9895204911998,847
gender,man,6,biodiversity,1198.0216192322846,1049
gender,man,7,biodiversity,1554.182126779438,1101
gender,man,8,biodiversity,1758.0842140841457,1057
gender,man,0,safety,1571.9780331570098,986
gender,man,1,safety,2063.92019131648,1145
gender,man,2,safety,1951.6092420478665,983
gender,man,3,safety,1300.7983039642195,1257
gender,man,4,safety,822.4564272243189,1134
gender,man,5,safety,1788.046869686843,1181
gender,man,6,safety,1711.3533206251136,1148
gender,man,7,safety,1098.0687304044593,875
gender,man,8,safety,1252.7954443764984,1337
gender,woman,0,living,2029.5596049158314,815
gender,woman,1,living,1143.2744884524668,1334
gender,woman,2,living,1496.3493017583473,1165
gender,woman,3,living,1777.755492629112,1355
gender,woman,4,living,1536.6143263790789,1332
gender,woman,5,living,1946.4133367653085,949
gender,woman,6,living,269.156895535476,1146
gender,woman,7,living,1292.9023320080448,1341
gender,woman,8,living,1262.0416511824149,837
