demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,451.83022177045825,2157
global,global,1,living,2130.0444822748846,2237
global,global,2,living,1041.6251126764218,2279
global,global,3,living,1435.0713076648135,2629
global,global,4,living,2292.150231559038,2778
global,global,5,living,1862.216110786487,2299
global,global,6,living,41.061444055054224,2361
global,global,7,living,109.42367769576269,1918
global,global,8,living,1975.919676056549,1496
global,global,0,biodiversity,1662.84122951668,2139
global,global,1,biodiversity,2132.9275314635306,2152
global,global,2,biodiversity,2240.82705561913,1919
global,global,3,biodiversity,2186.865944050804,1553
global,global,4,biodiversity,1767.2365702221098,2007
global,global,5,biodiversity,1537.6281131948776,1809
global,global,6,biodiversity,1467.9143540661187,1360
global,global,7,biodiversity,-6.05695599566716,1504
global,global,8,biodiversity,2060.3249141388924,2033
global,global,0,safety,1924.9072707638068,3453
global,global,1,safety,2145.4941744392418,2307
global,global,2,safety,1501.7966348558384,3681
global,global,3,safety,1187.5975057280405,2792
global,global,4,safety,2054.9798117595647,2750
global,global,5,safety,2382.3855535910943,3356
global,global,6,safety,1012.044697860742,3277
global,global,7,safety,689.6380028727663,2769
global,global,8,safety,1780.0027168762367,2285
gender,man,0,living,1136.5777924385093,1175
gender,man,1,living,1498.605455837597,1191
gender,man,2,living,821.2809315634395,1218
gender,man,3,living,1606.7492570066406,1331
gender,man,4,living,1927.4231733287888,1436
gender,man,5,living,2072.558079053441,1134
gender,man,6,living,1013.8798527737213,1187
gender,man,7,living,1162.3974911268988,1041
gender,man,8,living,1901.9320642395066,757
gender,man,0,biodiversity,1383.7182457618117,1149
gender,man,1,biodiversity,1234.7364296659368,1092
gender,man,2,biodiversity,1935.8981482662423,930
gender,man,3,biodiversity,1841.100211375963,744
gender,man,4,biodiversity,1694.3611372849352,965
gender,man,5,biodiversity,1895.8008619010284,982
gender,man,6,biodiversity,1115.9528660290964,661
gender,man,7,biodiversity,1427.6104437960716,770
gender,man,8,biodiversity,1659.1538781786683,1059
gender,man,0,safety,1025.4788043736219,1679
gender,man,1,safety,1760.8586436724133,1196
gender,man,2,safety,652.538141527299,1900
gender,man,3,safety,1177.5116911969762,1405
gender,man,4,safety,2061.9449318260986,1386
gender,man,5,safety,1880.769072524569,1691
gender,man,6,safety,1400.8187107772508,1760
gender,man,7,safety,-842.8530361180206,1457
gender,man,8,safety,1960.9657724252233,1128
gender,woman,0,living,1465.738439140432,904
gender,woman,1,living,1685.8877491657922,866
gender,woman,2,living,1495.037221784116,934
gender,woman,3,living,1821.851384924892,1095
