demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1957.0232769091244,2768
global,global,1,living,1605.4912140149702,2625
global,global,2,living,1141.3333119315948,2442
global,global,3,living,1329.96322528825,1852
global,global,4,living,2248.060689687268,1346
global,global,5,living,272.31241325489503,2109
global,global,6,living,1517.9055830790635,2686
global,global,7,living,1775.493309033176,3145
global,global,8,living,1883.367593484642,2271
global,global,0,biodiversity,2067.1018584109306,2735
global,global,1,biodiversity,1773.6763492493328,3100
global,global,2,biodiversity,1895.828794167935,2503
global,global,3,biodiversity,1628.9642087321279,2838
global,global,4,biodiversity,2045.7741672654772,3122
global,global,5,biodiversity,852.8647120343419,1775
global,global,6,biodiversity,2306.387158420614,2866
global,global,7,biodiversity,1959.9522711804398,2930
global,global,8,biodiversity,2375.300411120939,1967
global,global,0,safety,1304.4362284149508,2582
global,global,1,safety,1507.1039138787296,1803
global,global,2,safety,1950.4522564792346,1859
global,global,3,safety,860.2078189353522,1600
global,global,4,safety,1827.0201269948298,2128
global,global,5,safety,1428.9519246462928,2450
global,global,6,safety,2328.360983990944,2364
global,global,7,safety,2216.981934172931,2201
global,global,8,safety,586.4020918901488,1233
gender,man,0,living,1829.6228356924103,1468
gender,man,1,living,1796.9277469202598,1274
gender,man,2,living,1231.6148738285744,1301
gender,man,3,living,1731.386079965152,995
gender,man,4,living,2057.940003394688,740
gender,man,5,living,1038.8843616823685,1174
gender,man,6,living,1857.2393598831454,1309
gender,man,7,living,1642.5939955834112,1639
gender,man,8,living,807.9354656560859,1218
gender,man,0,biodiversity,1049.4075531634098,1328
gender,man,1,biodiversity,779.8465562237094,1557
gender,man,2,biodiversity,1734.797938700267,1308
gender,man,3,biodiversity,1382.6891195735946,1511
gender,man,4,biodiversity,1918.9499160970422,1576
gender,man,5,biodiversity,1974.9990801545052,1007
gender,man,6,biodiversity,840.4796532589804,1442
gender,man,7,biodiversity,1700.0526185426438,1403
gender,man,8,biodiversity,2011.0232599782723,998
gender,man,0,safety,1579.826060765762,1229
gender,man,1,safety,2017.0136721397878,859
gender,man,2,safety,1793.0316894154755,985
gender,man,3,safety,1076.6745816908367,813
gender,man,4,safety,1417.0112508338111,1134
gender,man,5,safety,1209.968921334385,1194
gender,man,6,safety,1835.284498504508,1244
gender,man,7,safety,1954.4318187183947,1089
gender,man,8,safety,871.6038858524527,629
gender,woman,0,living,1294.6321767510851,1148
gender,woman,1,living,1578.1741041825392,1062
gender,woman,2,living,1879.7157609052272,1011
gender,woman,3,living,1510.3951280206932,776
gender,woman,4,living,1831.301489527376,570
gender,woman,5,living,900.105842166633,850
gender,woman,6,living,1660.654670558633,1145
gender,woman,7,living,1776.2474892555524,1223
gender,woman,8,living,1943.1832226659844,937
gender,woman,0,biodiversity,1938.7561886322824,1050
gender,woman,1,biodiversity,1570.767791912378,1284
gender,woman,2,biodiversity,1738.9640135746922,965
gender,woman,3,biodiversity,732.8691718787754,1167
gender,woman,4,biodiversity,862.4877443673149,1238
gender,woman,5,biodiversity,77.85871401962594,689
gender,woman,6,biodiversity,2029.9677560122457,1135
