demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,838.149680466401,1876
global,global,1,living,2280.006392067902,1869
global,global,2,living,1545.822668564453,2450
global,global,3,living,2187.141852331602,1760
global,global,4,living,1788.0828070033504,2488
global,global,5,living,1644.2507699771108,2948
global,global,6,living,958.3094703304212,2621
global,global,7,living,1918.0196291338361,2888
global,global,8,living,253.81186713526168,2202
global,global,0,biodiversity,347.9597223111606,3136
global,global,1,biodiversity,2266.7719587096103,1203
global,global,2,biodiversity,1754.5926289895924,3424
global,global,3,biodiversity,2175.753331974483,2220
global,global,4,biodiversity,1680.8788510792963,2798
global,global,5,biodiversity,1893.5407464362502,3248
global,global,6,biodiversity,1960.4876020253619,2994
global,global,7,biodiversity,1736.4666428846701,2607
global,global,8,biodiversity,1820.5339402369818,3704
global,global,0,safety,464.53976908034076,1164
global,global,1,safety,1841.7452544481953,2149
global,global,2,safety,1996.5547467240044,1699
global,global,3,safety,2229.1918395094153,1734
global,global,4,safety,-71.96061596787058,2197
global,global,5,safety,2151.1376567020693,1902
global,global,6,safety,368.81012966047604,1803
global,global,7,safety,1145.8307549077049,2147
global,global,8,safety,1736.9903811419003,2069
gender,man,0,living,1560.9338261978883,1019
gender,man,1,living,1640.6434749506848,1022
gender,man,2,living,686.7954171629174,1229
gender,man,3,living,2072.3524227379153,840
gender,man,4,living,1838.5017227535939,1262
gender,man,5,living,1595.185753118139,1534
gender,man,6,living,1740.771051764404,1327
gender,man,7,living,1926.7582381491954,1431
gender,man,8,living,1448.9621089547436,1184
gender,man,0,biodiversity,647.3532603013688,1653
gender,man,1,biodiversity,2087.2017278900926,670
gender,man,2,biodiversity,1765.431931835371,1688
gender,man,3,biodiversity,2013.5651695901076,1162
gender,man,4,biodiversity,1316.0616076983767,1429
gender,man,5,biodiversity,1683.880509826051,1657
gender,man,6,biodiversity,580.4962354721126,1515
gender,man,7,biodiversity,1979.1426557653454,1331
gender,man,8,biodiversity,1883.6782145841812,1819
gender,man,0,safety,638.7758133780108,577
gender,man,1,safety,1802.9083292314494,1085
gender,man,2,safety,2002.2573839816969,899
gender,man,3,safety,2024.577370834174,910
gender,man,4,safety,222.63816055856074,1093
gender,man,5,safety,1733.1948672636997,997
gender,man,6,safety,1230.256985451855,940
