demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1819.482983318555,2608
global,global,1,living,1685.2378972018316,3100
global,global,2,living,2218.9360267023294,2441
global,global,3,living,2015.6485349000077,3102
global,global,4,living,1945.3630804777288,2751
global,global,5,living,1095.5550640618426,2581
global,global,6,living,2323.0951284796392,1387
global,global,7,living,1064.8559915465498,2276
global,global,8,living,122.08638845604573,1850
global,global,0,biodiversity,716.0361819199325,2579
global,global,1,biodiversity,1126.2069171896744,2234
global,global,2,biodiversity,1662.5441038272934,2255
global,global,3,biodiversity,-96.71358877540749,1175
global,global,4,biodiversity,-1029.9085354697988,1553
global,global,5,biodiversity,1940.8689512063293,1987
global,global,6,biodiversity,2257.375563019207,1584
global,global,7,biodiversity,1365.6348608692704,2693
global,global,8,biodiversity,1812.2469650989592,2430
global,global,0,safety,2337.502618888205,2322
global,global,1,safety,1497.2155968817838,2694
global,global,2,safety,2029.4293022254606,2848
global,global,3,safety,1334.1037237865626,2846
global,global,4,safety,1430.0431137340831,2691
global,global,5,safety,2166.5847608545923,2133
global,global,6,safety,1835.91205309937,2946
global,global,7,safety,-57.90142925120998,1458
global,global,8,safety,1949.473101555135,2776
gender,man,0,living,1543.712579967459,1348
gender,man,1,living,1907.498186126199,1526
gender,man,2,living,2088.336886901634,1209
gender,man,3,living,1694.8733758865242,1517
gender,man,4,living,1876.6565344899025,1370
gender,man,5,living,827.2457995114132,1315
gender,man,6,living,1516.3223693810721,780
gender,man,7,living,1200.4644763423162,1250
gender,man,8,living,709.7043145467998,939
gender,man,0,biodiversity,775.9737994578408,1352
gender,man,1,biodiversity,1305.3225973848168,1169
gender,man,2,biodiversity,1669.7619109097375,1074
gender,man,3,biodiversity,1198.1933847767868,675
gender,man,4,biodiversity,204.81986471277406,827
gender,man,5,biodiversity,1943.1687829972066,954
gender,man,6,biodiversity,1983.7472203961893,788
gender,man,7,biodiversity,1510.436265421021,1413
gender,man,8,biodiversity,1472.65742591177,1258
gender,man,0,safety,2092.720289210996,1170
gender,man,1,safety,1782.3895712965332,1445
gender,man,2,safety,1478.60859083805,1408
gender,man,3,safety,975.7940558227606,1483
gender,man,4,safety,1818.2252126012559,1407
gender,man,5,safety,1901.1911024298465,1160
gender,man,6,safety,1784.167945243431,1553
gender,man,7,safety,383.0484166725756,682
gender,man,8,safety,1762.4810792846006,1352
gender,woman,0,living,1362.0150626937304,1090
gender,woman,1,living,1430.3835254840271,1300
gender,woman,2,living,1830.6477567993625,948
gender,woman,3,living,1583.2145991192865,1210
gender,woman,4,living,217.47967331599472,1089
