demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2277.972877011592,1991
global,global,1,living,575.227238520637,1800
global,global,2,living,1243.1799752631598,2626
global,global,3,living,1681.4749170564094,2289
global,global,4,living,2104.4389034412575,2932
global,global,5,living,1555.8922236662922,2654
global,global,6,living,1027.414595156259,2240
global,global,7,living,2025.241458388889,2442
global,global,8,living,1100.539509901764,2208
global,global,0,biodiversity,1887.469836185448,2102
global,global,1,biodiversity,20.553674579318887,1738
global,global,2,biodiversity,1732.5524130855017,2017
global,global,3,biodiversity,1183.1005226694754,1949
global,global,4,biodiversity,1792.424054653617,1956
global,global,5,biodiversity,1273.1182978211468,2310
global,global,6,biodiversity,2259.636689911358,1697
global,global,7,biodiversity,-307.341812717333,2244
global,global,8,biodiversity,1010.9431495296836,1965
global,global,0,safety,1976.4902843695693,3123
global,global,1,safety,2106.600705705814,3137
global,global,2,safety,2133.773470207357,2827
global,global,3,safety,2261.674445350067,2315
global,global,4,safety,673.1326177276517,2681
global,global,5,safety,425.8015039628952,2722
global,global,6,safety,1532.0737241216218,2855
global,global,7,safety,2398.5842447977793,2096
global,global,8,safety,689.6168154770183,2384
gender,man,0,living,1993.090692087783,1002
gender,man,1,living,1654.302708640909,935
gender,man,2,living,1780.4062889488605,1250
gender,man,3,living,1042.4839443971755,1192
gender,man,4,living,1708.0076909108489,1493
gender,man,5,living,808.5076089561634,1444
gender,man,6,living,1169.465924079279,1149
gender,man,7,living,1943.3203967008317,1250
gender,man,8,living,991.745876301266,1167
gender,man,0,biodiversity,1206.3399602664804,1096
gender,man,1,biodiversity,1299.0587702059718,903
gender,man,2,biodiversity,1476.123154790951,1020
gender,man,3,biodiversity,1367.1871845368046,985
gender,man,4,biodiversity,1895.7047554534104,981
gender,man,5,biodiversity,1030.5804097088965,1245
gender,man,6,biodiversity,1993.2974617006214,846
gender,man,7,biodiversity,886.0365604519133,1142
gender,man,8,biodiversity,1735.6308971058577,1042
gender,man,0,safety,1281.3420333805966,1620
gender,man,1,safety,1694.8508989721577,1561
gender,man,2,safety,2100.142334793217,1353
