demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,-612.2503537078725,1157
global,global,1,living,1730.2893809178543,3054
global,global,2,living,1449.7266551214807,2954
global,global,3,living,2224.268034732069,2743
global,global,4,living,1326.2271204184285,2425
global,global,5,living,1157.4902386776173,2707
global,global,6,living,2075.0164888028844,2390
global,global,7,living,1453.2969491173476,3277
global,global,8,living,2407.430476161175,2023
global,global,0,biodiversity,782.5055659786367,2042
global,global,1,biodiversity,2029.7951130398408,2870
global,global,2,biodiversity,1842.506791343241,1904
global,global,3,biodiversity,1467.1721661312658,3067
global,global,4,biodiversity,2220.6844142061186,2523
global,global,5,biodiversity,1233.8684339734048,2281
global,global,6,biodiversity,353.03263252041233,2826
global,global,7,biodiversity,1589.933165075956,2614
global,global,8,biodiversity,2117.4780142994023,2701
global,global,0,safety,-254.99748742894462,1745
global,global,1,safety,947.553346734005,2132
global,global,2,safety,1524.633489064713,1466
global,global,3,safety,708.5043667503895,1885
global,global,4,safety,2179.626083033593,1496
global,global,5,safety,2003.7639898755626,2159
global,global,6,safety,2097.7277790916114,2534
global,global,7,safety,1174.3882209200203,2122
global,global,8,safety,1874.7511285132437,2203
gender,man,0,living,790.2277002935162,618
gender,man,1,living,1389.6592603701308,1568
gender,man,2,living,1610.1318546321822,1479
gender,man,3,living,1953.6122491634892,1395
gender,man,4,living,1847.2144299515771,1335
gender,man,5,living,1154.2451482057197,1309
gender,man,6,living,1570.739482389177,1299
gender,man,7,living,1881.7448231976318,1683
gender,man,8,living,2175.9074299700246,1010
gender,man,0,biodiversity,1648.1439310439152,1100
gender,man,1,biodiversity,1632.1348841262982,1442
gender,man,2,biodiversity,2037.9159732764322,924
gender,man,3,biodiversity,1728.6998492072073,1591
gender,man,4,biodiversity,1187.475364204263,1350
gender,man,5,biodiversity,1259.004006859429,1171
gender,man,6,biodiversity,1119.7757081033224,1486
gender,man,7,biodiversity,1788.862985656135,1339
gender,man,8,biodiversity,1825.6072812533025,1379
gender,man,0,safety,714.8521747612821,877
gender,man,1,safety,1281.4462859096157,1099
gender,man,2,safety,1691.022550157427,742
gender,man,3,safety,739.4087902877409,889
gender,man,4,safety,1856.8161955851758,791
gender,man,5,safety,2060.6051675728318,1018
gender,man,6,safety,1723.5126355499692,1291
gender,man,7,safety,699.7501212638751,1062
gender,man,8,safety,1787.982877519128,1177
gender,woman,0,living,761.9039199483756,501
gender,woman,1,living,1856.2108107067734,1246
gender,woman,2,living,1120.827014763587,1128
gender,woman,3,living,1775.051847890936,1091
gender,woman,4,living,1242.558636515906,956
gender,woman,5,living,1639.7662910882484,1086
gender,woman,6,living,2027.303825995697,899
gender,woman,7,living,1746.1734290076172,1332
gender,woman,8,living,1893.4988632071763,907
gender,woman,0,biodiversity,801.1334114126134,817
gender,woman,1,biodiversity,1909.7274887114995,1152
gender,woman,2,biodiversity,1661.1309495267346,815
gender,woman,3,biodiversity,1626.6542457912128,1176
gender,woman,4,biodiversity,1996.964174705779,956
gender,woman,5,biodiversity,1443.816861421082,945
gender,woman,6,biodiversity,1806.3379380804058,1148
gender,woman,7,biodiversity,1756.4617306213036,1070
gender,woman,8,biodiversity,1567.3655951520059,1099
gender,woman,0,safety,1158.2993489885778,773
gender,woman,1,safety,1284.9868430527351,868
gender,woman,2,safety,1837.4068466422896,605
gender,woman,3,safety,1621.9713881843456,799
gender,woman,4,safety,1916.8315182909362,598
gender,woman,5,safety,1806.488333903931,858
gender,woman,6,safety,1656.2094021266246,956
gender,woman,7,safety,1730.3270833819797,854
