demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1197.710282396791,2455
global,global,1,living,1928.619722431006,1795
global,global,2,living,1959.4100805341122,2577
global,global,3,living,2271.615979993504,2506
global,global,4,living,2152.786142185459,2113
global,global,5,living,2010.399124635133,2171
global,global,6,living,808.7795191685,2297
global,global,7,living,1139.4162092664187,1936
global,global,8,living,2224.896628133466,1988
global,global,0,biodiversity,1466.936804400218,2410
global,global,1,biodiversity,126.32376979296015,2277
global,global,2,biodiversity,1179.2021346980093,2112
global,global,3,biodiversity,740.9415448864786,1832
global,global,4,biodiversity,1862.983705669858,2079
global,global,5,biodiversity,2223.5919259725815,1859
global,global,6,biodiversity,2068.71955955514,1321
global,global,7,biodiversity,822.8056907097488,1861
global,global,8,biodiversity,2117.904299619394,2129
global,global,0,safety,441.20999801270574,1750
global,global,1,safety,1270.001880691244,3000
global,global,2,safety,2468.6062708165678,3193
global,global,3,safety,2314.805725516899,3168
global,global,4,safety,2561.3404232888674,2882
global,global,5,safety,2210.304052345875,2784
global,global,6,safety,2377.989743766155,2876
global,global,7,safety,1980.6930686452058,3339
global,global,8,safety,1341.2940463169966,2590
gender,man,0,living,1892.6315920654226,1287
gender,man,1,living,1213.884439272741,892
gender,man,2,living,1632.3469503311208,1326
gender,man,3,living,2043.0221633700787,1243
gender,man,4,living,1935.9352891041015,1143
gender,man,5,living,1689.081314749506,1096
gender,man,6,living,992.4049947765691,1223
gender,man,7,living,1677.2135956108716,982
gender,man,8,living,1969.0183801024832,1030
gender,man,0,biodiversity,1088.942930637557,1238
gender,man,1,biodiversity,1301.1387314703136,1153
gender,man,2,biodiversity,1568.8138093648188,1117
gender,man,3,biodiversity,961.2159183805289,908
gender,man,4,biodiversity,1948.768437684898,1027
gender,man,5,biodiversity,1430.8060894618122,959
gender,man,6,biodiversity,1907.554756070733,633
gender,man,7,biodiversity,1554.2068797171949,951
gender,man,8,biodiversity,1221.9695313299064,1114
gender,man,0,safety,1142.7028949610635,923
gender,man,1,safety,1737.304257698459,1638
gender,man,2,safety,155.34052938377556,1600
gender,man,3,safety,1827.3910880826418,1631
gender,man,4,safety,1503.7089376867366,1385
gender,man,5,safety,2060.0433523037777,1435
gender,man,6,safety,2114.2872784108727,1416
gender,man,7,safety,1188.3017234314818,1690
gender,man,8,safety,1619.0473388953599,1384
gender,woman,0,living,601.4481454092152,1032
gender,woman,1,living,1801.8876131976374,675
gender,woman,2,living,915.2680420645653,1041
gender,woman,3,living,1276.419993252415,993
gender,woman,4,living,1489.5042374990421,816
gender,woman,5,living,1903.038797743627,824
gender,woman,6,living,1466.603961966984,917
gender,woman,7,living,1619.6280691387863,804
gender,woman,8,living,1872.2709952377052,736
gender,woman,0,biodiversity,1927.5118860932419,969
gender,woman,1,biodiversity,904.4853446454467,994
gender,woman,2,biodiversity,1610.7995832020943,902
gender,woman,3,biodiversity,1461.0957223935513,829
gender,woman,4,biodiversity,1137.1044481602742,833
gender,woman,5,biodiversity,1797.3706877980644,779
gender,woman,6,biodiversity,1728.822425065704,553
gender,woman,7,biodiversity,1181.0341205335537,760
gender,woman,8,biodiversity,1851.4918920167734,803
gender,woman,0,safety,1127.1622568184566,702
gender,woman,1,safety,1620.879517744869,1232
gender,woman,2,safety,1996.7711359189018,1244
gender,woman,3,safety,2060.09833171428,1247
gender,woman,4,safety,1238.4155324628593,1136
gender,woman,5,safety,925.6848621579124,1154
gender,woman,6,safety,1906.5613868991122,1161
gender,woman,7,safety,1945.8261291797312,1254
gender,woman,8,safety,1303.8686809065816,1078
gender,other,0,living,1428.6424891477195,16
gender,other,1,living,1535.68853760755,17
gender,other,2,living,1511.7659776845776,15
gender,other,3,living,1511.7293108671695,17
gender,other,4,living,1548.0129140776182,6
gender,other,5,living,1475.6647061350661,10
gender,other,6,living,1475.9907406914335,8
gender,other,7,living,1452.0239848903684,8
gender,other,8,living,1559.6704918772916,11
gender,other,0,biodiversity,1470.644300046896,17
gender,other,1,biodiversity,1476.7900177419922,18
gender,other,2,biodiversity,1493.733869199402,13
gender,other,3,biodiversity,1443.5899864756066,15
gender,other,4,biodiversity,1561.8278257064073,11
gender,other,5,biodiversity,1524.4490759359749,10
gender,other,6,biodiversity,1509.6992401924958,11
gender,other,7,biodiversity,1499.783043110257,14
gender,other,8,biodiversity,1539.406708391066,17
gender,other,0,safety,1535.553373330443,11
gender,other,1,safety,1414.5284162273463,15
gender,other,2,safety,1570.0194910391756,10
gender,other,3,safety,1511.991520987043,11
gender,other,4,safety,1554.028843764705,7
gender,other,5,safety,1487.1970231274286,13
gender,other,6,safety,1499.9028143449289,8
gender,other,7,safety,1446.9650787793696,12
gender,other,8,safety,1462.8206402813755,17
age,younger,0,living,1452.1289634239852,743
age,younger,1,living,1811.930345321483,453
age,younger,2,living,1307.635538882064,740
age,younger,3,living,1493.376293120677,749
age,younger,4,living,1855.5613743063275,597
age,younger,5,living,1260.5270682016076,634
age,younger,6,living,1241.2654690473792,681
age,younger,7,living,1266.2489862896446,509
age,younger,8,living,1832.1162366922733,524
age,younger,0,biodiversity,892.756773916473,681
age,younger,1,biodiversity,1181.1336663302682,634
age,younger,2,biodiversity,1552.6021208287573,623
age,younger,3,biodiversity,1021.3943624474118,445
