demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2131.450433951349,2641
global,global,1,living,1864.4458163696386,3114
global,global,2,living,1755.8740805160785,2872
global,global,3,living,1288.276183227934,2883
global,global,4,living,1987.4638534985381,3475
global,global,5,living,2439.203843458458,2795
global,global,6,living,1611.2622466844612,3366
global,global,7,living,848.7878582549442,2415
global,global,8,living,2267.448734697846,2879
global,global,0,biodiversity,1706.4459814578688,2531
global,global,1,biodiversity,662.8066876769343,2638
global,global,2,biodiversity,2353.8168492124805,2862
global,global,3,biodiversity,2243.8917305158116,1955
global,global,4,biodiversity,2156.6599103881535,2742
global,global,5,biodiversity,2080.01886026116,2733
global,global,6,biodiversity,1544.1569414504725,2972
global,global,7,biodiversity,23.351916925642293,1294
global,global,8,biodiversity,1640.925887474646,2849
global,global,0,safety,2070.045503839886,1502
global,global,1,safety,730.9335673953839,1164
global,global,2,safety,1906.599198651391,1719
global,global,3,safety,1240.0190447618297,1572
global,global,4,safety,507.0700931438327,1595
global,global,5,safety,2191.895936314381,1725
global,global,6,safety,1981.2205657889813,1623
global,global,7,safety,1760.7945690932913,1848
global,global,8,safety,939.4624544992264,1536
gender,man,0,living,1956.5692633872695,1318
gender,man,1,living,1624.383477762629,1582
gender,man,2,living,1048.14259973653,1488
gender,man,3,living,1856.8003334120772,1488
gender,man,4,living,2031.7349139571647,1800
gender,man,5,living,2120.9670150987245,1449
gender,man,6,living,906.9489378322746,1705
gender,man,7,living,308.20359079630737,1211
gender,man,8,living,1399.8156621741075,1483
gender,man,0,biodiversity,8.536580248917403,1315
gender,man,1,biodiversity,1423.5959108775357,1358
gender,man,2,biodiversity,2155.5319375842255,1478
gender,man,3,biodiversity,1680.839314113618,945
gender,man,4,biodiversity,1770.1814111232964,1428
gender,man,5,biodiversity,1736.6129781160575,1368
gender,man,6,biodiversity,1891.7973362141397,1541
gender,man,7,biodiversity,1071.113691270371,700
gender,man,8,biodiversity,1331.9052620282441,1487
gender,man,0,safety,1825.4143928901544,756
gender,man,1,safety,1498.9276540453952,621
gender,man,2,safety,1908.2857565627512,860
gender,man,3,safety,927.3893482988518,827
gender,man,4,safety,1259.9574343679608,798
gender,man,5,safety,1707.9663329278453,890
gender,man,6,safety,1871.8361739503507,760
gender,man,7,safety,1770.8440808599723,979
gender,man,8,safety,685.0449591119502,789
gender,woman,0,living,1964.356535172317,1050
gender,woman,1,living,1558.8241695844629,1266
gender,woman,2,living,1422.9098995223765,1121
gender,woman,3,living,1403.380991441221,1191
gender,woman,4,living,1566.2089135322356,1426
gender,woman,5,living,1218.151701377374,1142
gender,woman,6,living,1899.2454203272591,1332
gender,woman,7,living,1775.7578466610232,985
gender,woman,8,living,1937.2883294980154,1203
gender,woman,0,biodiversity,1960.3236645894897,972
gender,woman,1,biodiversity,1047.0875773479363,1103
gender,woman,2,biodiversity,1794.203999550012,1144
gender,woman,3,biodiversity,1510.56714163564,809
gender,woman,4,biodiversity,1609.4056307148653,1051
gender,woman,5,biodiversity,1733.0105096034288,1100
gender,woman,6,biodiversity,1222.1253908524172,1197
gender,woman,7,biodiversity,758.7704409923398,521
gender,woman,8,biodiversity,1993.428210086462,1077
gender,woman,0,safety,1700.9588245291386,582
gender,woman,1,safety,1109.6275104705128,476
gender,woman,2,safety,1796.3472084945722,698
gender,woman,3,safety,1759.2031229083968,622
gender,woman,4,safety,1145.7361920332396,640
gender,woman,5,safety,1925.9192074180064,675
gender,woman,6,safety,500.0506259505439,677
gender,woman,7,safety,1061.9273629208876,786
gender,woman,8,safety,1570.1196807076942,622
gender,other,0,living,1412.4213674499651,7
gender,other,1,living,1521.3642504166944,14
gender,other,2,living,1506.2905792450738,19
gender,other,3,living,1544.9205018957011,20
gender,other,4,living,1453.4491617567296,14
gender,other,5,living,1550.5568156801496,14
gender,other,6,living,1422.2903459049635,20
gender,other,7,living,1571.9840749706625,8
gender,other,8,living,1498.6669077971826,14
gender,other,0,biodiversity,1527.687914121677,18
gender,other,1,biodiversity,1456.013915298727,10
gender,other,2,biodiversity,1464.3162719887189,17
gender,other,3,biodiversity,1552.1125783994576,10
gender,other,4,biodiversity,1486.2257840785799,15
gender,other,5,biodiversity,1500.7602602508564,14
gender,other,6,biodiversity,1442.2579691189724,17
gender,other,7,biodiversity,1569.9636718722707,18
gender,other,8,biodiversity,1514.5923826910407,23
gender,other,0,safety,1502.0519682881234,8
gender,other,1,safety,1476.0,10
gender,other,2,safety,1538.0519682881234,7
gender,other,3,safety,1487.1438005824743,7
gender,other,4,safety,1524.0,6
gender,other,5,safety,1452.0,4
gender,other,6,safety,1511.9714152559184,11
gender,other,7,safety,1464.0,5
gender,other,8,safety,1547.172385326556,8
age,younger,0,living,1757.12933973898,732
age,younger,1,living,1751.4803804987848,865
age,younger,2,living,1194.2618702043865,793
age,younger,3,living,1560.413870507717,751
age,younger,4,living,1810.4341354225508,939
age,younger,5,living,1912.3806420499018,801
age,younger,6,living,1116.312233577423,990
age,younger,7,living,1700.9546092581033,687
age,younger,8,living,1656.6984948833963,686
age,younger,0,biodiversity,1910.1547833811012,645
age,younger,1,biodiversity,1124.7929118668158,758
age,younger,2,biodiversity,1756.3793317342938,805
age,younger,3,biodiversity,1676.4309479136768,589
age,younger,4,biodiversity,1452.429392949881,736
age,younger,5,biodiversity,1705.7192801469241,759
age,younger,6,biodiversity,1607.475637491195,880
age,younger,7,biodiversity,1203.6537347530393,387
age,younger,8,biodiversity,1540.0701709702348,763
age,younger,0,safety,1357.8732297889374,388
age,younger,1,safety,1442.8959766087646,368
age,younger,2,safety,1494.0152393067822,509
age,younger,3,safety,1703.9392389337554,458
age,younger,4,safety,1101.388728371323,445
age,younger,5,safety,1855.9406205100734,508
age,younger,6,safety,1602.8712164016142,491
age,younger,7,safety,1648.8331973275012,569
age,younger,8,safety,1791.4592123027826,480
age,middle,0,living,1919.8017301568575,1053
age,middle,1,living,2061.117997724495,1327
age,middle,2,living,1638.0684660152776,1239
age,middle,3,living,1444.3091145694525,1300
age,middle,4,living,1017.6057104011885,1536
age,middle,5,living,910.0939577915208,1182
age,middle,6,living,1877.827050212991,1367
age,middle,7,living,282.35996662777467,958
age,middle,8,living,1485.0081735648373,1380
age,middle,0,biodiversity,568.9965000708731,1124
age,middle,1,biodiversity,1515.4553376625759,1161
age,middle,2,biodiversity,1731.501517520423,1203
age,middle,3,biodiversity,1941.2499557595258,763
