demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,651.1885543814797,2692
global,global,1,living,1991.849854897814,2171
global,global,2,living,1821.0902068944924,2864
global,global,3,living,-155.2745378123533,1517
global,global,4,living,1907.8045338682275,3106
global,global,5,living,2238.076542124913,2319
global,global,6,living,1590.4379833680516,2013
global,global,7,living,1046.0675478675219,2812
global,global,8,living,1740.0462898652233,2226
global,global,0,biodiversity,1098.801907627501,2297
global,global,1,biodiversity,2167.0924200114314,1446
global,global,2,biodiversity,1867.5726965149622,2797
global,global,3,biodiversity,2106.9258187638666,2387
global,global,4,biodiversity,1999.9585585415427,3331
global,global,5,biodiversity,2239.602081277271,2328
global,global,6,biodiversity,1747.9963525765802,2891
global,global,7,biodiversity,348.23305011295815,2334
global,global,8,biodiversity,1021.3519662281195,1469
global,global,0,safety,1874.1598354505913,2826
global,global,1,safety,2124.334159332218,2108
global,global,2,safety,849.5591700894134,2867
global,global,3,safety,1316.2858038908569,2666
global,global,4,safety,2047.878197584694,1570
global,global,5,safety,164.10837294098036,1641
global,global,6,safety,1015.8777432490272,2480
global,global,7,safety,696.5629084165803,2099
global,global,8,safety,1755.443989635701,2043
gender,man,0,living,707.9351510287895,1397
gender,man,1,living,1968.9633991631035,1040
gender,man,2,living,1826.3584306280827,1545
gender,man,3,living,1074.324180909,859
gender,man,4,living,743.231996888702,1602
gender,man,5,living,1999.1611177433924,1227
gender,man,6,living,1601.3871639064234,1011
gender,man,7,living,794.6496056365384,1496
gender,man,8,living,1636.7912895469601,1131
gender,man,0,biodiversity,1714.075941565056,1212
gender,man,1,biodiversity,1755.6722152810553,761
gender,man,2,biodiversity,1893.1425772958391,1376
gender,man,3,biodiversity,2051.406981802503,1160
gender,man,4,biodiversity,1920.6109777205365,1733
gender,man,5,biodiversity,1797.9958339109733,1196
gender,man,6,biodiversity,1346.8094430227832,1507
gender,man,7,biodiversity,747.3691869185999,1200
gender,man,8,biodiversity,1410.1697301133265,759
gender,man,0,safety,1750.6406109335367,1445
