demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1629.6666187584292,2053
global,global,1,living,1975.7976003207168,2321
global,global,2,living,2196.146206162625,1970
global,global,3,living,1463.176298590204,1918
global,global,4,living,1356.7323486016346,2767
global,global,5,living,2300.064852327609,2153
global,global,6,living,2118.157360131327,2556
global,global,7,living,802.5422068025165,2468
global,global,8,living,1113.254625630272,2244
global,global,0,biodiversity,1771.183635225723,1859
global,global,1,biodiversity,795.3788874829607,2091
global,global,2,biodiversity,2321.1934738482064,2675
global,global,3,biodiversity,286.0948826548468,2691
global,global,4,biodiversity,821.388530794099,2573
global,global,5,biodiversity,1726.6366583507904,2512
global,global,6,biodiversity,891.0795659216818,2548
global,global,7,biodiversity,2210.964831755741,2285
global,global,8,biodiversity,2018.505957701662,1918
global,global,0,safety,1156.6953539060678,2411
global,global,1,safety,1915.0604633213477,2936
global,global,2,safety,595.6812038307426,1349
global,global,3,safety,1031.512403619324,3056
global,global,4,safety,370.51763954212345,2550
global,global,5,safety,1654.718633343171,2497
global,global,6,safety,2340.003829456942,1873
global,global,7,safety,2207.32346563997,2467
global,global,8,safety,1222.6514145309561,2559
gender,man,0,living,1806.5933683978221,1037
gender,man,1,living,1347.6134398083293,1169
gender,man,2,living,1886.5768126000557,1002
gender,man,3,living,1840.5848245890888,981
gender,man,4,living,1441.4100249614908,1384
gender,man,5,living,2025.3564224034794,1142
gender,man,6,living,536.933296907508,1301
gender,man,7,living,1420.2818099429367,1306
gender,man,8,living,740.9509284570872,1170
gender,man,0,biodiversity,1811.2722282325612,881
gender,man,1,biodiversity,575.3009489862358,1013
gender,man,2,biodiversity,1786.3157576555334,1418
gender,man,3,biodiversity,774.332978698684,1355
gender,man,4,biodiversity,1618.8514490730481,1297
gender,man,5,biodiversity,1025.5044266136435,1322
gender,man,6,biodiversity,1734.8097644323816,1333
gender,man,7,biodiversity,2110.65919889322,1172
gender,man,8,biodiversity,1582.2108304913263,1003
gender,man,0,safety,1664.1046480630882,1183
gender,man,1,safety,1752.4815823332383,1489
gender,man,2,safety,1158.0956298657725,745
gender,man,3,safety,1731.6837374439,1580
gender,man,4,safety,983.1141145607979,1297
gender,man,5,safety,1827.2320434826004,1305
gender,man,6,safety,2103.5961365424655,971
gender,man,7,safety,1969.0512617970383,1190
gender,man,8,safety,1625.2345598414347,1378
gender,woman,0,living,-16.913441562624016,821
gender,woman,1,living,1682.6839109444918,961
gender,woman,2,living,1753.5937593187396,763
gender,woman,3,living,682.3985950954252,850
gender,woman,4,living,497.45450847563774,1105
gender,woman,5,living,1818.0744973317553,805
gender,woman,6,living,1998.2518512478066,988
gender,woman,7,living,916.6140714401918,992
gender,woman,8,living,1656.4087146055972,959
gender,woman,0,biodiversity,1633.8852143451236,691
gender,woman,1,biodiversity,1554.998446565829,929
