demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1742.6869668079703,1990
global,global,1,living,1387.1174651685328,2664
global,global,2,living,732.7810092775458,2214
global,global,3,living,-283.3059368500308,1685
global,global,4,living,2178.9987845809173,2715
global,global,5,living,2280.2283068641163,1977
global,global,6,living,1603.0578613243802,2563
global,global,7,living,1210.4043958034574,2884
global,global,8,living,829.2738769788692,2620
global,global,0,biodiversity,1961.2964017172742,2045
global,global,1,biodiversity,-304.5116196224846,2483
global,global,2,biodiversity,597.346248883928,2236
global,global,3,biodiversity,1502.685755212571,2456
global,global,4,biodiversity,1124.3009931791055,2341
global,global,5,biodiversity,2299.373432224394,2064
global,global,6,biodiversity,1373.3754719764727,3061
global,global,7,biodiversity,282.3726675827745,2286
global,global,8,biodiversity,1650.282571505662,2896
global,global,0,safety,1122.7609645299249,2460
global,global,1,safety,761.2829879546691,2490
global,global,2,safety,1196.0747621962648,2174
global,global,3,safety,-358.464847352552,1713
global,global,4,safety,1812.2268181867162,2293
global,global,5,safety,1987.3437505398263,1990
global,global,6,safety,694.9135907133247,2835
global,global,7,safety,2227.912143632696,1527
global,global,8,safety,1852.697051132201,2638
gender,man,0,living,1611.3365684785801,1054
gender,man,1,living,1885.6369821633211,1356
gender,man,2,living,1237.0857982720895,1105
gender,man,3,living,745.8372528623022,910
gender,man,4,living,1867.9902713909405,1393
gender,man,5,living,2101.2955250896835,967
gender,man,6,living,986.0338981909265,1282
gender,man,7,living,1068.8190116454177,1468
gender,man,8,living,1221.4662126745716,1429
gender,man,0,biodiversity,1987.853739833916,1006
gender,man,1,biodiversity,1580.6476609135273,1357
gender,man,2,biodiversity,1613.9454795312133,1160
gender,man,3,biodiversity,1945.617608163104,1202
gender,man,4,biodiversity,813.9326803053378,1194
gender,man,5,biodiversity,1911.0603451670027,1048
gender,man,6,biodiversity,1256.379132069128,1594
gender,man,7,biodiversity,1444.7677161204356,1236
gender,man,8,biodiversity,1835.0568627640844,1581
gender,man,0,safety,1298.77636664891,1236
gender,man,1,safety,757.6043564486008,1209
gender,man,2,safety,1080.7588183937044,1121
gender,man,3,safety,-252.4255899828987,858
gender,man,4,safety,1909.2326014353118,1142
gender,man,5,safety,1642.0101452220315,930
gender,man,6,safety,723.2509494270925,1422
gender,man,7,safety,1991.5042188599725,818
gender,man,8,safety,1859.174449002908,1346
gender,woman,0,living,1655.862555581237,756
gender,woman,1,living,1528.5555453149207,1070
gender,woman,2,living,1310.523096379289,899
gender,woman,3,living,735.0607397202148,684
gender,woman,4,living,1985.080561978689,1099
gender,woman,5,living,1794.7899874257039,850
gender,woman,6,living,1957.638685395392,998
gender,woman,7,living,1652.3895629125045,1160
gender,woman,8,living,979.221087966364,976
gender,woman,0,biodiversity,2007.2469171538341,888
gender,woman,1,biodiversity,793.2087491357463,967
gender,woman,2,biodiversity,1292.0613825484563,880
gender,woman,3,biodiversity,1004.2383755886613,1007
gender,woman,4,biodiversity,1886.7742957961689,891
gender,woman,5,biodiversity,1935.6930493694922,853
gender,woman,6,biodiversity,1776.3866283170235,1229
gender,woman,7,biodiversity,833.9646003626934,928
gender,woman,8,biodiversity,1609.2940992905342,1173
gender,woman,0,safety,1312.2002485486787,1030
gender,woman,1,safety,1362.1419123466728,921
gender,woman,2,safety,1675.7437529735914,869
gender,woman,3,safety,1275.3529188304517,767
gender,woman,4,safety,1837.129325485202,908
gender,woman,5,safety,1722.9119940969008,810
gender,woman,6,safety,1753.7938064022599,1177
gender,woman,7,safety,1977.3168520715467,584
gender,woman,8,safety,1701.069378302594,1094
gender,other,0,living,1463.9141535169615,9
gender,other,1,living,1424.1243493127056,10
gender,other,2,living,1476.0526822118043,12
gender,other,3,living,1559.98150044849,7
gender,other,4,living,1535.0266936668734,13
gender,other,5,living,1497.4620099164586,20
gender,other,6,living,1510.4815237983776,17
gender,other,7,living,1580.2216695026368,21
gender,other,8,living,1437.7782331617382,13
gender,other,0,biodiversity,1428.0990567307963,8
gender,other,1,biodiversity,1548.0428021816092,8
gender,other,2,biodiversity,1460.7324151657533,11
gender,other,3,biodiversity,1568.7515092161948,12
gender,other,4,biodiversity,1530.896952586294,9
gender,other,5,biodiversity,1500.825031814385,10
gender,other,6,biodiversity,1448.5199497141627,14
gender,other,7,biodiversity,1489.6201995908925,13
gender,other,8,biodiversity,1513.2266258878938,11
gender,other,0,safety,1510.8458053353559,17
gender,other,1,safety,1422.824031729965,16
gender,other,2,safety,1511.662478069584,11
gender,other,3,safety,1451.8481717838076,12
gender,other,4,safety,1453.8348692118936,12
gender,other,5,safety,1564.2454274594884,17
gender,other,6,safety,1554.7511848872734,15
gender,other,7,safety,1536.6237694154079,9
gender,other,8,safety,1488.7880736883944,11
age,younger,0,living,1747.1789494943728,577
age,younger,1,living,1629.383905869974,768
age,younger,2,living,1593.752257524314,599
age,younger,3,living,1482.2594128571511,563
age,younger,4,living,1894.1297945915169,758
age,younger,5,living,1794.4550955225295,541
age,younger,6,living,1295.4718884891502,704
age,younger,7,living,1870.8545245282457,835
age,younger,8,living,1121.5403419808072,777
age,younger,0,biodiversity,1867.759639431764,575
age,younger,1,biodiversity,1074.503083011393,668
age,younger,2,biodiversity,756.7780839030788,553
age,younger,3,biodiversity,1902.6240214151778,676
age,younger,4,biodiversity,1681.6866607559418,636
age,younger,5,biodiversity,1539.9221864581818,646
age,younger,6,biodiversity,1781.5388982787683,853
age,younger,7,biodiversity,1630.289614357268,676
age,younger,8,biodiversity,1386.5846380991306,865
age,younger,0,safety,1247.9474155833584,701
age,younger,1,safety,1656.1383944113306,616
age,younger,2,safety,969.1236777323215,599
age,younger,3,safety,1010.8117853894263,490
age,younger,4,safety,1813.4643299548143,611
age,younger,5,safety,1688.1476622601713,518
age,younger,6,safety,1324.4892623219257,729
age,younger,7,safety,1904.2853739808763,470
