demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2338.9939393226623,2557
global,global,1,living,2134.48135953958,2346
global,global,2,living,2018.2184852583712,3087
global,global,3,living,1681.8335236772261,2560
global,global,4,living,1705.0706669830738,2412
global,global,5,living,1634.3231600515205,2343
global,global,6,living,2062.147894989919,2326
global,global,7,living,790.6891396695669,2693
global,global,8,living,2242.628469548241,2634
global,global,0,biodiversity,967.9991909169722,1531
global,global,1,biodiversity,1687.0332594516726,2116
global,global,2,biodiversity,1532.690273207427,2629
global,global,3,biodiversity,2081.717343628961,1681
global,global,4,biodiversity,1843.4290914025974,2081
global,global,5,biodiversity,1074.441937679331,2670
global,global,6,biodiversity,1400.4220737576786,2504
global,global,7,biodiversity,1957.5840137168314,2239
global,global,8,biodiversity,2194.782706563953,1427
global,global,0,safety,578.8106523822385,2417
global,global,1,safety,1576.5659613099565,2587
global,global,2,safety,1703.2330972647949,2377
global,global,3,safety,2277.4343203393296,2076
global,global,4,safety,1021.0502457536574,2222
global,global,5,safety,694.8979986566264,2066
global,global,6,safety,1483.166054755367,2813
global,global,7,safety,1941.9578653151743,2369
global,global,8,safety,2182.234833558195,2537
gender,man,0,living,1617.6444085071766,1303
gender,man,1,living,1579.4902352835165,1204
gender,man,2,living,1911.4964118256967,1577
gender,man,3,living,768.8875801712996,1365
gender,man,4,living,1938.48050785466,1262
gender,man,5,living,1995.2282896391712,1220
gender,man,6,living,1952.2597801111658,1084
gender,man,7,living,1642.5471852559167,1432
gender,man,8,living,1796.4865252107109,1377
gender,man,0,biodiversity,1634.8371247504504,889
gender,man,1,biodiversity,1809.345869146349,1029
gender,man,2,biodiversity,1234.0842204337655,1321
gender,man,3,biodiversity,1915.1700841462402,866
gender,man,4,biodiversity,1976.6197588788755,1041
gender,man,5,biodiversity,677.1387722580307,1324
gender,man,6,biodiversity,623.8034549884544,1264
gender,man,7,biodiversity,1597.7643673580121,1173
gender,man,8,biodiversity,1441.2799822495265,727
gender,man,0,safety,-532.0141860630446,1201
gender,man,1,safety,1818.1802196581698,1281
gender,man,2,safety,1522.6346694913861,1313
gender,man,3,safety,1960.7511787847145,1008
gender,man,4,safety,1016.5639383693539,1139
gender,man,5,safety,1705.308693948822,1096
gender,man,6,safety,1899.0967685850808,1439
gender,man,7,safety,1548.0737106444687,1206
gender,man,8,safety,2007.2519198302034,1283
gender,woman,0,living,1760.44219662756,1096
gender,woman,1,living,1709.771857521304,925
gender,woman,2,living,1413.4421298918621,1231
gender,woman,3,living,2026.6985339614098,977
gender,woman,4,living,1247.9994328316136,965
gender,woman,5,living,574.525721099289,926
gender,woman,6,living,1414.6620027431907,978
gender,woman,7,living,907.0257926316507,1029
gender,woman,8,living,1934.843346475361,1063
gender,woman,0,biodiversity,855.0777078177709,590
gender,woman,1,biodiversity,1428.9918968936377,879
gender,woman,2,biodiversity,543.9227112760509,1065
gender,woman,3,biodiversity,1864.8474702351891,681
gender,woman,4,biodiversity,1393.6944245177704,839
gender,woman,5,biodiversity,1698.8806890166773,1064
gender,woman,6,biodiversity,1832.4116161121403,941
gender,woman,7,biodiversity,1075.5042791802637,838
gender,woman,8,biodiversity,1927.3728932210972,599
gender,woman,0,safety,1687.1319081381484,1000
gender,woman,1,safety,1546.6836179681534,1092
gender,woman,2,safety,1955.2141656434112,946
gender,woman,3,safety,1975.9505291046348,900
gender,woman,4,safety,1347.7537099567646,895
gender,woman,5,safety,587.2670858209254,825
gender,woman,6,safety,984.3548202861496,1150
gender,woman,7,safety,1711.6977923503985,952
gender,woman,8,safety,1546.0849218372716,1022
gender,other,0,living,1531.1635406478213,21
gender,other,1,living,1498.078041436645,16
gender,other,2,living,1439.6529833546292,11
gender,other,3,living,1477.989062579098,10
gender,other,4,living,1514.4637703690248,11
gender,other,5,living,1463.072550353193,15
gender,other,6,living,1439.2984769275747,7
gender,other,7,living,1559.7313106925783,15
gender,other,8,living,1570.3350748757025,12
gender,other,0,biodiversity,1499.4702373786824,10
gender,other,1,biodiversity,1524.3695063621517,8
gender,other,2,biodiversity,1488.501232154245,15
gender,other,3,biodiversity,1440.000001324529,7
gender,other,4,biodiversity,1451.5271633914401,8
gender,other,5,biodiversity,1559.9586705956908,5
gender,other,6,biodiversity,1477.2496300369432,10
gender,other,7,biodiversity,1512.4235717425095,17
gender,other,8,biodiversity,1547.9736636455866,16
gender,other,0,safety,1435.8738277522607,9
gender,other,1,safety,1476.014349297426,18
gender,other,2,safety,1422.3076899857326,10
gender,other,3,safety,1450.4422661397482,18
gender,other,4,safety,1509.5096810430603,15
gender,other,5,safety,1598.9752774861424,11
gender,other,6,safety,1476.6855713415596,14
gender,other,7,safety,1533.8826499229694,15
gender,other,8,safety,1562.56805461018,14
age,younger,0,living,1802.4342676023316,807
age,younger,1,living,1742.612037215993,682
age,younger,2,living,984.134149925029,804
age,younger,3,living,1423.8626109985307,795
age,younger,4,living,1915.9955693185477,692
age,younger,5,living,1850.919952534308,677
age,younger,6,living,1546.5708434419826,658
age,younger,7,living,1271.7032122310811,707
age,younger,8,living,1228.3618265746125,724
