demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,462.13610535268884,2133
global,global,1,living,2220.9930874554307,1793
global,global,2,living,1434.586335140962,2704
global,global,3,living,1784.645973953027,2537
global,global,4,living,2103.144394067928,2633
global,global,5,living,1377.5809497835462,2035
global,global,6,living,1841.3878230433281,2487
global,global,7,living,904.3623794656781,2513
global,global,8,living,1970.0484480640253,2383
global,global,0,biodiversity,2056.8757829340575,2589
global,global,1,biodiversity,2157.6839646338294,2402
global,global,2,biodiversity,1540.6487889115672,2073
global,global,3,biodiversity,454.28744586609747,3148
global,global,4,biodiversity,1306.8790816379644,2056
global,global,5,biodiversity,678.4112326494898,2585
global,global,6,biodiversity,404.647318251181,2596
global,global,7,biodiversity,2291.4979671116294,1862
global,global,8,biodiversity,1732.969406521065,2643
global,global,0,safety,1994.0149595917449,2650
global,global,1,safety,1589.3395941256993,2498
global,global,2,safety,2345.081841384342,2150
global,global,3,safety,661.5869950185162,2405
global,global,4,safety,1046.4807122613217,2081
global,global,5,safety,1894.7716068356463,2292
global,global,6,safety,2135.0360942789216,2460
global,global,7,safety,1423.3938074764608,1904
global,global,8,safety,-60.941826934491786,1688
gender,man,0,living,976.8167604042634,1097
gender,man,1,living,1992.438616585738,840
gender,man,2,living,1557.2288890263146,1364
gender,man,3,living,1164.5314916743337,1275
gender,man,4,living,1888.1530405294607,1380
gender,man,5,living,1739.5224609637678,978
gender,man,6,living,1804.8515329563616,1319
gender,man,7,living,144.743572682571,1225
gender,man,8,living,1389.0855065486578,1216
gender,man,0,biodiversity,1801.0906679222282,1340
gender,man,1,biodiversity,936.7846822201977,1168
gender,man,2,biodiversity,2066.708211426786,1022
gender,man,3,biodiversity,1480.4895045071373,1683
gender,man,4,biodiversity,802.2336466057715,1016
gender,man,5,biodiversity,1738.9528531062738,1409
gender,man,6,biodiversity,1570.2479743603935,1299
gender,man,7,biodiversity,1645.0613005160874,927
gender,man,8,biodiversity,1944.5318056676113,1342
gender,man,0,safety,1802.5959288796641,1354
gender,man,1,safety,1984.8835299124712,1269
gender,man,2,safety,2064.99900264748,1131
gender,man,3,safety,1308.6644561739797,1278
gender,man,4,safety,1590.446378885051,1083
gender,man,5,safety,1756.7348920105999,1192
gender,man,6,safety,1851.6441057172776,1294
gender,man,7,safety,1892.5836787950186,1029
gender,man,8,safety,1026.524134363019,894
gender,woman,0,living,1131.6579359511047,873
gender,woman,1,living,1721.3285993154711,844
gender,woman,2,living,1941.606390393069,1056
gender,woman,3,living,1835.4196767755416,1080
gender,woman,4,living,1974.4603880991087,1116
gender,woman,5,living,1770.8295649566348,805
gender,woman,6,living,1629.3467578818309,933
gender,woman,7,living,1679.5920950600664,998
gender,woman,8,living,961.7747740529292,903
gender,woman,0,biodiversity,1945.2640631717272,1022
gender,woman,1,biodiversity,1987.693359474141,941
gender,woman,2,biodiversity,1479.3926681816904,929
gender,woman,3,biodiversity,1400.1734768352364,1274
gender,woman,4,biodiversity,1469.8789552456672,873
gender,woman,5,biodiversity,1332.3196013262725,1052
gender,woman,6,biodiversity,1301.8914099136723,1028
gender,woman,7,biodiversity,1694.5020929616958,748
gender,woman,8,biodiversity,1219.6923886739012,1041
gender,woman,0,safety,1678.3220342595152,973
gender,woman,1,safety,1388.2067414389692,982
gender,woman,2,safety,1811.7843390826406,909
gender,woman,3,safety,1549.5442835833487,981
gender,woman,4,safety,1043.2312644470223,827
gender,woman,5,safety,1701.5798959236608,858
gender,woman,6,safety,2060.932688052698,928
gender,woman,7,safety,1488.5669431536198,799
gender,woman,8,safety,500.72724342079,695
gender,other,0,living,1523.9572421902717,10
gender,other,1,living,1559.9995705934575,5
gender,other,2,living,1439.571389985092,7
gender,other,3,living,1547.9861399088238,14
gender,other,4,living,1488.0138151990573,9
gender,other,5,living,1522.004774100814,10
gender,other,6,living,1463.2308319949705,9
gender,other,7,living,1450.7457807133521,6
gender,other,8,living,1499.6734108759101,18
gender,other,0,biodiversity,1545.5900080347064,10
gender,other,1,biodiversity,1525.2742828932887,14
gender,other,2,biodiversity,1484.1020228761192,12
gender,other,3,biodiversity,1487.8406434910682,17
gender,other,4,biodiversity,1463.0915967867345,15
gender,other,5,biodiversity,1514.774980369352,19
