demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2171.5672453898196,2641
global,global,1,living,1625.6384703385686,2174
global,global,2,living,2316.3437831731267,1738
global,global,3,living,2266.762382100686,2565
global,global,4,living,1510.4461455215019,2807
global,global,5,living,1099.159232098013,1954
global,global,6,living,1332.6249687991674,3149
global,global,7,living,979.5349032721946,3389
global,global,8,living,1676.889775263362,2681
global,global,0,biodiversity,2166.784458449442,2716
global,global,1,biodiversity,846.9380043531297,1515
global,global,2,biodiversity,1478.948845827617,2460
global,global,3,biodiversity,1661.6275525558476,2787
global,global,4,biodiversity,2082.1352746932034,2515
global,global,5,biodiversity,2263.206744741778,2289
global,global,6,biodiversity,2413.732655149876,2661
global,global,7,biodiversity,533.2549647263226,2658
global,global,8,biodiversity,1638.9261637046166,2969
global,global,0,safety,2068.1589670235608,2039
global,global,1,safety,1833.6808081524046,2115
global,global,2,safety,1124.9276764765589,2088
global,global,3,safety,2291.6529852144554,1561
global,global,4,safety,1418.2947257478347,1885
global,global,5,safety,254.3022236291436,1951
global,global,6,safety,1620.8333496586047,1916
global,global,7,safety,642.4355986636227,1796
global,global,8,safety,1744.940663275047,2281
gender,man,0,living,1530.815679124657,1292
gender,man,1,living,1838.1102347001113,1126
gender,man,2,living,1705.189400287977,940
gender,man,3,living,2063.142076177664,1243
gender,man,4,living,1291.1781376993747,1407
gender,man,5,living,1321.075174668848,1041
gender,man,6,living,1922.368271360933,1649
gender,man,7,living,1033.3809260734492,1806
gender,man,8,living,1977.825146825222,1364
gender,man,0,biodiversity,1844.0661190921267,1390
gender,man,1,biodiversity,1231.2951971030727,733
gender,man,2,biodiversity,1716.9988174983066,1229
gender,man,3,biodiversity,1618.9364639691598,1398
gender,man,4,biodiversity,2067.1073300032945,1270
gender,man,5,biodiversity,2025.7099742241307,1152
gender,man,6,biodiversity,1576.8614874486498,1439
gender,man,7,biodiversity,1452.9640567856889,1370
gender,man,8,biodiversity,1557.579674848749,1507
gender,man,0,safety,2021.3016741909785,1041
gender,man,1,safety,1725.5073707047648,1029
gender,man,2,safety,1466.7109610864873,1053
gender,man,3,safety,1941.093443041418,887
gender,man,4,safety,1662.0106982270927,939
gender,man,5,safety,607.0527355241488,969
gender,man,6,safety,960.3943982317876,975
gender,man,7,safety,1009.8909825691213,968
gender,man,8,safety,1842.2986410765639,1207
gender,woman,0,living,1839.021255919139,1065
gender,woman,1,living,791.8425860488728,852
gender,woman,2,living,1954.897327920324,674
gender,woman,3,living,2003.0395582867027,1067
gender,woman,4,living,1713.2908965643737,1118
gender,woman,5,living,1541.5251783302288,830
gender,woman,6,living,455.9219530456294,1211
gender,woman,7,living,1614.7265400772271,1329
gender,woman,8,living,915.6021127043977,1050
gender,woman,0,biodiversity,1659.5995604047914,1024
gender,woman,1,biodiversity,1489.2133201768324,700
gender,woman,2,biodiversity,1261.7296047942168,1062
gender,woman,3,biodiversity,1705.18811395034,1171
gender,woman,4,biodiversity,928.4660062893083,1069
gender,woman,5,biodiversity,1628.4115543731477,919
gender,woman,6,biodiversity,2031.9547672828985,983
gender,woman,7,biodiversity,1096.563313970683,1182
gender,woman,8,biodiversity,1917.9837111297916,1164
gender,woman,0,safety,1938.5610534399493,767
gender,woman,1,safety,500.415148372951,849
gender,woman,2,safety,1367.0534613548211,854
gender,woman,3,safety,1845.6707257323892,574
gender,woman,4,safety,1702.5227574454716,735
gender,woman,5,safety,1027.8021130468212,835
gender,woman,6,safety,1492.8134412836619,780
gender,woman,7,safety,1617.0905007415176,701
gender,woman,8,safety,1394.3718212121403,903
gender,other,0,living,1462.2309379059227,21
gender,other,1,living,1488.0707046872478,13
gender,other,2,living,1453.8132796229154,14
gender,other,3,living,1547.2122892982054,6
gender,other,4,living,1513.327203731184,13
gender,other,5,living,1570.0569467267783,10
gender,other,6,living,1500.4244991269454,14
gender,other,7,living,1428.8640373234741,14
gender,other,8,living,1535.670262995076,17
gender,other,0,biodiversity,1487.0942251329118,17
gender,other,1,biodiversity,1439.9999988222444,5
gender,other,2,biodiversity,1546.3249719627966,8
gender,other,3,biodiversity,1449.883338040419,14
gender,other,4,biodiversity,1559.999012717918,5
gender,other,5,biodiversity,1511.1532952576874,13
gender,other,6,biodiversity,1534.87839619682,13
gender,other,7,biodiversity,1512.0088734276337,11
gender,other,8,biodiversity,1451.9981381443479,8
gender,other,0,safety,1476.6115652758394,12
gender,other,1,safety,1498.8230598307455,12
gender,other,2,safety,1444.574374286377,13
gender,other,3,safety,1560.4491955386918,13
gender,other,4,safety,1474.475757421149,14
gender,other,5,safety,1506.5080640238036,18
gender,other,6,safety,1536.068833830777,9
gender,other,7,safety,1468.6751059994622,17
gender,other,8,safety,1547.648476702764,14
age,younger,0,living,801.5740973329487,719
age,younger,1,living,1894.95035057635,600
age,younger,2,living,1796.6503111399968,507
age,younger,3,living,1818.4142362445086,672
age,younger,4,living,1514.0826267975317,810
age,younger,5,living,1352.1642431119922,612
age,younger,6,living,1838.4158506051472,860
age,younger,7,living,1228.0420609675084,976
age,younger,8,living,1192.0288632243132,704
age,younger,0,biodiversity,1781.9791044428473,736
age,younger,1,biodiversity,1195.1326527910057,393
age,younger,2,biodiversity,1479.1522901148562,700
age,younger,3,biodiversity,1327.9730747790863,787
age,younger,4,biodiversity,1000.6163390274602,686
age,younger,5,biodiversity,1897.070454517323,647
age,younger,6,biodiversity,1756.5622769777729,795
age,younger,7,biodiversity,1351.8160724679767,786
age,younger,8,biodiversity,1826.913042263238,778
age,younger,0,safety,1600.0581731254526,574
age,younger,1,safety,1211.18422792745,577
age,younger,2,safety,1625.6005102540787,551
age,younger,3,safety,1847.152973191637,509
age,younger,4,safety,1662.6276109150833,510
age,younger,5,safety,1294.205023112807,587
age,younger,6,safety,1786.2164368452761,561
age,younger,7,safety,880.7735438984323,487
age,younger,8,safety,1726.1325854336717,658
age,middle,0,living,1935.4704702465792,1097
age,middle,1,living,1484.7776628533368,930
age,middle,2,living,1879.924987099638,719
age,middle,3,living,1983.6950345473608,1121
age,middle,4,living,1348.655171774221,1159
age,middle,5,living,778.7142157025008,794
age,middle,6,living,900.0515453947137,1334
age,middle,7,living,1184.432121441639,1375
age,middle,8,living,1625.7381066476876,1149
age,middle,0,biodiversity,1897.2302755590724,1176
age,middle,1,biodiversity,726.1711578135782,687
age,middle,2,biodiversity,1474.836425525307,1008
age,middle,3,biodiversity,1126.4668621092005,1205
age,middle,4,biodiversity,1936.1072227660547,1151
age,middle,5,biodiversity,1776.1730341276157,938
age,middle,6,biodiversity,2040.7258249720292,1053
age,middle,7,biodiversity,1508.0760267069165,1201
age,middle,8,biodiversity,1765.556645611965,1269
age,middle,0,safety,1878.7253213943927,856
age,middle,1,safety,1115.8026210386054,913
age,middle,2,safety,1360.56485304289,884
age,middle,3,safety,1981.8483811603505,604
age,middle,4,safety,1541.7831354483221,752
age,middle,5,safety,687.7824454324432,830
age,middle,6,safety,1242.8011519266217,770
age,middle,7,safety,1582.4124367480483,792
age,middle,8,safety,1482.3897348848059,981
age,older,0,living,1599.3142814146622,560
age,older,1,living,1385.0094984496898,458
age,older,2,living,1636.8635396983595,387
age,older,3,living,1314.0782318729068,516
age,older,4,living,1850.1940294720957,565
age,older,5,living,1672.4736677792023,477
age,older,6,living,1737.3096681254817,678
age,older,7,living,1410.626831921276,791
age,older,8,living,1780.016446240125,574
age,older,0,biodiversity,1874.6995071076017,511
age,older,1,biodiversity,1560.23788088424,353
age,older,2,biodiversity,1108.254322697414,586
age,older,3,biodiversity,1843.769677833203,577
age,older,4,biodiversity,1615.1033096253173,494
age,older,5,biodiversity,1463.3259121680337,494
age,older,6,biodiversity,1423.8757927545382,581
age,older,7,biodiversity,1278.5305965629184,569
age,older,8,biodiversity,1098.741687009382,629
age,older,0,safety,1835.8893638376455,382
age,older,1,safety,1712.8078897009977,390
age,older,2,safety,1124.1105524429954,477
age,older,3,safety,1635.5040245070359,353
age,older,4,safety,1659.0951443951806,420
age,older,5,safety,1357.0107613509401,389
age,older,6,safety,1149.574067249115,434
age,older,7,safety,1452.7815557962235,407
age,older,8,safety,1257.9833837425313,476
ethnicity,white,0,living,2045.8017254106767,2068
ethnicity,white,1,living,1454.875791354678,1647
ethnicity,white,2,living,2155.0398230115375,1411
ethnicity,white,3,living,2276.8745196452646,2015
ethnicity,white,4,living,1862.6888431343662,2175
ethnicity,white,5,living,1690.2816327051971,1615
ethnicity,white,6,living,1396.383977711311,2521
ethnicity,white,7,living,406.9246021427428,2747
ethnicity,white,8,living,1676.1283719229555,2113
ethnicity,white,0,biodiversity,1935.6215658681426,2067
ethnicity,white,1,biodiversity,1519.3135828136756,1251
ethnicity,white,2,biodiversity,1272.1532208203207,2006
ethnicity,white,3,biodiversity,1725.8125366874144,2223
ethnicity,white,4,biodiversity,2061.314445857084,2007
ethnicity,white,5,biodiversity,2100.55264056081,1806
ethnicity,white,6,biodiversity,2167.479332860486,2062
ethnicity,white,7,biodiversity,1076.3691043067586,2192
ethnicity,white,8,biodiversity,1904.4216889636014,2318
ethnicity,white,0,safety,2154.8987324661025,1557
ethnicity,white,1,safety,1637.0829721362045,1620
ethnicity,white,2,safety,661.8059729505427,1667
ethnicity,white,3,safety,2111.225028071528,1244
ethnicity,white,4,safety,1678.248264376732,1464
ethnicity,white,5,safety,907.2857868537885,1552
ethnicity,white,6,safety,1503.3222823093492,1547
ethnicity,white,7,safety,1102.5648373767021,1449
ethnicity,white,8,safety,1717.688806844694,1816
ethnicity,other,0,living,1582.9056600519139,211
ethnicity,other,1,living,1402.4955033159931,275
ethnicity,other,2,living,1559.1023992197395,153
ethnicity,other,3,living,1510.606365209805,206
ethnicity,other,4,living,1428.0572582619789,259
ethnicity,other,5,living,1692.18565005851,185
ethnicity,other,6,living,1661.1747135187327,251
