demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1789.4501083164137,4180
global,global,1,living,2349.9988572332095,2293
global,global,2,living,1855.118939342546,3948
global,global,3,living,2009.5349251161351,3720
global,global,4,living,239.8050695738648,2839
global,global,5,living,1419.719782908495,3195
global,global,6,living,2083.281917991078,2597
global,global,7,living,1940.2387179976417,3520
global,global,8,living,921.6259182638739,3134
global,global,0,biodiversity,1730.682448971465,2159
global,global,1,biodiversity,2058.33648260033,1428
global,global,2,biodiversity,162.9702377889639,1964
global,global,3,biodiversity,865.591624958536,1624
global,global,4,biodiversity,1617.173477409566,2620
global,global,5,biodiversity,1998.4004621846611,2669
global,global,6,biodiversity,1573.4193412323864,1848
global,global,7,biodiversity,2228.0592086539,1910
global,global,8,biodiversity,1258.1240152985115,2010
global,global,0,safety,1193.0839127583479,1920
global,global,1,safety,2165.9490376207364,1517
global,global,2,safety,2064.4191617226215,1435
global,global,3,safety,1942.703025675552,1538
global,global,4,safety,1571.7381503810102,2379
global,global,5,safety,184.77352151719512,1849
global,global,6,safety,1758.658974973982,1730
global,global,7,safety,1472.6180266528918,1872
global,global,8,safety,863.0615860734622,1402
gender,man,0,living,1740.4031699981447,2229
gender,man,1,living,1948.7089547467801,1161
gender,man,2,living,2053.31446900336,2016
gender,man,3,living,1857.4696946883382,1905
gender,man,4,living,913.1021955447013,1509
gender,man,5,living,1830.7348335634774,1658
gender,man,6,living,1406.3462449533358,1287
gender,man,7,living,1905.9763394425636,1816
gender,man,8,living,815.691035073162,1659
gender,man,0,biodiversity,2026.6723184081716,1069
gender,man,1,biodiversity,1341.9872962634768,804
gender,man,2,biodiversity,782.4691183194682,975
gender,man,3,biodiversity,1216.1942387586346,820
gender,man,4,biodiversity,1814.8655940111769,1321
gender,man,5,biodiversity,1851.4621184458606,1320
gender,man,6,biodiversity,897.115682408269,909
gender,man,7,biodiversity,1935.6455003338092,971
gender,man,8,biodiversity,1319.680499265805,1025
gender,man,0,safety,1700.018513490006,968
gender,man,1,safety,1852.6783235986334,776
gender,man,2,safety,1786.4898376806757,704
gender,man,3,safety,1904.6205024455423,724
gender,man,4,safety,1394.9808581622206,1224
gender,man,5,safety,91.58417395931895,961
gender,man,6,safety,1436.7952047905048,916
gender,man,7,safety,1636.3124140462207,930
gender,man,8,safety,1111.3488885262364,767
gender,woman,0,living,1954.4322091512179,1612
gender,woman,1,living,1810.3960875013431,988
gender,woman,2,living,1586.4398830216905,1636
gender,woman,3,living,2104.265060184083,1508
gender,woman,4,living,1379.3328629549685,1194
gender,woman,5,living,1049.7270244551598,1347
gender,woman,6,living,1228.5614478820303,1008
gender,woman,7,living,1730.3644876787453,1346
gender,woman,8,living,1855.011735879117,1223
gender,woman,0,biodiversity,1542.4860067723582,867
gender,woman,1,biodiversity,1976.6585993302383,547
gender,woman,2,biodiversity,1360.6681642278095,816
gender,woman,3,biodiversity,1708.6736256303557,739
gender,woman,4,biodiversity,1463.4111394270099,1035
gender,woman,5,biodiversity,1739.5928351733978,1110
gender,woman,6,biodiversity,1810.5811987363047,758
gender,woman,7,biodiversity,1651.3302872996035,787
gender,woman,8,biodiversity,1044.7791835507717,817
gender,woman,0,safety,981.4656739996555,733
gender,woman,1,safety,1931.226436136298,554
gender,woman,2,safety,1181.7674033153896,589
gender,woman,3,safety,1513.5552799687468,611
gender,woman,4,safety,1828.5118927148608,919
gender,woman,5,safety,1694.6300611304164,722
gender,woman,6,safety,1646.0274910646003,671
gender,woman,7,safety,776.4296582384038,756
gender,woman,8,safety,1489.546162867635,575
gender,other,0,living,1513.1534946914428,7
gender,other,1,living,1489.6381816264513,7
gender,other,2,living,1524.7830175911263,12
gender,other,3,living,1448.396705504789,14
gender,other,4,living,1499.1841286494762,14
gender,other,5,living,1440.8548665599908,9
gender,other,6,living,1535.9990971034863,7
gender,other,7,living,1568.7791522835812,8
gender,other,8,living,1475.9251407929537,10
gender,other,0,biodiversity,1452.8705223705817,20
gender,other,1,biodiversity,1424.1137593534172,16
gender,other,2,biodiversity,1512.118261586512,11
gender,other,3,biodiversity,1480.5389671646428,16
gender,other,4,biodiversity,1502.5658934435155,16
gender,other,5,biodiversity,1486.9159353953858,22
gender,other,6,biodiversity,1578.2721215213578,19
gender,other,7,biodiversity,1548.8569619449165,14
gender,other,8,biodiversity,1522.7261251577627,12
gender,other,0,safety,1562.1251212902316,15
gender,other,1,safety,1537.932508772123,15
gender,other,2,safety,1478.4558009558218,16
gender,other,3,safety,1524.0186109496838,8
gender,other,4,safety,1454.4518737975184,8
gender,other,5,safety,1514.6346309310682,11
gender,other,6,safety,1463.9264175867845,7
gender,other,7,safety,1478.1304587384402,12
gender,other,8,safety,1499.8397943421749,12
age,younger,0,living,1789.142730143921,1246
age,younger,1,living,1780.0647903370284,711
age,younger,2,living,1200.9231346324248,1042
age,younger,3,living,1642.141368897216,1046
age,younger,4,living,1552.2101981545527,768
age,younger,5,living,1947.6448537500958,874
age,younger,6,living,906.2470093574458,692
age,younger,7,living,1931.0789229435875,893
age,younger,8,living,1687.3043900779628,936
age,younger,0,biodiversity,1201.5484629901741,545
age,younger,1,biodiversity,1790.9454523987358,399
age,younger,2,biodiversity,1435.5559098412932,558
age,younger,3,biodiversity,1318.2880010989556,530
age,younger,4,biodiversity,1175.248089173017,697
age,younger,5,biodiversity,1133.8374780095492,746
age,younger,6,biodiversity,1768.0305833268117,511
age,younger,7,biodiversity,1863.07936772372,530
age,younger,8,biodiversity,1529.8346265487367,534
age,younger,0,safety,1582.4645735217434,593
age,younger,1,safety,1428.2689971142415,504
age,younger,2,safety,1387.5205151716746,443
age,younger,3,safety,1718.0133423340878,392
age,younger,4,safety,1818.5268128175753,621
age,younger,5,safety,1477.4411367324356,519
age,younger,6,safety,1839.327134002176,495
age,younger,7,safety,1559.0245195892944,532
age,younger,8,safety,1355.5252704796337,425
age,middle,0,living,687.7257629571444,1735
age,middle,1,living,1927.1157924867716,957
age,middle,2,living,1437.7078579897388,1708
age,middle,3,living,1988.9575524328648,1494
age,middle,4,living,1203.2356642763489,1241
age,middle,5,living,695.5326593923064,1341
age,middle,6,living,1526.9844192696123,1052
age,middle,7,living,-15.526232390586046,1437
age,middle,8,living,480.82208297328856,1299
age,middle,0,biodiversity,1729.4541798590094,980
age,middle,1,biodiversity,1670.3082714720056,621
age,middle,2,biodiversity,1419.924915608285,851
age,middle,3,biodiversity,1270.372594239402,696
age,middle,4,biodiversity,2018.7619039011,1135
age,middle,5,biodiversity,1938.9093048663083,1139
age,middle,6,biodiversity,1158.3004028530747,793
age,middle,7,biodiversity,1528.0261314744318,872
age,middle,8,biodiversity,800.921259975007,897
age,middle,0,safety,484.8362363676869,744
age,middle,1,safety,1895.7356029174537,578
age,middle,2,safety,1853.6173842508967,589
age,middle,3,safety,1765.5481722670806,627
age,middle,4,safety,1596.3180636819573,1022
age,middle,5,safety,1630.496538909898,772
age,middle,6,safety,1464.9493237624656,776
age,middle,7,safety,1297.7003084082057,753
age,middle,8,safety,1438.3300432903582,639
age,older,0,living,1887.9665021847347,848
age,older,1,living,859.4746208842522,486
age,older,2,living,1767.4668797654683,896
age,older,3,living,1232.8836291448536,867
age,older,4,living,881.0413116656583,699
age,older,5,living,1045.436161392746,785
age,older,6,living,1515.1762064084778,556
age,older,7,living,1975.694248333329,830
age,older,8,living,1740.2641084008226,653
age,older,0,biodiversity,1739.7570009795734,429
age,older,1,biodiversity,1567.7190447621765,339
age,older,2,biodiversity,1057.5073006688892,387
age,older,3,biodiversity,1605.78047243168,344
age,older,4,biodiversity,1150.2424991877795,536
age,older,5,biodiversity,1769.9617953121547,561
