demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1229.7494940905005,2580
global,global,1,living,2001.5635187767698,2701
global,global,2,living,1929.276315907628,2853
global,global,3,living,2377.7791771607244,2851
global,global,4,living,2290.0851280043807,2567
global,global,5,living,2198.587113079373,2885
global,global,6,living,2239.933469276647,2892
global,global,7,living,2113.2817775026538,2891
global,global,8,living,2153.4453528511935,1856
global,global,0,biodiversity,1815.234054588165,2002
global,global,1,biodiversity,1057.9501185583867,2613
global,global,2,biodiversity,2175.600107347071,2033
global,global,3,biodiversity,1998.772020629164,2266
global,global,4,biodiversity,1780.7940479423366,2108
global,global,5,biodiversity,2243.9081676852684,1388
global,global,6,biodiversity,1248.5054589781982,2304
global,global,7,biodiversity,1824.7492741572337,2461
global,global,8,biodiversity,94.46958552897985,1883
global,global,0,safety,-480.5180149641454,1221
global,global,1,safety,2007.7553480209974,2161
global,global,2,safety,2072.478540563338,1695
global,global,3,safety,1312.658524053286,2627
global,global,4,safety,1671.4822158066927,2594
global,global,5,safety,2245.6708333968013,1985
global,global,6,safety,2208.394966702713,2702
global,global,7,safety,1784.8475855782244,2874
global,global,8,safety,2151.008180140554,2307
gender,man,0,living,1700.5010487738311,1399
gender,man,1,living,1088.2455338933864,1372
gender,man,2,living,1829.6758260897627,1403
gender,man,3,living,2117.644813661196,1419
gender,man,4,living,577.1320570201915,1274
gender,man,5,living,807.7703109199722,1540
gender,man,6,living,1294.1709059923555,1518
gender,man,7,living,1687.882230955464,1390
gender,man,8,living,1702.93753102033,931
gender,man,0,biodiversity,1637.759725146996,943
gender,man,1,biodiversity,1657.7497775669415,1391
gender,man,2,biodiversity,1909.5341956670702,1053
gender,man,3,biodiversity,1930.6043390421141,1149
gender,man,4,biodiversity,1821.7982248299197,1177
gender,man,5,biodiversity,1982.394407801327,630
gender,man,6,biodiversity,1227.8145827130684,1162
gender,man,7,biodiversity,1465.4196646240887,1287
gender,man,8,biodiversity,1735.0865640115614,1012
gender,man,0,safety,938.9154577043863,669
gender,man,1,safety,1984.883204557795,1111
gender,man,2,safety,1801.4595303973151,904
gender,man,3,safety,1296.8704129612752,1321
gender,man,4,safety,1390.3854854336946,1321
gender,man,5,safety,2028.4962539485864,963
gender,man,6,safety,580.8555554625559,1383
gender,man,7,safety,1312.4042545564087,1473
gender,man,8,safety,1730.106898332768,1229
gender,woman,0,living,691.5389849503578,1070
gender,woman,1,living,1772.0151409469772,1087
gender,woman,2,living,1094.8802408289937,1121
gender,woman,3,living,1267.7937913080416,1170
gender,woman,4,living,2005.0974165775547,1028
gender,woman,5,living,1326.7229302997844,1131
gender,woman,6,living,1532.040622948021,1118
gender,woman,7,living,1566.3023913801792,1242
gender,woman,8,living,1878.202366859253,775
gender,woman,0,biodiversity,1655.793118710492,863
gender,woman,1,biodiversity,1460.8141624813863,1042
gender,woman,2,biodiversity,1864.3975811370474,802
gender,woman,3,biodiversity,1792.1578799272954,944
gender,woman,4,biodiversity,1610.0660436048827,784
gender,woman,5,biodiversity,1943.4254434374022,587
gender,woman,6,biodiversity,1523.2136700579208,956
gender,woman,7,biodiversity,1752.1773340727218,973
gender,woman,8,biodiversity,837.5135652009063,765
gender,woman,0,safety,820.2789149163931,517
gender,woman,1,safety,1150.325578257349,861
gender,woman,2,safety,1526.765676572676,684
gender,woman,3,safety,1912.4625903758151,1014
gender,woman,4,safety,848.6211484922713,962
gender,woman,5,safety,594.1901023453818,858
gender,woman,6,safety,1927.6629990012477,1089
gender,woman,7,safety,1635.1373938612774,1106
gender,woman,8,safety,1789.6186355481946,919
gender,other,0,living,1513.5611451146158,13
gender,other,1,living,1500.385846691797,8
gender,other,2,living,1569.200931196088,12
gender,other,3,living,1489.612446859751,15
gender,other,4,living,1411.986380719883,11
gender,other,5,living,1526.0341676057933,8
gender,other,6,living,1545.9225400823443,14
gender,other,7,living,1461.4625420429206,15
gender,other,8,living,1476.6993628613275,12
gender,other,0,biodiversity,1452.1207430224613,14
gender,other,1,biodiversity,1475.708287050352,16
gender,other,2,biodiversity,1524.630351420661,14
gender,other,3,biodiversity,1430.2925272159991,8
gender,other,4,biodiversity,1510.7212175723662,13
gender,other,5,biodiversity,1487.591631200152,13
gender,other,6,biodiversity,1550.3133738641131,16
gender,other,7,biodiversity,1571.7202683430062,10
gender,other,8,biodiversity,1499.7247680557996,16
gender,other,0,safety,1512.0286279783388,13
gender,other,1,safety,1526.837679824523,14
gender,other,2,safety,1455.3787570465997,8
gender,other,3,safety,1499.737632784959,16
gender,other,4,safety,1561.2129887752556,15
gender,other,5,safety,1487.5353983664204,13
gender,other,6,safety,1442.2495812143866,9
gender,other,7,safety,1547.9591591057385,10
gender,other,8,safety,1475.0475625606646,12
age,younger,0,living,1403.535465270358,808
age,younger,1,living,1057.879248860367,716
age,younger,2,living,1347.5265066664688,749
age,younger,3,living,1291.700685539749,786
age,younger,4,living,1261.0080082409252,715
