demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1330.18687119885,2371
global,global,1,living,-311.46705095053323,2458
global,global,2,living,1244.5251070115569,2286
global,global,3,living,2011.0125048126122,2321
global,global,4,living,1827.9377505433972,1270
global,global,5,living,622.0379821065687,2120
global,global,6,living,2146.1883333229935,1830
global,global,7,living,1968.6521645111595,2300
global,global,8,living,1146.7090936636323,2560
global,global,0,biodiversity,533.3513063882235,1707
global,global,1,biodiversity,997.2123528382258,2776
global,global,2,biodiversity,2217.09110700128,2659
global,global,3,biodiversity,1942.8372166398092,3034
global,global,4,biodiversity,1696.789282995134,2687
global,global,5,biodiversity,1885.9620004421465,2169
global,global,6,biodiversity,561.3096851306708,2103
global,global,7,biodiversity,2268.993302402536,2087
global,global,8,biodiversity,2367.7645330874775,2714
global,global,0,safety,2332.6454845941144,2804
global,global,1,safety,1791.797382804767,2400
global,global,2,safety,1673.0695552602792,2466
global,global,3,safety,1023.4789568716875,2395
global,global,4,safety,1330.5548395024784,2244
global,global,5,safety,2270.53959484761,3084
global,global,6,safety,2134.0315466094803,2651
global,global,7,safety,821.9959293416758,1788
global,global,8,safety,-455.46325853185454,2016
gender,man,0,living,1476.5068357492532,1196
gender,man,1,living,906.4854083415694,1348
gender,man,2,living,-259.9097427622191,1160
gender,man,3,living,1461.6255839697196,1182
gender,man,4,living,1685.6792725754822,656
gender,man,5,living,1865.1771328104453,1075
gender,man,6,living,1898.3135340359797,986
gender,man,7,living,2014.9272372905982,1164
gender,man,8,living,1564.1229499922404,1325
gender,man,0,biodiversity,1115.3751663247156,862
gender,man,1,biodiversity,1693.7717430171108,1443
gender,man,2,biodiversity,2004.364385039684,1362
gender,man,3,biodiversity,1933.3786537295869,1521
gender,man,4,biodiversity,1831.9724490678045,1421
gender,man,5,biodiversity,2065.7985529520606,1094
gender,man,6,biodiversity,1437.091829037701,1140
gender,man,7,biodiversity,1953.9415461130545,1000
gender,man,8,biodiversity,723.3910855272774,1389
gender,man,0,safety,1728.8803166693353,1444
gender,man,1,safety,1825.0646473041622,1276
gender,man,2,safety,1948.5866199140944,1219
gender,man,3,safety,1681.7424562475499,1245
gender,man,4,safety,1622.753243078366,1146
gender,man,5,safety,1935.027311822992,1566
gender,man,6,safety,1989.3615396464513,1286
